store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Las Vegas Henderson,,2581 Anthem Village Drive,,Henderson,Nevada,89052,United States,702-463-5050,,,"Saturday: 9am - 12pm, Sunday: 9am - 12pm, Monday: 8:30am - 8:30pm, Tuesday: 8:30am - 8:30pm, Wednesday: 8:30am - 8:30pm, Thursday: 8:30am - 8:30pm",,,
Manchester,,460 Elm St,,Manchester,New Hampshire,03101,United States,603-239-2169,,,"Saturday: 7:30am - 11:00am, Sunday: 7:30am - 12:00pm, Monday: 4:45am - 8:30pm, Tuesday: 4:30am - 8:30pm, Wednesday: 4:45am - 8:30pm, Thursday: 4:30am - 8:30pm",,,
NYC Midtown West,,455 W 37th St,,New York,New York,10018,United States,212-564-1700,,,"Saturday: 8:15am - 3:00pm, Sunday: 9:30am - 3:00pm, Monday: 5:30am - 10:00pm, Tuesday: 5:30am - 10:00pm, Wednesday: 5:30am - 10:00pm, Thursday: 5:30am - 10:00pm",,,
Syosset,,170 Michael Drive,,Syosset,New York,11791,United States,516-833-7979,,,"Saturday: 8:00am - 2:00pm, Sunday: 7:30am - 2:00pm, Monday: 7:00am - 9:00pm, Tuesday: 7:30am - 9:00pm, Wednesday: 5:30am - 9:00pm, Thursday: 7:30am - 9:00pm",,,
NYC Midtown East,,900 3rd Avenue,,New York,New York,10022,United States,,,,,,,
Olive Branch,,6518 Goodman Rd,,Olive Branch,Mississippi,38654,United States,662-932-8187,,,"Saturday: 7:00am - 10:00am, Sunday: 7:00am - 10:00am, Monday: 5:30am - 8:00pm, Tuesday: 5:00am - 8:00pm, Wednesday: 5:30am - 8:00pm, Thursday: 5:00am - 8:00pm",,,
Omaha,,"3525 N 147th St, Unit 103",,Omaha,Nebraska,68116,United States,402-932-6711,,,"Saturday: 5am - 9pm, Sunday: 5am - 9pm, Monday: 5am - 9pm, Tuesday: 5am - 9pm, Wednesday: 5am - 9pm, Thursday: 5am - 9pm",,,
Rockville,,10028 Darnestown Rd,,Rockville,Maryland,20850,United States,301-637-9360,,,"Saturday: 7:30am- 2:00pm, Sunday: 9:00am- 1:00pm, Monday: 5:30am - 9:00pm, Tuesday: 6:30am- 9:00pm, Wednesday: 5:30am - 9:00pm, Thursday: 9:00am- 9:00pm",,,
Woburn,,425 Washington St,,Woburn,Massachusetts,01801,United States,844-526-9464,,,"Saturday: 7:30am - 1:00pm, Sunday: 7:30am - 11:00am, Monday: 4:45am - 9:00pm, Tuesday: 5:45am - 9:00pm, Wednesday: 4:45am - 9:00pm, Thursday: 5:45am - 9:00pm",,,
Metairie,,5029 Veterans Memorial Blvd,,Metairie,Louisiana,70006,United States,504-510-5000,,,"Saturday: 8:00am - 2:00pm, Sunday: 8:00am - 2:00pm, Monday: 6:00am - 8:30pm, Tuesday: 6:00am - 8:30pm, Wednesday: 6:00am - 8:30pm, Thursday: 6:00am - 8:30pm",,,
Lexington,,"171 West Lowry Lane, Suite 168",,Lexington,Kentucky,40503,United States,859-268-4853,,,"Saturday: 8:00am - 3:00pm, Sunday: , Monday: 5:30am - 9:00pm, Tuesday: 5:30am - 9:00pm, Wednesday: 5:30am - 9:00pm, Thursday: 5:30am - 9:00pm",,,
Lafayette,,5417 Johnston St,,Lafayette,Louisiana,70503,United States,337-534-0480,,,"Saturday: 9:00am - 1:00pm, Sunday: 1:15pm - 2:30pm, Monday: 6:00am - 9:00pm, Tuesday: 8:00am - 9:00pm, Wednesday: 6:00am - 8:30pm, Thursday: 8:00am - 8:30pm",,,
