store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,4850 W. Rosecrans Ave.,,Hawthorne,CA,90250,United States,310-644-9222,33.9015521,-118.3626208,"Mon-Sat: 10:00am-10:00pm, Sun: 11:00am-9:00pm",,,
,,1194 Grand Ave.,,Diamond Bar,CA,91765,United States,909-895-7523,34.0013337,-117.8113322,Mon - Sun: 10:00am - 9:00pm,,,
,,11655 Valley Blvd.,,El Monte ,CA,91732,United States,626-575-9222,34.0669089,-118.0253104,"Mon.~Fri. 9:30am-9:00pm, Sat. 10:00am-9:00pm, Sun. 11:00am-8:00pm.",,,
,,8258 Firestone Blvd. ,,Downey,CA,90241,United States,562-861-7555,33.9401676,-118.1334084,Mon-Sat: 10:00am - 9:00pmSun:11:00am - 8:00pm,,,
,,14219 S. Western Ave #F,,Gardena,CA,90249,United States,310-515-9222,33.9022420,-118.3097640,"Mon-Sat: 10:00am - 9:30pm, Sun: 11:00am - 8:30pm",,,
,,12620 Hawthorne Blvd. #B,,Hawthorne,CA,90250,United States,310-973-9222,33.9180532,-118.3520924,Mon-Sun: 9:30am-10:30pm,,,
,,1013 N. Grand Ave.,,Covina,CA,91722,United States,626-331-0001,34.0979890,-117.8730426,Mon-Sun: 10:00am-9:00pm,,,
,,5684 Whittier Blvd.,,Commerce,CA,90022,United States,323-722-3553,34.0183992,-118.1478500,Mon-Sun: 10:00am - 9:00pm,,,
,,5211 E Washington Blvd. #1,,Commerce,CA,90040,United States,323-262-7388,34.0032482,-118.1666973,M~F 10:00am-9:00pm Sat 10:00am-8:30pm Sun~Closed,,,
,,440 Auto Center Dr.,,Claremont,CA,91711,United States,909-624-8333,34.0807950,-117.7207831,"Mon-Fri 10:00am-9:00pm, Sat-Sun 11:00am-10:00pm.",,,
,,630 South Grand Ave. #105,,Glendora,CA,91740,United States,626-335-5530,34.1275312,-117.8725388,"Sun-Thurs: 10:00am-9:00pm,Fri & Sat:10:00am-10:00pm",,,
,,1318 Glendale Galleria,,Glendale,CA,91210,United States,818-551-9192,34.1459422,-118.2591859,Mon-Sat 10:00am-9:00pm Sun 10:00am-7:00pm,,,
