store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,313,5105 Montgomery Hwy,,Dothan,AL,36303,United States,334-984-0084,31.271905,-85.451009,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
,485,14640 W. Freeway Drive,,Forest Lake,MN,55025,United States,651-464-0707,45.235247,-93.031363,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
,493,614 2nd St S,,Waite Park,MN,56387,United States,320-654-6600,45.548689,-94.224854,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
,483,16861 Kenyon Avenue,,Lakeville,MN,55044,United States,952-435-3805,44.703711,-93.287445,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
,481,1940 Adams Street,,Mankato,MN,56001,United States,507-345-3600,44.173156,-93.947619,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
,367,3470 55th Street NW,,Rochester,MN,55901,United States,507-252-2033,44.077884,-92.516935,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
,490,4275 Haines Road,,Hermantown,MN,55811,United States,218-786-9800,46.819819,-92.176798,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
,368,20870 Rogers Drive,,Rogers,MN,55374,United States,763-496-0919,45.192506,-93.544277,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
,489,12160 Technology Drive,,Eden Prairie,MN,55344,United States,952-944-5422,44.8626002,-93.4330036,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
,487,10650 Baltimore St NE,,Blaine,MN,55449,United States,763-783-7200,45.163532,-93.233091,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
,486,14275 Edgewood Dr Suite 100,,Baxter,MN,56425,United States,218-828-1736,46.357601,-94.24746,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
,175,14100 Pardee Road,,Taylor,MI,48180,United States,734-287-7420,42.2042570,-83.2572600,"Monday 9:00am - 9:00pm , Tuesday 9:00am - 9:00pm , Wednesday 9:00am - 9:00pm , Thursday 9:00am - 9:00pm , Friday 9:00am - 9:00pm , Saturday 9:00am - 9:00pm , Sunday 10:00am - 6:00pm ",,,
