store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Pearland, TX",,8201 Broadway,,Pearland,TX,77581,United States,832.328.9413,29.559865,-95.3464023,"Mon 6:00 AM- 9:00 PM, Tue 6:00 AM- 9:00 PM, Wed 6:00 AM- 9:00 PM, Thu 6:00 AM- 9:00 PM, Fri 6:00 AM- 9:00 PM, Sat 8:00 AM- 3:00 PM, Sun 9:00 AM- 3:00 PM",,,
San Dimas,,186 Village Ct,,San Dimas,CA,91773,United States,909.895.3183,34.1090743,-117.8208731,"Mon 5:00 AM - 11:00 PM, Tue 5:00 AM - 11:00 PM, Wed 5:00 AM - 11:00 PM, Thu 5:00 AM - 11:00 PM, Fri 5:00 AM - 9:00 PM, Sat 7:00 AM - 7:00 PM, Sun 7:00 AM - 7:00 PM",,,
Waikele,,94-877 Lumiaina St,,Waipahu,HI,96797,United States,808.445.9490,21.400592,-158.0015776,"Mon 24 Hours, Tue 24 Hours, Wed 24 Hours, Thu 24 Hours, Fri 24 Hours, Sat 24 Hours, Sun 24 Hours",,,
Reston-Herndon,,"12973 Highland Crossing Dr, Suite C",,Herndon,VA,20171,United States, 703.657.0955,38.949341,-77.395805,"Mon 6:00 AM - 9:00 PM , Tue 6:00 AM - 9:00 PM , Wed 6:00 AM - 9:00 PM , Thu 6:00 AM - 9:00 PM , Fri 6:00 AM - 8:00 PM, Sat 8:00 AM - 4:00 PM, Sun 8:00 AM - 2:00 PM",,,
Sherwood Park,,800 Broadmoor Blvd. Ste. 540,,Sherwood Park,AB,T8A 4E7,Canada,780.570.0070,53.540169,-113.320213,"Mon 5:00AM - 9:00PM, Tue 5:00AM - 9:00PM, Wed 5:00AM - 9:00PM, Thu 5:00AM - 9:00PM, Fri 5:00AM - 9:00PM, Sat 8:00AM - 4:00PM, Sun 10:00AM - 3:00PM",,,
"Baton Rouge, Acadian",,3731 Perkins Rd,,Baton Rouge,LA,70808,United States,225.341.3105,30.421385,-91.150848,"Mon 6:00AM - 9:00PM, Tue 6:00AM - 9:00PM, Wed 6:00AM - 9:00PM, Thu 6:00AM - 9:00PM, Fri 6:00AM - 8:00PM, Sat 8:00AM - 3:00PM, Sun 10:00AM - 2:00PM",,,
"Baton Rouge, Sherwood",,4520 South Sherwood Forest Blvd #110,,Baton Rouge,LA,70816,United States,225.291.5269,30.4123512,-91.0526346,"Mon 6:00 AM - 9:00 PM, Tue 6:00 AM - 9:00 PM, Wed 6:00 AM - 9:00 PM, Thu 6:00 AM - 9:00 PM, Fri 6:00 AM - 8:00 PM, Sat 8:00 AM - 3:00 PM, Sun 10:00 AM - 2:00 PM",,,
NYC SoHo,,277 Canal St. 3rd Floor,,New York,NY,10013,United States,212.858.9880,40.7193865,-74.0014144,"Mon 6:00 AM- 11:00 PM, Tue 6:00 AM- 11:00 PM, Wed 6:00 AM- 11:00 PM, Thu 6:00 AM- 11:00 PM, Fri 6:00 AM- 10:00 PM, Sat 8:00AM -6:00PM , Sun 8:00AM -6:00PM ",,,
Marlboro,,320 US HWY 9,,Englishtown,NJ,07726,United States,732.851.4534,40.366638,-74.253143,"Mon 6:00 AM - 9:00 PM , Tue 8:00 AM - 9:00 PM , Wed 6:00 AM - 9:00 PM , Thu 8:00 AM - 9:00 PM , Fri 6:00 AM - 7:00 PM, Sat 8:00 AM - 1:30 PM, Sun 8:00 AM - 1:00 PM",,,
Long Island,,2020 Jericho Turnpike,,New Hyde Park,NY,11040,United States,516.784.4072,40.735855,-73.673683,"Mon 24 Hours, Tue 24 Hours, Wed 24 Hours, Thu 24 Hours, Fri 24 Hours, Sat 24 Hours, Sun 24 Hours",,,
"Brooklyn, Park Slope",,"340 4th Ave, 2nd Fl",,Brooklyn,NY,11215,United States,718.858.8578,40.673927,-73.986191,"Mon 9:00 AM - 9:00 PM , Tue 6:00 AM - 9:00 PM , Wed 7:00 AM - 9:00 PM , Thu 6:00 AM - 9:00 PM , Fri 9:00 AM - 8:00 PM, Sat 9:00 AM - 4:00 PM, Sun 9:00 AM - 2:00 PM",,,
North Brunswick,,1846 US Highway 1,,North Brunswick,NJ,08902,United States,732.917.7575,40.4516533,-74.4895424,"Mon 24 HOURS, Tue 24 HOURS, Wed 24 HOURS, Thu 24 HOURS, Fri 24 HOURS, Sat 24 HOURS, Sun 24 HOURS",,,
Beaverton,,16365 NW Twin Oaks Drive ,,Beaverton,OR,97006,United States,503.747.7497,45.5311696,-122.845335,"Mon 4:00AM - 12:00AM, Tue 4:00AM - 12:00AM, Wed 4:00AM - 12:00AM, Thu 4:00AM - 12:00AM, Fri 4:00AM - 12:00AM, Sat 5:00AM - 8:00PM, Sun 8:00AM - 8:00PM",,,
Exton,,342 North Pottstown Pike,,Exton,PA,19341,United States,484.872.8540,40.037716,-75.632111,"Mon 6:00AM - 9:00PM, Tue 6:00AM - 9:00PM, Wed 6:00AM - 9:00PM, Thu 6:00AM - 9:00PM, Fri 6:00AM - 8:00PM, Sat 8:00AM - 4:00PM, Sun 8:00AM - 2:00PM",,,
Chicago - Wrigleyville,,3215-33 N. Broadway Ave,,Chicago,IL,60657,United States,773.248.5229,41.940594,-87.644402,"Mon 5:00AM - 9:00PM, Tue 5:00AM - 9:00PM, Wed 5:00AM - 9:00PM, Thu 5:00AM - 9:00PM, Fri 5:00AM - 8:00PM, Sat 8:00AM - 3:00PM, Sun 8:00AM - 2:00PM",,,
Richmond,,7548-7550 West Broad Street,,Richmond,VA,23294,United States,804.286.2775,37.618738,-77.5236336,"Mon 5:00 AM- 11:00 PM, Tue 5:00 AM- 11:00 PM, Wed 5:00 AM- 11:00 PM, Thu 5:00 AM- 11:00 PM, Fri 5:00 AM- 11:00 PM, Sat 8:00 AM - 8:00 PM, Sun 12:00 PM- 6:00 PM",,,
Crofton,,1153 Maryland 3 North,,Gambrills,MD,21054,United States,410.721.6393,39.020493,-76.693314,"Mon 5:00AM - 9:00PM, Tue 5:00AM - 9:00PM, Wed 5:00AM - 9:00PM, Thu 5:00AM - 9:00PM, Fri 5:00AM - 8:00PM, Sat 8:00AM - 3:00PM, Sun 8:00AM - 2:00PM",,,
Carlsbad,,2622-A El Camino Real,,Carlsbad,CA,92008,United States,760.654.6530,33.175705,-117.325706,"Mon 6:00AM - 9:00PM, Tue 6:00AM - 9:00PM, Wed 6:00AM - 9:00PM, Thu 6:00AM - 9:00PM, Fri 6:00AM - 8:00PM , Sat 8:00AM - 4:00PM, Sun 8:00AM - 2:00PM",,,
