store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Glasgow, KY Shoe Sensation ",623,Festival Plaza 106 Shane Drive, #60,Glasgow ,Kentucky,42141,US,(270) 629-2610,37.00594800,-85.92729900,"monday 10am - 9pm, tuesday 10am - 9pm, wednesday 10am - 9pm, thursday 10am - 9pm, friday 10am - 9pm, saturday 10am - 9pm, sunday 12pm - 6pm",,,
"Arkadelphia, AR Shoe Sensation ",624,Pine Plaza 2750 Pine Street, Suite D,Arkadelphia,Arkansas,71923,US,(870) 464-1534,34.12239600,-93.08491800,"monday 9am - 8pm, tuesday 9am - 8pm, wednesday 9am - 8pm, thursday 9am - 8pm, friday 9am - 9pm, saturday 9am - 9pm, sunday 12pm - 6pm",,,
"Grove, OK Shoe Sensation ",625,Honey Creek Plaza 1122 S. Main Street,,Grove,Oklahoma,74344,US,(918) 791-6132,36.58349100,-94.76916800,"monday 9am - 8pm, tuesday 9am - 8pm, wednesday 9am - 8pm, thursday 9am - 8pm, friday 9am - 9pm, saturday 9am - 9pm, sunday 12pm - 6pm",,,
"Hillsboro, OH Shoe Sensation ",626,Highland Plaza Shopping Center 1472 N. High Street, Suite 300,Hillsboro,Ohio,45133,US,(937) 402-3044,39.22930400,-83.60912800,"monday 10am - 9pm, tuesday 10am - 9pm, wednesday 10am - 9pm, thursday 10am - 9pm, friday 10am - 9pm, saturday 10am - 9pm, sunday 12pm - 5pm",,,
"Du Quoin, IL Shoe Sensation ",627,Southtowne Shopping Center 256 Southtowne Shopping Center,,Du Quoin,Illinois,62832,US,(618) 790-9128,37.99550100,-89.23529600,"monday 9am - 8pm, tuesday 9am - 8pm, wednesday 9am - 8pm, thursday 9am - 8pm, friday 9am - 9pm, saturday 9am - 9pm, sunday 12pm - 5pm",,,
"Covington, TN Shoe Sensation ",628,North Plaza 973 Highway 51 North,,Covington,Tennessee,38019,US,(901) 296-5420,35.58250900,-89.64306400,"monday 9am - 8pm, tuesday 9am - 8pm, wednesday 9am - 8pm, thursday 9am - 8pm, friday 9am - 9pm, saturday 9am - 9pm, sunday 12pm - 6pm",,,
"Bolivar, MO Shoe Sensation ",629,Cribber’s Corner 2520 S. Springfield Ave.,,Bolivar,Missouri,65613,US,(417) 326-8705,37.59171700,-93.40390700,"monday 9am - 8pm, tuesday 9am - 8pm, wednesday 9am - 8pm, thursday 9am - 8pm, friday 9am - 9pm, saturday 9am - 9pm, sunday 12pm - 6pm",,,
"Monett, MO Shoe Sensation ",630,Monett Marketplace 903 Highway 60,,Monett,Missouri,65708,US,(417) 393-0479,36.91350500,-93.88583800,"monday 9am - 8pm, tuesday 9am - 8pm, wednesday 9am - 8pm, thursday 9am - 8pm, friday 9am - 9pm, saturday 9am - 9pm, sunday 12pm - 6pm",,,
"Tell City, IN Shoe Sensation ",631,Lincoln Park Plaza 37 East Highway 66,,Tell City,Indiana,47586,US,(812) 566-5100,37.94001000,-86.76129900,"monday 10am - 8pm, tuesday 10am - 8pm, wednesday 10am - 8pm, thursday 10am - 8pm, friday 10am - 8pm, saturday 9am - 8pm, sunday 12pm - 6pm",,,
"Clinton, IA Shoe Sensation ",632,Suite C2900 SW 25th Street, Suite C,Clinton,Iowa,52732,US,(563) 242-0963,41.81644400,-90.24603800,"monday 9am - 8pm, tuesday 9am - 8pm, wednesday 9am - 8pm, thursday 9am - 8pm, friday 9am - 8pm, saturday 9am - 8pm, sunday 11am - 6pm",,,
