store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Petsense 211 - Palestine,211,2000,,Palestine,TX,75801,United States,903-723-0327,31.738297,-95.608650,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 202 - Nacogdoches,202,4909 North Street / N. Loop 224,STE 211,Nacogdoches,TX,75965,United States,936-559-7494,31.652018,-94.654732,"Mon-Sat: 9-9, Sun: 10-7",,,
Petsense 223 - Austin,223,7900 N FM 620,,Austin,TX,78726,United States,512-257-0998,30.415176,-97.850098,"Mon-Sat: 9-9, Sun: 10-7",,,
Petsense 245 - Gun Barrel City,245,1112 W. Main Street,,Gun Barrel City,TX,75156,United States,903-887-0714,32.332272,-96.132950,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 226 - Marshall,226,190 North East End Boulevard,,Marshall,TX,75670,United States,903-927-0052,32.546459,-94.386475,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 236 - Cleburne,236,1301 W Henderson Street,,Cleburne,TX,76033,United States,682-317-1280,32.341637,-97.404495,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 224 - Kingsville,224,830 S 14th Street,,Kingsville,TX,78363,United States,361-516-0045,27.509287,-97.855667,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 204 - Sulphur Springs,204,1602 South Broadway Street,,Sulphur Springs,TX,75482,United States,903-885-2542,33.110069,-95.596748,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 227 - Fort Worth (Eastchase),227,1408 Eastchase Parkway,Suite 100,Fort Worth,TX,76120,United States,817-459-3100,32.759064,-97.167229,"Mon-Sat: 9-9, Sun: 10-7",,,
Petsense 231 - Granbury,231,1417 S. Morgan Street,,Granbury,TX,76048,United States,682-205-3146,32.429813,-97.793655,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 206 - Greenville,206,8110 Wesley St.,STE 190,Greenville,TX,75402,United States,903-455-8372,33.091084,-96.110550,"Mon-Sat: 9-9, Sun: 10-7",,,
Petsense 250 - Mt. Pleasant,250,676 S. Jefferson Ave #18,,Mt. Pleasant,TX,75455,United States,(430) 222-2122,33.149055,-94.970490,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 235 - North Richland Hills,235,5615 Rufe Snow Dr.,,North Richland Hills,TX,76180,United States,817-656-4426,32.848289,-97.239304,"Mon-Sat: 9-9, Sun: 10-7",,,
Petsense 244 - Ruston,244,1411 Eagle Drive,,Ruston,LA,71270,United States,318-224-7099,32.543293,-92.625443,"Mon-Sat: 9-9, Sun: 10-7",,,
Petsense 233 - Frisco,233,12398 FM 423,,Frisco,TX,75034,United States,469-287-9042,33.181065,-96.885628,"Mon-Sat: 9-9, Sun: 10-7",,,
Petsense 225 - Brownwood,225,525 W Commerce Street,,Brownwood,TX,76801,United States,325-646-2062,31.730463,-98.985550,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 334 - Zachary,334,5875 Main Street,Suite A,Zachary,LA,70791,United States,225-654-1460,30.648708,-91.142647,"Mon-Sat: 9-9, Sun: 10-7",,,
"Petsense 254 - Vidalia, LA",254,1649 Carter Street,,Vidalia,LA,71373,USA,318-336-4833,31.572149,-91.446297,"Mon-Sat: 9-8<br/>Sun: 11-6, Grooming Salon: Yes",,,
Petsense 247 - Uvalde,247,2270 E. Main St. Suite #4B,,Uvalde,TX,78801,United States,830-261-5813,29.221939,-99.764420,"Mon-Sat: 9-8, Sun: 10-6",,,
Petsense 232 - El Dorado,232,2620 N West Avenue,Suite C,El Dorado,AR,71730,United States,870-639-3582,33.239304,-92.665749,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 222 - Hammond,222,1818 W. Thomas Street,,Hammond,LA,70401,United States,985-419-9916,30.500933,-90.480698,"Mon-Sat: 8-9, Sun: 10-7",,,
Petsense 242 - Durant,242,2501 W. Main St.,,Durant,OK,74701,United States,,33.998367,-96.408684,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 327 - McComb,327,1434 B Delaware Avenue,,McComb,MS,39648,United States,601-250-1250,31.247532,-90.470337,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 335 - Brookhaven,335,937 Brookway Blvd,Suite A,Brookhaven,MS,39601,United States,601-833-3338,31.579861,-90.452019,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 322 - Vicksburg,322,3405 Pemberton Square Blvd,Suite 100,Vicksburg,MS,39180,United States,601-636-2326,32.313412,-90.880753,"Mon-Sat: 9-9, Sun: 10-7",,,
Petsense 214 - Ada,214,1500 Hoppe BLVD,STE 12,Ada,OK,74820,United States,580-272-0322,34.790169,-96.659241,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 365 - Greenville,365,1746 Mississippi 1 Suite B,,Greenville,MS,38701,United States,662-702-5063,33.371372,-91.038307,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 209 - McAlester,209,512 S. George Nigh Expy.,STE A,McAlester,OK,74501,United States,918-302-0172,34.917088,-95.744362,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 364 - Brandon,364,315 Cross Gates Blvd. Suite B,,Brandon,MS,39042,United States,6015917502,32.285465,-90.036560,"Mon-Sat: 9-9, Sun: 10-7",,,
Petsense 221 - Pine Bluff,221,5514 S. Olive Street,Suite A,Pine Bluff,AR,71603,United States,870-534-9887,34.174732,-92.007347,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 240 - Poteau,240,2120 N. Broadway,,Poteau,OK,74953,United States,918-647-7052,35.063644,-94.620880,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 212 - Lawton,212,4017 NW Cache Rd.,,Lawton,OK,73501,United States,580-591-0496,34.623344,-98.210098,"Mon-Sat: 9-9, Sun: 10-7",,,
Petsense 345 - Biloxi,345,2650 Beach Boulevard,Suite 29,Biloxi,MS,39531,United States,228-207-6470,30.389025,-88.992813,"Mon-Sat: 9-9, Sun: 10-7",,,
Petsense 241 - North Little Rock,241,13300 Crystal Hill Rd.,,North Little Rock,AR,72113,United States,501-753-4900,34.830772,-92.391823,"Mon-Sat: 9-8<br/>Sun: 11-6, Grooming Salon: Yes",,,
"Petsense 315 - Laurel, MS",315,922 16th Avenue,,Laurel,MS,39440,United States,601-649-3210,31.676769,-89.146820,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 239 - Chickasha,239,1786 South 4th Street,,Chickasha,OK,73018,United States,405-222-7006,35.032021,-97.936638,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 216 - Russellville,216,319 Weir Road,Suite 2,Russellville,AR,72802,United States,479-967-2127,35.278992,-93.106941,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 217 - Tahlequah,217,1909 South Muskogee Ave,Suite 600,Tahlequah,OK,74464,United States,918-453-0010,35.891102,-94.977188,"Mon-Sat: 9-8, Sun: 11-6",,,
Petsense 215 - Searcy,215,3540 E. Race Ave.,,Searcy,AR,72143,United States,501-368-0493,35.250336,-91.686638,"Mon-Sat: 8-8, Sun: 9-6",,,
Petsense 238 - Claremore,238,506 S. Lynn Riggs Blvd.,,Claremore,OK,74017,United States,918-341-4331,36.307632,-95.618553,"Mon-Sat: 9-9, Sun: 10-7",,,
