store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,1200 W Northern Lights Blvd,,Anchorage,AK,99503,United States,(907) 272-4565,,,"Monday - Friday  10am - 9pm, Saturday  10am - 7pm, Sunday  10am - 7pm",,,
,,5901 Mills Civic Pkwy,,West Des Moines,IA,50266,United States,(515) 221-1938,,,"Monday - Friday  10am - 9pm, Saturday  10am - 9pm, Sunday  10am - 6pm",,,
,,8490 Castleton Corner Dr,,Indianapolis,IN,46250,United States,(317) 585-1938,,,"Monday - Friday  10am - 9pm, Saturday  10am - 9pm, Sunday  11am - 6pm",,,
,,1209 East Golf Road,,Schaumburg,IL,60173,United States,(847) 619-6729,,,"Monday - Friday  10am - 9pm, Saturday  10am - 9pm, Sunday  10am - 7pm",,,
,,17W160 22nd St,,Oakbrook Terrace,IL,60181,United States,(630) 574-7700,,,"Monday - Friday  10am - 9pm, Saturday  9am - 9pm, Sunday  10am - 7pm",,,
,,63 W Aylesbury Rd,,Timonium,MD,21093,United States,(410) 252-5920,,,"Monday - Friday  10am - 9pm, Saturday  10am - 9pm, Sunday  11am - 6pm",,,
,,6281 W 135 St,,Overland Park,KS,66223,United States,(913) 402-1938,,,"Monday - Friday  10am - 9pm, Saturday  10am - 9pm, Sunday  11am - 6pm",,,
,,6100 Dobbin Rd,,Columbia,MD,21045,United States,(410) 872-1742,,,"Monday - Friday  10am - 9pm, Saturday  10am - 9pm, Sunday  11am - 7pm",,,
,,401 Park Dr,,Boston,MA,02215,United States,(617) 236-0746,,,"Monday - Friday  10am - 9pm, Saturday  10am - 8pm, Sunday  11am - 6pm",,,
,,,,,,,United States,,,,,,,
,,375 Cochituate Rd,,Framingham,MA,01701,United States,(508) 270-6325,,,"  Monday - Friday  10am - 9pm, Saturday  10am - 9pm, Sunday  11am - 6pm",,,
,,910 Rose Avenue,,North Bethesda,MD,20852,United States,(301) 770-1751,,,"Monday - Friday  10am - 9pm, Saturday  10am - 9pm, Sunday  11am - 6pm",,,
,,888 Willow Road,,Northbrook,IL,60062,United States,(847) 480-1938,,,"Monday - Friday  10am - 9pm, Saturday  9am - 9pm, Sunday  10am - 7pm",,,
,,1466 N Halsted St,,Chicago,IL,60642,United States,(312) 951-6020,,,"Monday - Friday  10am - 9pm, Saturday  9am - 9pm, Sunday  10am - 7pm",,,
,,1165 Perimeter Ctr W,,Atlanta,GA,30338,United States,(770) 901-9200,,,"Monday - Friday  10am - 9pm, Saturday  9am - 9pm, Sunday  11am - 6pm",,,
,,8300 W Emerald St,,Boise,ID,83704,United States,(208) 322-1141,,,"Monday - Friday  10am - 9pm, Saturday  9am - 7pm, Sunday  11am - 6pm",,,
,,7483 W Towne Way,,Madison,WI,53719,United States,(608) 833-6680,,,"Monday - Friday  10am - 9pm, Saturday  9am - 9pm, Sunday  10am - 6pm",,,
,,3825 S Steele St,,Tacoma,WA,98409,United States,(253) 671-1938,,,"Monday - Friday  10am - 9pm, Saturday  10am - 8pm, Sunday  10am - 6pm",,,
,,13100 W Capitol Dr,,Brookfield,WI,53005,United States,(262) 783-6150,,,"Monday - Friday  10am - 9pm, Saturday  9am - 9pm, Sunday  10am - 6pm",,,
,,1125 N Monroe St,,Spokane,WA,99201,United States,(509) 328-9900,,," Monday - Friday  10am - 8pm, Saturday  9:30am - 7pm, Sunday  10am - 6pm",,,
,,240 Andover Park W,,Tukwila,WA,98188,United States,(206) 248-1938,,,"Monday - Friday  10am - 9pm, Saturday  10am - 8pm, Sunday  11am - 7pm",,,
,,10903 NW Myhre Pl,,Silverdale,WA,98383,United States,(360) 337-1938,,,"Monday - Friday  10am - 9pm, Saturday  10am - 7pm, Sunday  11am - 6pm",,,
,,129 N Ely St,,Kennewick,WA,99336,United States,(509) 734-8989,,,"Monday - Friday  10am - 7pm, Saturday  10am - 7pm, Sunday  11am - 6pm",,,
,,222 Yale Ave N,,Seattle,WA,98109,United States,(206) 223-1944,,,"Monday - Friday  9am - 9pm, Saturday  9am - 9pm, Sunday  10am - 7pm",,,
,,735 Northwest Gilman Boulevard,,Issaquah,WA,98027,United States,(425) 313-1660,,,"Monday - Friday  9am - 9pm, Saturday  9am - 8pm, Sunday  10am - 6pm",,,
,,625 Black Lake Blvd SW,,Olympia,WA,98502,United States,(360) 786-1938,,,"Monday - Friday  10am - 9pm, Saturday  10am - 9pm, Sunday  10am - 6pm",,,
,,400 36th St,,Bellingham,WA,98225,United States,(360) 647-8955,,,"Monday - Friday  10am - 8pm, Saturday  10am - 7pm, Sunday  11am - 6pm",,,
,,3000 184th St SW,,Lynnwood,WA,98037,United States,(425) 640-6200,,,"Monday - Friday  10am - 9pm, Saturday  10am - 9pm, Sunday  11am - 7pm",,,
,,410 116th Ave NE,,Bellevue,WA,98004,United States,(425) 455-1938,,,"           Monday - Friday  10am - 9pm, Saturday  9am - 9pm, Sunday  10am - 7pm",,,
,,15200 Potomac Town Place,,Woodbridge,VA,22191,United States,(703) 583-1938,,,"Monday - Friday  10am - 9pm, Saturday  10am - 9pm, Sunday  11am - 6pm",,,
