store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Pieology Pizzeria, Grand Rapids",8119,2006 E. Beltline,,Grand Rapids,MI,49525,US,(616) 202-4809,42.99953964,-85.58955649,"sunday 11:00-21:00, monday 11:00-21:00, tuesday 11:00-21:00, wednesday 11:00-21:00, thursday 11:00-21:00, friday 11:00-22:00, saturday 11:00-22:00",,,1
"Pieology Pizzeria, Indy 96th Street",6048,8235 E. 96th Street,,Indianapolis,IN,46256,US,(317) 288-8951,39.92567665,-86.02327377,"monday 11:00-21:00, tuesday 11:00-21:00, wednesday 11:00-21:00, thursday 11:00-21:00, friday 11:00-22:00, saturday 11:00-22:00, sunday 11:00-21:00",,,0
"Pieology Pizzeria,  New York",8128,168 Bleecker Street,,New York,NY,10012,US,(949) 800-8314,40.72851163823323,-74.00049667232788,,,,1
"Pieology Pizzeria, Bethesda",8124,4922 Elm Street,,Bethesda,MD,20814,US,,38.98193347,-77.09717651,,,,1
"Pieology Pizzeria, Gaithersburg, MD",8080,15780 Shady Grove Road,,Gaithersburg,MD,20877,US,(301) 519-1200,39.11703842,-77.18610249,"monday 11:00-22:00, tuesday 11:00-22:00, wednesday 11:00-22:00, thursday 11:00-22:00, friday 11:00-22:00, saturday 11:00-22:00, sunday 11:00-22:00",,,0
"Pieology Pizzeria, Stamford",8130,230 Tresser Blvd,Ste 005,Stamford,CT,6901,US,(617) 320-4680,41.0517205,-73.5366118,,,,1
"Pieology Pizzeria Avondale, AZ",8037,9915 W. McDowell Road,,Avondale,AZ,85392,US,(623) 907-0300,33.464221,-112.2730315,"monday 11:00-21:30, tuesday 11:00-21:30, wednesday 11:00-21:30, thursday 11:00-21:30, friday 11:00-22:30, saturday 11:00-22:30, sunday 11:00-21:30",,,0
"Pieology Pizzeria Chandler Gateway, Chandler, AZ",8065,3450 West Chandler Blvd,Suite 5,Chandler,AZ,85226,US,(480) 963-3499,33.30707927,-111.8992596,"monday 11:00-21:00, tuesday 11:00-21:00, wednesday 11:00-21:00, thursday 11:00-21:00, friday 11:00-21:30, saturday 11:00-21:30, sunday 11:00-21:00",,,0
Pieology Pizzeria Phoenix,8123,903 E bell Road,,Phoenix,AZ,85022,US,602-978-0000,33.639873,-112.060722,"monday 11:00-21:30, tuesday 11:00-21:30, wednesday 11:00-21:30, thursday 11:00-21:30, friday 11:00-22:00, saturday 11:00-22:00, sunday 11:00-21:00",,,0
"Pieology Pizzeria Speedway, Tucson, AZ",8026,914 E.Speedway Blvd.,,Tucson,AZ,85719,US,(520) 792-1177,32.23583228,-110.9576816,"monday 11:00-22:00, tuesday 11:00-22:00, wednesday 11:00-22:00, thursday 11:00-22:00, friday 11:00-00:00, saturday 11:00-00:00, sunday 11:00-22:00",,,0
"Pieology Pizzeria, Mesa / Greenfield Gateway",8110,1766 S. Greenfield Road # 103,,Mesa,AZ,85206,US,(480) 813-4292,33.38249016,-111.7397863,"monday 11:00-21:00, tuesday 11:00-21:00, wednesday 11:00-21:00, thursday 11:00-21:00, friday 11:00-21:30, saturday 11:00-21:30, sunday 11:00-21:00",,,0
"Pieology Pizzeria Cedar Park, TX",8014,905 E. Whitestone Blvd,Ste. A,Cedar Park,TX,78613,US,(512) 986-7496,30.5251354,-97.82047866,"monday 11:00-21:30, tuesday 11:00-21:30, wednesday 11:00-21:30, thursday 11:00-21:30, friday 11:00-22:30, saturday 11:00-22:30, sunday 11:00-21:00",,,0
"Pieology Pizzeria Guadalupe Station, San Marco",8063,301 N. Guadalupe,Suite 155,San Marcos,TX,78666,US,(512) 757-8571,29.88438005,-97.94193767,"monday 11:00-21:30, tuesday 11:00-21:30, wednesday 11:00-21:30, thursday 11:00-21:30, friday 11:00-22:30, saturday 11:00-22:30, sunday 11:00-21:00",,,0
"Pieology Pizzeria, Austin, TX",8082,1201 Barbara Jordan Blvd,"Building 11, Suite 150",Austin,TX,78723,US,(737) 222-6652,30.30633349,-97.70902852,"monday 11:00-21:30, tuesday 11:00-21:30, wednesday 11:00-21:30, thursday 11:00-21:30, friday 11:00-22:30, saturday 11:00-22:30, sunday 11:00-21:30",,,0
"Pieology Pizzeria Jacksonville Beach, FL",8104,1850 3rd St South,,Jacksonville Beach,FL,32250,US,(949) 800-8314,30.27079739,-81.38869554,,,,1
