store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Corvette/Bowling Green,360,553 Duntov Street,,Bowling Green,KY,42101,USA,(270)746-8453,37.0070308,-86.3743819,,,,
McMaster Main Street,354,1331-1335 Main Street W.,Unit #5,Hamilton,ON,L8S 1C6,Canada,(289)389-0900,43.2575066,-79.9187816,,,,
"Milton, ON",355,20 Market Dr,Unit 3,Milton,ON,L9T 3H5,Canada,(905)864-9333,43.5231151,-79.899635,,,,
"Bremmner, Toronto, ON",352,135 Bremner Blvd,,Toronto,ON,M5J 0A1,Canada,(647)344-4366,43.6429065,-79.3799725,,,,
Bloor St East,362,366 Bloor Street East,#3,Toronto,ON,M4W 1H4,Canada,(647)748-2093,43.6723987,-79.3777934,,,,
Baton Rouge,372,5000 Hennessy Blvd,,Baton Rouge,LA,70808,USA,(225)769-3399,30.403958,-91.1070679,,,,
Tulsa,400,3944 S Garnett RD,,Tulsa,OK,74146,,(918) 938-7152,36.1060592,-95.8515454,,,,
Tulsa - American Airlines Facility,387,3900 N. Mingo Rd,,Tulsa,OK,74137,USA,(918)388-9138,36.2101132,-95.8687967,,,,
Inola,393,30640 S 4200 Rd,,Inola,OK,74036,USA,(918)543-8370,36.16797,-95.529771,,,,
Quantico - VA,347,3500 Russell Rd,,Quantico,VA,22134,USA,(703)221-5070,38.5205852,-77.3485465,,,,
"Rome, NY",364,827 Black River Blvd,,Rome,NY,13440,USA,(315)336-2222,43.2204702,-75.4476701,,,,
Central Piedmont Community College,391,1201 Elizabeth Ave,,Charlotte,NC,28235,USA,(704)595-3338,35.2174539,-80.8304318,,,,
Poydras St New Orleans LA 2089,361,1515-Poydras Street,Suite # 160,New Orleans,LA,70112,USA,(504)309-8311,29.9525755,-90.0784568,,,,
"Madison, MS",392,1210 Gluckstadt Rd,,Madison,MS,39110,USA,(769)300-0863,32.5173062,-90.0986384,,,,
"Century Park, Bend-OR",341,320 SW Century Drive,#210,Bend,OR,97702,USA,(541)647-1043,44.0470768,-121.3302758,,,,
Cascade Village- Bend OR,317,63455 N Highway 97,#41,Bend,OR,97701,USA,(541)317-1112,44.1024658,-121.3018309,,,,
"Redmond, OR",353,865 SW 17th Street,#101,Redmond,OR,97756,USA,(541)516-4015,44.2690372,-121.1882259,,,,
Cobblestone Crossing,394,2771 Monument Rd.,#27,Jacksonville,FL,32225,USA,(904)620-0484,30.3618942,-81.5012299,,,,
Gainesville FL,356,203 NE 39th Street,,Gainesville,FL,32609,USA,(352)377-0652,29.6879321,-82.3220931,,,,
34th  Williston Rd,399,5248 SW 34th Street,,Gainesville,FL,32608,USA,(352)225-5607,29.6112131,-82.3717806,,,,
"Mission Lakes - Salem, OR",335,1920 Turner Rd SE,Ste C,Salem,OR,97302,USA,(503)362-3333,44.9148327,-122.9984393,,,,
Dresden Row,366,1526 Dresden Row,,Halifax,NS,B3J 3K3,Canada,(902)446-2252,44.6433222,-63.5783217,,,,
3rd  Marion,278,823 Third Avenue,#100,Seattle,WA,98104,USA,(206)467-4878,47.6045591,-122.3335092,,,,
Pioneer Square,277,107 1st Ave S,,Seattle,WA,98104,USA,(206)467-5940,47.6013795,-122.3345335,,,,
Seattle Ferry Terminal,371,801 Alaskan Way # F,Colman Dock-Pier 52,Seattle,WA,98104,USA,(206)467-5991,47.6027078,-122.3383181,,,,
Westlake,291,1620 4th Ave,,Seattle,WA,98101,USA,(206)343-0400,47.6118709,-122.337913,,,,
"9th  Stewart - Seattle, WA",300,908 Stewart St,,Seattle,WA,98101,USA,(206)624-4300,47.616026,-122.3344789,,,,
1st  Blanchard,288,2136 1st Ave,,Seattle,WA,98121,USA,(206)448-8877,47.6126859,-122.3448973,,,,
Seattle University,304,816 12th Ave,,Seattle,WA,98122,USA,(206)324-0079,47.6097885,-122.3165285,,,,
Harrison,293,1165 Harrison St,,Seattle,WA,98109,USA,(206)624-2114,47.6218191,-122.333511,,,,
