store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Pizza Patron,,5835 Culebra Road,,San Antonio,TX,,United States,210-402-9660,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,10081 Lake June Road,,Dallas,TX,75217,United States,972-285-1300,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,6119 Telephone Road,,Houston,TX,,United States,713-847-9191,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,2727 8th Avenue,,Ft Worth,TX,76110,United States,817-920-7808,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,1456 Beltline Road,,,,,United States,214-703-9709,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,526 E. Pipeline Road,,,,,United States,817-282-0033,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,13909 Nacogdoches Road,,San Antonio,TX,,United States,210-590-9466,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,6102 Skillman St. Ste 100,,,,,United States,214-365-9191,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,450 Uvalde Road,,,,,United States,713-330-9191,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,11411 Northwest Highway,,,,,United States,214-342-9191,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,716 S. Closner Boulevard,,,,,United States,956-270-4261,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,2603 NE Bob Bullock Loop,,Laredo,TX,,United States,956-791-9799,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,8223 Marbach Road,,San Antonio,TX,,United States,210-670-0303,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,9794 Forest Lane,,,,,United States,214-348-9191,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,2313 South Cicero Avenue,,,,,United States,708-652-5352,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,14405 Suite A Bellaire Blvd,,,,,United States,281-741-0031,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,2000 East Pioneer Parkway,,,,,United States,817-275-9191,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,49-225 #1 Grapefruit Blvd,,,,,United States,760-391-9900,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,5166 Aldine Mail Route,,,,,United States,281-372-0909,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,"5803 N. Fry Road, Suite 101",,,,,United States,281-858-9494,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
Pizza Patron,,5800 Bellaire Blvd.,,,,,United States,713-218-9191,,,Mon-Th 10:30am-10:00pm. Fri-Sat 10:30am-11:00pm. Sunday 10:30am-10:00pm,,,
