store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Corte Madera,172018,1624 Redwood Highway,,Corte Madera,CA,94925,United States,4159245400,37.9321465,-122.5157549,"monday 10:00 AM-8:00 PM, tuesday 10:00 AM-8:00 PM, wednesday 10:00 AM-8:00 PM, thursday 10:00 AM-8:00 PM, friday 10:00 AM-8:00 PM, saturday 10:00 AM-7:00 PM, sunday 11:00 AM-6:00 PM",,,
Montana Avenue,172076,1402 Montana Avenue,,Santa Monica,CA,90403,United States,3103947900,34.0321961,-118.49487,"monday 10:00 AM-7:00 PM, tuesday 10:00 AM-7:00 PM, wednesday 10:00 AM-7:00 PM, thursday 10:00 AM-7:00 PM, friday 10:00 AM-7:00 PM, saturday 10:00 AM-7:00 PM, sunday 11:00 AM-6:00 PM",,,
Carlsbad,172078,1925 Calle Barcelona, Suite 163,Carlsbad,CA,92009,United States,7606348004,33.0703833,-117.2628032,"monday 10:00 AM-9:00 PM, tuesday 10:00 AM-9:00 PM, wednesday 10:00 AM-9:00 PM, thursday 10:00 AM-9:00 PM, friday 10:00 AM-9:00 PM, saturday 10:00 AM-9:00 PM, sunday 11:00 AM-6:00 PM",,,
Brentwood,172080,11640 San Vicente Boulevard, Suite 108,Los Angeles,CA,90049,United States,3104425900,34.0535103,-118.4630933,"monday 10:00 AM-7:00 PM, tuesday 10:00 AM-7:00 PM, wednesday 10:00 AM-7:00 PM, thursday 10:00 AM-7:00 PM, friday 10:00 AM-7:00 PM, saturday 10:00 AM-7:00 PM, sunday 11:00 AM-6:00 PM",,,
Los Gatos,172100,11 North Santa Cruz Avenue,,Los Gatos,CA,95030,United States,4083544900,37.2229867,-121.9838327,"monday 10:00 AM-6:00 PM, tuesday 10:00 AM-6:00 PM, wednesday 10:00 AM-6:00 PM, thursday 10:00 AM-6:00 PM, friday 10:00 AM-6:00 PM, saturday 9:00 AM-6:00 PM, sunday 10:00 AM-6:00 PM",,,
La Fiesta Plaza,172113,3543 Mt. Diablo Boulevard,,Lafayette,CA,94549,United States,9259629060,37.891644,-122.1197642,"monday 10:00 AM-7:00 PM, tuesday 10:00 AM-7:00 PM, wednesday 10:00 AM-7:00 PM, thursday 10:00 AM-8:00 PM, friday 10:00 AM-8:00 PM, saturday 10:00 AM-7:00 PM, sunday 11:00 AM-7:00 PM",,,
Larchmont,172118,158 North Larchmont Boulevard,,Los Angeles,CA,90004,United States,3239623001,34.0747351,-118.323382,"monday 10:00 AM-7:00 PM, tuesday 10:00 AM-7:00 PM, wednesday 10:00 AM-7:00 PM, thursday 10:00 AM-7:00 PM, friday 10:00 AM-7:00 PM, saturday 10:00 AM-7:00 PM, sunday 10:00 AM-7:00 PM",,,
The Point,172119,840 S. Sepulveda Boulevard,,El Segundo,CA,90245,United States,3104161006,33.9028202,-118.3954328,"monday 10:00 AM-9:00 PM, tuesday 10:00 AM-9:00 PM, wednesday 10:00 AM-9:00 PM, thursday 10:00 AM-9:00 PM, friday 10:00 AM-9:00 PM, saturday 10:00 AM-6:00 PM, sunday 11:00 AM-5:00 PM",,,
Inside Macy's Union Square,172501,170 O'Farrell St,,San Francisco,CA,94102,United States,4152964674,37.7867986,-122.4073963,"monday 10:00 AM-9:00 PM, tuesday 10:00 AM-9:00 PM, wednesday 10:00 AM-9:00 PM, thursday 10:00 AM-9:00 PM, friday 10:00 AM-9:00 PM, saturday 10:00 AM-9:00 PM, sunday 11:00 AM-7:00 PM",,,
Inside Macy's Victoria Gardens,172502,7855 Kew Avenue,,Rancho Cucamonga,CA,91739,United States,9096463333,34.1108263,-117.5301602,"monday 10:00 AM-9:00 PM, tuesday 10:00 AM-9:00 PM, wednesday 10:00 AM-10:00 PM, thursday 10:00 AM-10:00 PM, friday 10:00 AM-10:00 PM, saturday 10:00 AM-10:00 PM, sunday 11:00 AM-9:00 PM",,,
Inside Macy's Santa Anita,172503,400 S. Baldwin Avenue,,Arcadia,CA,91007,United States,6264455711,34.1349204,-118.0509968,"monday 10:00 AM-9:00 PM, tuesday 10:00 AM-9:00 PM, wednesday 10:00 AM-9:00 PM, thursday 10:00 AM-9:00 PM, friday 10:00 AM-9:30 PM, saturday 10:00 AM-9:30 PM, sunday 11:00 AM-7:00 PM",,,
Inside Macy's Roseville Galleria,172511,1197 Galleria Boulevard,,Roseville,CA,95678,United States,9167873314,38.7753003,-121.2683993,"monday 10:00 AM-9:00 PM, tuesday 10:00 AM-9:00 PM, wednesday 10:00 AM-9:00 PM, thursday 10:00 AM-9:00 PM, friday 10:00 AM-9:30 PM, saturday 10:00 AM-9:30 PM, sunday 11:00 AM-8:00 PM",,,
Inside Macy's Valley Fair,172512,2801 Stevens Creek Boulevard,,Santa Clara,CA,95050,United States,4082616005,37.32418029999999,-121.9483679,"monday 10:00 AM-9:00 PM, tuesday 10:00 AM-9:00 PM, wednesday 10:00 AM-9:30 PM, thursday 10:00 AM-9:30 PM, friday 10:00 AM-9:30 PM, saturday 10:00 AM-10:00 PM, sunday 11:00 AM-8:00 PM",,,
Inside Macy's Del Amo,172513,21600 Hawthorne Boulevard,,Torrance,CA,90503,United States,3107932725,33.831725,-118.3521839,"monday 10:00 AM-9:00 PM, tuesday 10:00 AM-9:00 PM, wednesday 10:00 AM-9:00 PM, thursday 10:00 AM-9:00 PM, friday 10:00 AM-9:30 PM, saturday 10:00 AM-9:30 PM, sunday 11:00 AM-7:00 PM",,,
Inside Macy's Sherman Oaks,172514,14000 Riverside Drive,,Sherman Oaks,CA,91423,United States,8183797819,34.1571138,-118.4354635,"monday 10:00 AM-9:00 PM, tuesday 10:00 AM-9:00 PM, wednesday 10:00 AM-9:00 PM, thursday 10:00 AM-9:00 PM, friday 10:00 AM-9:00 PM, saturday 10:00 AM-9:00 PM, sunday 11:00 AM-7:00 PM",,,
Inside Macy's Stanford,172521,300 Stanford Shopping Center,,Palo Alto,CA,94304,United States,6503263482,37.4421979,-122.1716422,"monday 10:00 AM-9:00 PM, tuesday 10:00 AM-9:00 PM, wednesday 10:00 AM-9:00 PM, thursday 10:00 AM-9:00 PM, friday 10:00 AM-9:00 PM, saturday 10:00 AM-9:00 PM, sunday 11:00 AM-7:00 PM",,,
Inside Macy's Century City,172526,10250 Santa Monica Boulevard, Suite 100,Los Angeles,CA,90067,United States,4243593584,34.0587493,-118.4190646,"monday 10:00 AM-9:00 PM, tuesday 10:00 AM-9:00 PM, wednesday 10:00 AM-9:00 PM, thursday 10:00 AM-10:00 PM, friday 10:00 AM-10:00 PM, saturday 10:00 AM-10:00 PM, sunday 11:00 AM-7:00 PM",,,
Chestnut Street,172120,2060 Chestnut Street,,San Francisco,CA,94123,United States,4153463460,37.800861,-122.4376364,"monday 10:00 AM-7:00 PM, tuesday 10:00 AM-7:00 PM, wednesday 10:00 AM-7:00 PM, thursday 10:00 AM-7:00 PM, friday 10:00 AM-8:00 PM, saturday 10:00 AM-8:00 PM, sunday 11:00 AM-6:00 PM",,,
