store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Roanoke, Virginia",,4802 Valley View Blvd.,,Roanoke,Virginia,24012,United States,540.265.3555,,,Sunday  11:00 a.m.-9:00 p.mMonday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour: Monday-Friday 3 p.m.-7 p.m.Plus Saturday and Sunday 11 a.m. - 6 p.m.,,,
"Tyler, Texas",,8926 South Broadway,,Tyler,Texas,75703,United States,903.581.2611,,,Sunday-Thursday:  11 a.m. - 10 p.m.Friday & Saturday:  11 a.m. - 11 p.m.Happy Hour:  Sun.-Fri. 3 p.m. - 7 p.m.,,,
"Chesapeake, Virginia",,1712 Ring Rd.,,Chesapeake,Virginia,23320,United States,757.961.7610,,,Sunday-Tuesday 11:00a.m.-9:00p.m.Wednesday-Saturday 11:00a.m.-10:00p.m.Happy Hour: Monday-Friday 3p.m.-7p.m.Plus Saturday & Sunday 11a.m.-6p.m.,,,
"The Colony, Texas",,5733 State Highway 121,,The Colony,Texas,75056,United States,214-618-0788,,,NOW OPEN!Sunday-Thursday  11:00 a.m. - 10:00 p.m.Friday-Saturday 11:00 a.m. - 11:00 p.m.Happy Hour: Sunday-Friday 3 p.m-7 p.m.,,,
"Midland, Texas",,2908 W. Loop 250 N,,Midland,Texas,79705,United States,432.685.3335,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.,,,
"Lubbock, Texas",,4401 82nd Street,,Lubbock,Texas,79424,United States,806.794.1762,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.,,,
"Hampton, Virginia",,2423 McMenamin St.,,Hampton,Virginia,23666,United States,757.224.5340,,,Sunday-Thursday 11:00 a.m.-9:00 p.m.Friday and Saturday 11:00 a.m.-10:00 p.m.Happy Hour: Monday-Friday 3 p.m.-7 p.m.Plus Saturday and Sunday 11 a.m. - 6 p.m.,,,
"Plano, Texas",,3420 N. Central Express Way,,Plano,Texas,75075,United States,972.423.9290,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour: Daily 3 p.m.-7 p.m.,,,
"Katy, Texas",,"24600 Katy Freeway, Ste. 1020",,Katy,Texas,77494,United States,281.392.1009,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour Sunday-Friday 3 p.m.-7 p.m.,,,
"Hurst, Texas",,850 Airport Freeway,,Hurst,Texas,76054,United States,817.514.9355,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour: Sunday - Friday  3 p.m.-7 p.m.,,,
"Fort Worth, Texas",,4740 S. Hulen Street,,Fort Worth,Texas,76132,United States,817.386.5600,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour: Daily 3 p.m.-7 p.m.,,,
"College Station, Texas",,840 East University Dr.,,College Station,Texas,77840,United States,979.260.3400,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour: Sunday - Friday 3 p.m.-7 p.m.,,,
"Austin, Texas",,2901 S. Capital of Texas Hwy,,Austin,Texas,78746,United States,512.306.0857,,,New Years Day open at NoonSunday-Thursday 11:00 a.m.-9:00 p.m.Friday and Saturday 11:00 a.m.-10:00 p.m.Bar Open LateSun.-Thurs. 'til 10 & Fri.-Sat.- 'til 11Appetizers and Drinks served outsideHappy Hour: Sunday-Friday 3 p.m.-7 p.m.And Late Night Sunday-Thursday8:30 p.m.-10:00 p.m.BANQUET ROOM RENTAL AVAILABLE,,,
"Arlington, Texas",,1041 West I-20,,Arlington,Texas,76017,United States,817.468.2622,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour: Sunday-Friday 3 p.m.-7 p.m.,,,
"Knoxville, Tennessee",,Turkey Creek - 11299 Parkside Dr.,,Knoxville,Tennessee,37934,United States,865.966.0075,,,Sunday-Thursday 11:00 a.m.-9:00 p.m.Friday and Saturday 11:00 a.m.-10:00 p.m.Happy Hour: Daily 3 p.m.-7 p.m.,,,
"Amarillo, Texas",,3501 W. 45th Avenue,,Amarillo,Texas,79109,United States,806.354.8294,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour: Sunday-Friday 3 p.m.-7 p.m.,,,
"Abilene, Texas",,4782 South 14th Street,,Abilene,Texas,79605,United States,325.692.4776,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour: Sunday-Friday 3 p.m. - 7 p.m.,,,
"Chattanooga, Tennessee",,2102 Hamilton Place Blvd.,,Chattanooga,Tennessee,37421,United States,423.855.7400,,,Sunday-Thursday 11:00 a.m.-9:00 p.m.Friday and Saturday 11:00 a.m.-10:00 p.m.Happy Hour: Daily  3 p.m.-7 p.m.,,,
"Bartlett, Tennessee",,8274 Hwy. 64,,Bartlett,Tennessee,38133,United States,901.672.0769,,,Sunday-Thursday 11:00 a.m.-9:00 p.m.Friday and Saturday 11:00 a.m.-10:00 p.m.Happy Hour: Daily 3 p.m. - 7 p.m.,,,
"Myrtle Beach, South Carolina",,740 Coastal Grand Circle,,Myrtle Beach,South Carolina,29577,United States,843.448.5533,,,Sunday - Thursday: 11:00 a.m. - 10:00 p.m.Friday & Saturday:  11:00 a.m.-11:00 p.m.Happy Hour: Daily 4:00 p.m.-7:00 p.m.,,,
"Tulsa, Oklahoma",,10909 East 71st Street South,,Tulsa,Oklahoma,74133,United States,918.249.1546,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour Food:Sunday - Friday 3 p.m.-7 p.m.,,,
"Oklahoma City, Oklahoma",,3001 West Memorial Rd.,,Oklahoma City,Oklahoma,73134,United States,405.755.2680,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Sunday Brunch:  11:00 a.m.-2:00 p.m.Happy Hour Food:Daily 3 p.m.-7 p.m.,,,
"Oklahoma City, Oklahoma",,17 East Sheridan in Bricktown,,Oklahoma City,Oklahoma,73104,United States,405.235.1422,,,Sunday-Thursday 11:00 a.m.-9:30 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour Food:Daily 3 p.m.-7 p.m.,,,
"Warrensville Heights, Ohio",,26100 Harvard Rd.,,Warrensville Heights,Ohio,44122,United States,216.360.9030,,,Sunday: 11 a.m. – 9 p.m.Monday - Thursday: 11 a.m. - 10 p.m.Friday & Saturday 11 a.m. – 11 p.m.Happy Hour:  Monday-Friday  3 p.m.-7 p.m.Plus Saturday and Sunday 11 a.m.-6 p.m.,,,
"Kansas City, Missouri",,8541 NW Prairie View Rd.,,Kansas City,Missouri,64153,United States,816.584.8557,,,Sunday 11:00 a.m.-9:00 p.m.Monday - Thursday 11:00 a.m. - 9:30 p.m.Friday and Saturday 11:00 a.m.-10:30 p.m.Happy Hour: Daily 3 p.m.-7 p.m.,,,
"Dayton, Ohio",,2420 N. Fairfield Rd.,,Dayton,Ohio,45431,United States,937.426.3070,,,Sunday-Thursday 11:00 a.m.-9:30 p.m.Friday and Saturday 11:00 a.m.-10:00 p.m.Happy Hour: Monday-Friday 3 p.m.-7 p.m.Saturday and Sunday 11 a.m. - 6 p.m.,,,
"Mason, Ohio",,5010 Deerfield Blvd.,,Mason,Ohio,45040,United States,513.336.7449,,,Sunday –Thursday 11:00 a.m. – 9:00 p.m.Friday and Saturday 11 a.m. – 10 p.m.Happy Hour: Sunday-Friday 3 p.m.-7 p.m.,,,
"Columbus, Ohio",,3950 Gramercy St.,,Columbus,Ohio,43219,United States,614.337.9006,,,"Sunday, Monday and Tuesday 11:00 a.m.-9:00 p.m.Wednesday and Thursday  11:00 a.m. - 10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour: Monday-Friday 3 p.m.-7 p.m.Plus Saturday and Sunday 11 a.m. - 6 p.m.",,,
"Crestview Hills, Kentucky",,2833 Dixie Hwy.,,Crestview Hills,Kentucky,41017,United States,859.344.1344,,,Sunday-Thursday 11:00 a.m.-9:00 p.m.Friday and Saturday 11:00 a.m.-10:00 p.m.Happy Hour: Sunday-Friday 3 p.m.-7 p.m,,,
"Carmel, Indiana",,14480 Lowes Way,,Carmel,Indiana,46033,United States,317.815.8175,,,Sunday-Thursday 11:00 a.m.-9:00 p.m.Friday and Saturday 11:00 a.m.-10:00 p.m.Daily Drink Specials,,,
"Merrillville, Indiana",,8255 Georgia Street,,Merrillville,Indiana,46410,United States,219.769.6181,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-10:30 p.m.Daily Drink Specials,,,
"Wichita, Kansas",,1413 N. Waterfront Pkwy.,,Wichita,Kansas,67206,United States,316.634.2230,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour: Daily 3 p.m.-7 p.m.,,,
"Lakeland, Florida",,3700 Lakeside Village Blvd.,,Lakeland,Florida,33803,United States,863.686.7500,,,Sunday-Thursday 11:00 a.m.-10:00 p.m.Friday and Saturday 11:00 a.m.-11:00 p.m.Happy Hour: Daily 3 p.m.-7 p.m.,,,
"Wichita, Kansas",,452 South Ridge Road,,Wichita,Kansas,67209,United States,316-946-1030,,,Sunday: 11:00 a.m. - 10:00 p.m.Monday - Thursday: 11 a.m. - 10 p.m.Friday & Saturday:  11 a.m. - 11 p.m.Happy Hour: Daily 3 p.m. - 7 p.m.And Late Night 9 p.m. to Close,,,
"Indianapolis, Indiana",,5910 W. 86th Street,,Indianapolis,Indiana,46278,United States,317.876.0250,,,Sunday-Thursday 11:00 a.m.-9:00 p.m.Friday and Saturday 11:00 a.m.-10:00 p.m.Daily Drink Specials,,,
