store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
North Platte,,1210 S. Jeffers St.,,North Platte,NE,69101,United States,308-534-0920,,,"Sunday: 10:30 am-9:00 pm, Monday: 10:30 am-9:00 pm, Tuesday: 10:30 am-9:00 pm, Wednesday: 10:30 am-9:00 pm, Thursday: 10:30 am-10:00 pm, Friday: 10:30 am-11:00 pm, Saturday: 10:30 am-10:00 pm, Sunday: 10:30 am-10:00 pm, Monday: 10:30 am-10:00 pm, Tuesday: 10:30 am-10:00 pm, Wednesday: 10:30 am-10:00 pm, Thursday: 10:30 am-11:00 pm, Friday: 10:30 am-12:00 am, Saturday: 10:30 am-11:00 pm",,,
Kearney - South,,1122 2nd Avenue,,Kearney,NE,68845,United States,308-237-2428,,,"Sunday: 10:30 am-8:00 pm, Monday: 10:30 am-8:00 pm, Tuesday: 10:30 am-8:00 pm, Wednesday: 10:30 am-8:00 pm, Thursday: 10:30 am-8:00 pm, Friday: 10:30 am-10:00 pm, Saturday: 10:30 am-10:00 pm, Sunday: 10:30 am-9:00 pm, Monday: 10:30 am-9:00 pm, Tuesday: 10:30 am-9:00 pm, Wednesday: 10:30 am-9:00 pm, Thursday: 10:30 am-9:00 pm, Friday: 10:30 am-11:00 pm, Saturday: 10:30 am-11:00 pm",,,
Kearney - North,,4207 2nd Avenue,,Kearney,NE,68847,United States,308-234-6991,,,"Sunday: 10:30 am-9:00 pm, Monday: 10:30 am-10:00 pm, Tuesday: 10:30 am-10:00 pm, Wednesday: 10:30 am-10:00 pm, Thursday: 10:30 am-10:00 pm, Friday: 10:30 am-10:00 pm, Saturday: 10:30 am-10:00 pm, Sunday: 10:30 am-10:00 pm, Monday: 10:30 am-10:00 pm, Tuesday: 10:30 am-11:00 pm, Wednesday: 10:30 am-11:00 pm, Thursday: 10:30 am-11:00 pm, Friday: 10:30 am-11:00 pm, Saturday: 10:30 am-11:00 pm",,,
Hastings,,607 S Burlington Ave,,Hastings,NE,68901,United States,402-463-5923,,,"Sunday: 10:30 am-10:00 pm, Monday: 10:30 am-10:00 pm, Tuesday: 10:30 am-10:00 pm, Wednesday: 10:30 am-10:00 pm, Thursday: 10:30 am-10:00 pm, Friday: 10:30 am-11:00 pm, Saturday: 10:30 am-11:00 pm, Sunday: 10:30 am-1:00 am, Monday: 10:30 am-1:00 am, Tuesday: 10:30 am-1:00 am, Wednesday: 10:30 am-1:00 am, Thursday: 10:30 am-2:00 am, Friday: 10:30 am-3:00 am, Saturday: 10:30 am-3:00 am",,,
Grand Island - Webb,,2325 N. Webb Road,,Grand Island,NE,68803,United States,308-384-1336,,,"Sunday: 10:30 am-9:00 pm, Monday: 10:30 am-9:00 pm, Tuesday: 10:30 am-9:00 pm, Wednesday: 10:30 am-10:00 pm, Thursday: 10:30 am-10:00 pm, Friday: 10:30 am-10:00 pm, Saturday: 10:30 am-10:00 pm, Sunday: 10:30 am-10:00 pm, Monday: 10:30 am-10:00 pm, Tuesday: 10:30 am-10:00 pm, Wednesday: 10:30 am-11:00 pm, Thursday: 10:30 am-11:00 pm, Friday: 10:30 am-11:00 pm, Saturday: 10:30 am-11:00 pm",,,
Grand Island - Locust,,2504 S. Locust St.,,Grand Island,NE,68801,United States,308-384-5579,,,"Sunday: 10:30 am-9:00 pm, Monday: 10:30 am-9:00 pm, Tuesday: 10:30 am-9:00 pm, Wednesday: 10:30 am-9:00 pm, Thursday: 10:30 am-9:00 pm, Friday: 10:30 am-10:00 pm, Saturday: 10:30 am-10:00 pm, Sunday: 10:30 am-10:00 pm, Monday: 10:30 am-10:00 pm, Tuesday: 10:30 am-10:00 pm, Wednesday: 10:30 am-10:00 pm, Thursday: 10:30 am-10:00 pm, Friday: 10:30 am-11:00 pm, Saturday: 10:30 am-11:00 pm",,,
Columbus,,3111 23rd Street,,Columbus,NE,68601,United States,402-564-6252,,,"Sunday: 8:00 am-7:45 pm, Monday: 6:00 am-7:45 pm, Tuesday: 6:00 am-7:45 pm, Wednesday: 6:00 am-7:45 pm, Thursday: 6:00 am-7:45 pm, Friday: 6:00 am-7:45 pm, Saturday: 6:00 am-7:45 pm, Sunday: 8:00 am-8:00 pm, Monday: 6:00 am-8:00 pm, Tuesday: 6:00 am-8:00 pm, Wednesday: 6:00 am-8:00 pm, Thursday: 6:00 am-8:00 pm, Friday: 6:00 am-8:00 pm, Saturday: 6:00 am-8:00 pm",,,
Columbus - East,,309 E. 23rd Street,,Columbus,NE,68601,United States,402-563-2140,,,"Sunday: 8:00 am-7:45 pm, Monday: 6:00 am-7:45 pm, Tuesday: 6:00 am-7:45 pm, Wednesday: 6:00 am-7:45 pm, Thursday: 6:00 am-7:45 pm, Friday: 6:00 am-7:45 pm, Saturday: 6:00 am-7:45 pm, Sunday: 8:00 am-8:00 pm, Monday: 6:00 am-8:00 pm, Tuesday: 6:00 am-8:00 pm, Wednesday: 6:00 am-8:00 pm, Thursday: 6:00 am-8:00 pm, Friday: 6:00 am-8:00 pm, Saturday: 6:00 am-8:00 pm",,,
David City,,375 Nebraska,,David City,NE,68632,United States,402-367-6008,,,"Sunday: Closed, Monday: 10:30 am-9:00 pm, Tuesday: 10:30 am-9:00 pm, Wednesday: 10:30 am-9:00 pm, Thursday: 10:30 am-9:00 pm, Friday: 10:30 am-9:00 pm, Saturday: 10:30 am-9:00 pm, Sunday: Closed, Monday: 11:00 am-9:00 pm, Tuesday: 11:00 am-9:00 pm, Wednesday: 11:00 am-9:00 pm, Thursday: 11:00 am-9:00 pm, Friday: 11:00 am-9:00 pm, Saturday: 11:00 am-9:00 pm",,,
Seward,,442 N. 6th Street,,Seward,NE,68434,United States,402-643-3708,,,"Sunday: 7:00 am-11:00 pm, Monday: 6:00 am-11:00 pm, Tuesday: 6:00 am-11:00 pm, Wednesday: 6:00 am-11:00 pm, Thursday: 6:00 am-11:00 pm, Friday: 6:00 am-11:00 pm, Saturday: 6:00 am-11:00 pm, Sunday: 7:00 am-12:00 am, Monday: 6:00 am-12:00 am, Tuesday: 6:00 am-12:00 am, Wednesday: 6:00 am-12:00 am, Thursday: 6:00 am-12:00 am, Friday: 6:00 am-2:00 am, Saturday: 6:00 am-2:00 am",,,
