store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Bloor St.,,500 Bloor St. West,,Toronto,ON,M5S 1Y3,Canada,(416) 536-7750,43.665333,-79.410110,"Monday 7:30 AM to 10:00 PM,Tuesday 7:30 AM to 10:00 PM,Wednesday 7:30 AM to 10:00 PM,Thursday 7:30 AM to 10:00 PM,Friday 7:30 AM to 10:00 PM,Saturday 8:00 AM to 10:00 PM,Sunday 8:00 AM to 10:00 PM",,,
Promenade Shopping Centre,,1 Promenade Circle,Unit M116,Thornhill,ON,L4J 4P8,Canada,(905) 881-1239,43.806667,-79.452484,"Monday 10:00 AM to 9:00 PM,Tuesday 10:00 AM to 9:00 PM,Wednesday 10:00 AM to 9:00 PM,Thursday 10:00 AM to 9:00 PM,Friday 10:00 AM to 9:00 PM,Saturday 9:30 AM to 6:00 PM,Sunday 11:00 AM to 6:00 PM",,,
Yonge-Eglinton Centre,,2300 Yonge St.,Unit UC1,Toronto,ON,M4P 1E4,Canada,(416) 987-7288,43.707130,-79.399109,"Monday 7:30 AM to 10:00 PM,Tuesday 7:30 AM to 10:00 PM,Wednesday 7:30 AM to 10:00 PM,Thursday 7:30 AM to 10:00 PM,Friday 7:30 AM to 10:00 PM,Saturday 9:00 AM to 11:00 PM,Sunday 9:00 AM to 10:00 PM",,,
Rutherford Marketplace,,9320 Bathurst St.,Unit G001001 Building No. 7,Vaughan,ON,L6A 4N9,Canada,(905) 303-3817,43.848549,-79.459007,"Monday 7:30 AM to 10:00 PM,Tuesday 7:30 AM to 10:00 PM,Wednesday 7:30 AM to 10:00 PM,Thursday 7:30 AM to 10:00 PM,Friday 7:30 AM to 10:00 PM,Saturday 8:00 AM to 10:00 PM,Sunday 8:00 AM to 10:00 PM",,,
121 King St. W. (PATH),,121 King St. West (PATH),Unit B100,Toronto,ON,M5H 3T9,Canada,(416) 362-7662,43.647774,-79.383125,"Monday 7:00 AM to 7:00 PM,Tuesday 7:00 AM to 7:00 PM,Wednesday 7:00 AM to 7:00 PM,Thursday 7:00 AM to 7:00 PM,Friday 7:00 AM to 6:00 PM,Saturday  Closed,Sunday  Closed",,,
Shops at Don Mills,,1090 Don Mills Rd,,Toronto,ON,M3C 3R6,Canada,(416) 443-1430,43.736443,-79.344200,"Monday 8:00 AM to 9:00 PM,Tuesday 8:00 AM to 9:00 PM,Wednesday 8:00 AM to 9:00 PM,Thursday 8:00 AM to 9:00 PM,Friday 8:00 AM to 10:00 PM,Saturday 8:30 AM to 10:00 PM,Sunday 8:30 AM to 10:00 PM",,,
Forest Hill Village,,383 Spadina Rd,,Toronto,ON,M5P 2W1,Canada,(416) 901-5874,43.687801,-79.412445,"Monday 7:00 AM to 9:00 PM,Tuesday 7:00 AM to 8:00 PM,Wednesday 7:00 AM to 9:00 PM,Thursday 7:00 AM to 9:00 PM,Friday 7:00 AM to 9:00 PM,Saturday 8:00 AM to 9:00 PM,Sunday 8:00 AM to 9:00 PM",,,
Eaton Centre,,220 Yonge St.,Unit number CRU-F1044,Toronto,ON,M5B 2H1,Canada,(647) 341-3883,43.653610,-79.380058,"Monday 8:00 AM to 9:30 PM,Tuesday 8:00 AM to 9:30 PM,Wednesday 8:00 AM to 9:30 PM,Thursday 8:00 AM to 9:30 PM,Friday 8:00 AM to 9:30 PM,Saturday 8:30 AM to 9:30 PM,Sunday 10:00 AM to 7:00 PM",,,
Liberty Village,,120 Lynn Williams St.,Unit 101,Toronto,ON,M6K 3P6,Canada,(647) 352-7700,43.638664,-79.417160,"Monday 7:30 AM to 10:00 PM,Tuesday 7:30 AM to 10:00 PM,Wednesday 7:30 AM to 10:00 PM,Thursday 7:30 AM to 10:00 PM,Friday 7:30 AM to 10:00 PM,Saturday 8:00 AM to 10:00 PM,Sunday 8:00 AM to 9:00 PM",,,
Avenue Rd.,,2040 Avenue Rd.,,Toronto,ON,M5M 4A6,Canada,(416)  489-8987,43.735992,-79.420525,"Monday 7:30 AM to 10:00 PM,Tuesday 7:30 AM to 10:00 PM,Wednesday 7:30 AM to 10:00 PM,Thursday 7:30 AM to 10:00 PM,Friday 7:30 AM to 10:00 PM,Saturday 8:00 AM to 10:00 PM,Sunday 8:00 AM to 10:00 PM",,,
Queen West,,535 Queen St. West,,Toronto,ON,M5V 2B4,Canada,(416) 603-2727,43.648060,-79.399582,"Monday 7:30 AM to 9:00 PM,Tuesday 7:30 AM to 9:00 PM,Wednesday 7:30 AM to 9:00 PM,Thursday 7:30 AM to 9:00 PM,Friday 7:30 AM to 9:00 PM,Saturday 8:00 AM to 9:00 PM,Sunday 9:00 AM to 9:00 PM",,,
Bayview Village,,Bayview Village Shopping Centre,2901 Bayview Avenue,Toronto,ON,M2K 1E6,Canada,(416) 512 8050,43.768978,-79.385460,"Monday 8:30 AM to 9:00 PM,Tuesday 78:30 AM to 9:00 PM,Wednesday 8:30 AM to 9:00 PM,Thursday 8:30 AM to 9:00 PM,Friday 8:30 AM to 9:00 PM,Saturday 8:30 AM to 6:00 PM,Sunday 9:00 AM to 5:00 PM",,,
Fairview Shopping Mall,,1800 Sheppard Avenue East,Unit K009,North York,ON,M2J 5A7,Canada,(416) 492-3294,43.777878,-79.344650,"Monday 10:00 AM to 9:00 PM,Tuesday 10:00 AM to 9:00 PM,Wednesday 10:00 AM to 9:00 PM,Thursday 10:00 AM to 9:00 PM,Friday 10:00 AM to 9:00 PM,Saturday 9:30 AM to 9:00 PM,Sunday 11:00 AM to 7:00 PM",,,
430 King St. West,,430 King St. West,,Toronto,ON,M5V 1K1,Canada,(647)  352-5430,43.645767,-79.394157,"Monday 7:30 AM to 10:00 PM,Tuesday 7:30 AM to 10:00 PM,Wednesday 7:30 AM to 10:00 PM,Thursday 7:30 AM to 10:00 PM,Friday 7:30 AM to 10:00 PM,Saturday 8:00 AM to 10:00 PM,Sunday 9:00 AM to 10:00 PM",,,
Yonge and St. Clair,,1407 Yonge St.,,Toronto,ON,M4T 1Y7,Canada,(416) 353-4555,43.687344,-79.393616,"Monday 7:30 AM to 9:00 PM,Tuesday 7:30 AM to 9:00 PM,Wednesday 7:30 AM to 9:00 PM,Thursday 7:30 AM to 9:00 PM,Friday 7:30 AM to 9:00 PM,Saturday 8:30 AM to 9:00 PM,Sunday 8:30 AM to 9:00 PM",,,
Charles and Bay,,1110 Bay St,,Toronto,ON,M5S 2Y1,Canada,(416) 792-7662,43.667801,-79.388687,"Monday 7:30 AM to 10:00 PM,Tuesday 7:30 AM to 10:00 PM,Wednesday 7:30 AM to 10:00 PM,Thursday 7:30 AM to 10:00 PM,Friday 7:30 AM to 10:00 PM,Saturday 8:00 AM to 10:00 PM,Sunday 8:00 AM to 10:00 PM",,,
Leaside Village,,89 Laird Dr.,Unit #3,East York,ON,M4G 3T7,Canada,(647) 352-2183,43.705494,-79.361526,"Monday 7:30 AM to 9:00 PM,Tuesday 7:30 AM to 9:00 PM,Wednesday 7:30 AM to 9:00 PM,Thursday 7:30 AM to 9:00 PM,Friday 7:30 AM to 9:00 PM,Saturday 8:00 AM to 9:00 PM,Sunday 8:00 AM to 9:00 PM",,,
Bay and Dundas,,562 Bay St.,,Toronto,ON,M5G 0B2,Canada,(416) 792-7760,43.655319,-79.383904,"Monday 7:00 AM to 9:00 PM,Tuesday 7:00 AM to 9:00 PM,Wednesday 7:00 AM to 9:00 PM,Thursday 7:00 AM to 9:00 PM,Friday 7:00 AM to 9:00 PM,Saturday 8:00 AM to 9:00 PM,Sunday 8:00 AM to 9:00 PM",,,
College St.,,540 College St.,,Toronto,ON,M6G 1A6,Canada,(416) 901-5859,43.655888,-79.411247,"Monday 7:30 AM to 9:00 PM,Tuesday 7:30 AM to 9:00 PM,Wednesday 7:30 AM to 9:00 PM,Thursday 7:30 AM to 10:00 PM,Friday 7:30 AM to 9:00 PM,Saturday 7:30 AM to 9:00 PM,Sunday 7:30 AM to 9:00 PM",,,
Yonge and Fairlawn,,3343 Yonge St.,,Toronto,ON,M4N 2N2,Canada,(416) 488-5219,43.731171,-79.403824,"Monday 7:30 AM to 8:00 PM,Tuesday 7:30 AM to 8:00 PM,Wednesday 7:30 AM to 8:00 PM,Thursday 7:30 AM to 8:00 PM,Friday 7:30 AM to 8:00 PM,Saturday 7:30 AM to 8:00 PM,Sunday 7:30 AM to 8:00 PM",,,
Niagara-on-the-Lake,,The Outlet Collections at Niagara,300 Taylor Rd,Niagara on the Lake,ON,L0S 1J0,Canada,(905) 684-3000,43.157780,-79.175003,"Monday 9:00 AM to 9:00 PM,Tuesday 9:00 AM to 9:00 PM,Wednesday 9:00 AM to 9:00 PM,Thursday 9:00 AM to 9:00 PM,Friday 9:00 AM to 9:00 PM,Saturday 9:00 AM to 9:00 PM,Sunday 9:00 AM to 6:00 PM",,,
Oakville,,321 Lakeshore East,,Oakville,ON,L6J 1J4,Canada,(905) 582-0302,43.448429,-79.665756,"Monday 7:30 AM to 10:00 PM,Tuesday 7:30 AM to 10:00 PM,Wednesday 7:30 AM to 10:00 PM,Thursday 7:30 AM to 10:00 PM,Friday 7:30 AM to 10:00 PM,Saturday 8:00 AM to 10:00 PM,Sunday 8:00 AM to 10:00 PM",,,
250 King East,,250 King St. East,,Toronto,ON,M5A 1K1,Canada,(416) 365 7662,43.651646,-79.367256,"Monday 7:30 AM to 9:00 PM,Tuesday 7:30 AM to 9:00 PM,Wednesday 7:30 AM to 9:00 PM,Thursday 7:30 AM to 9:00 PM,Friday 7:30 AM to 9:00 PM,Saturday 8:00 AM to 9:00 PM,Sunday 8:00 AM to 9:00 PM",,,
Markville Mall,,5000 Hwy 7 East,,Markham,ON,L3R 4M9,Canada,,43.869274,-79.288895,"Monday  10:00 AM to 9:00 PM,Tuesday 10:00 AM to 9:00 PM,Wednesday 10:00 AM to 9:00 PM,Thursday 10:00 AM to 9:00 PM,Friday 10:00 AM to 9:00 PM,Saturday 9:30 AM to 6:00 PM,Sunday 11:00 AM to 6:00 PM",,,
Vaughan Mills Shopping Centre,,1 Bass Pro Mills Drive,,Vaughan,ON,L4K 5W4,Canada,,43.825546,-79.538574,"Monday 8:00 AM to 9:00 PM,Tuesday 8:00 AM to 9:00 PM,Wednesday 8:00 AM to 9:00 PM,Thursday 8:00 AM to 9:00 PM,Friday 8:00 AM to 9:00 PM,Saturday 8:00 AM to 9:00 PM,Sunday 9:00 AM to 7:00 PM",,,
Square One Shopping Centre,,100 City Centre Drive,,Mississauga,ON,L5B 2C9,Canada,,43.593105,-79.642250,"Monday 8:00 AM to 9:30 PM,Tuesday 8:00 AM to 9:30 PM,Wednesday 8:00 AM to 9:30 PM,Thursday 8:00 AM to 9:30 PM,Friday 8:00 AM to 9:30 PM,Saturday 8:00 AM to 7:30 PM,Sunday 8:00 AM to 7:30 PM",,,
Gibson Square,,8 Park Home Avenue,,Toronto,ON,M2N 2J2,Canada,647-348-7911,43.769257,-79.413177,"Monday 7:30 AM to 9:00 PM,Tuesday 7:30 AM to 9:00 PM,Wednesday 7:30 AM to 9:00 PM,Thursday 7:30 AM to 9:00 PM,Friday 7:30 AM to 9:00 PM,Saturday 9:00 AM to 9:00 PM,Sunday 9:00 AM to 9:00 PM",,,
Bathurst & Wilson *KOSHER,,3791-3793 Bathurst Street,,Toronto,ON,M3H 3N1,Canada,(647) 347-1818,43.738670,-79.434082,"Monday 7:30 AM to 10:00 PM,Tuesday 7:30 AM to 10:00 PM,Wednesday 7:30 AM to 10:00 PM,Thursday 7:30 AM to 10:00 PM,Friday 7:30 AM to 3:00 PM,Saturday  30 minutes after Shabbat to 12:00 AM,Sunday 8:00 AM to 10:00 PM",,,
RBC WaterPark Place,,88 Queens Quay,,Toronto,ON,M5J 2J2,Canada,(647) 347-8300,43.641075,-79.378067,"Monday 7:00 AM to 9:00 PM,Tuesday 7:00 AM to 9:00 PM,Wednesday 7:00 AM to 9:00 PM,Thursday 7:00 AM to 9:00 PM,Friday 7:00 AM to 9:00 PM,Saturday 8:00 AM to 8:00 PM,Sunday 8:00 AM to 8:00 PM",,,
Downtown Markham,,179 Enterprise Boulevard,,Markham,ON,L6G 0E7,Canada,(905) 479-8818,43.849251,-79.323616,"Monday 8:00 AM to 10:00 PM,Tuesday 8:00 AM to 10:30 PM,Wednesday 8:00 AM to 10:00 PM,Thursday 8:00 AM to 10:00 PM,Friday 8:00 AM to 10:30 PM,Saturday 9:00 AM to 10:30 PM,Sunday 9:00 AM to 10:00 PM",,,
Sherway Gardens,,25 The West Mall,,Toronto,ON,M9C 1B8,Canada,416-621-1331,43.609573,-79.557335,"Monday 8:30 AM to 9:00 PM,Tuesday 78:30 AM to 9:00 PM,Wednesday 8:30 AM to 9:00 PM,Thursday 8:30 AM to 9:00 PM,Friday 8:30 AM to 9:00 PM,Saturday 8:30 AM to 9:00 PM,Sunday 9:00 AM to 6:00 PM",,,
Mount Sinai Hospital,,600 University Avenue,,Toronto,ON,M5G 1X5,Canada,(416) 314-2236,43.657455,-79.390350,"Monday 6:30 AM to 8:30 PM,Tuesday 6:30 AM to 8:30 PM,Wednesday 6:30 AM to 8:30 PM,Thursday 6:30 AM to 8:30 PM,Friday 6:30 AM to 8:30 PM,Saturday 8:00 AM to 8:30 PM,Sunday 8:00 AM to 8:30 PM",,,
Lansdowne Park,,Unit #109  200 Marche Way,,Ottawa,ON,K1S 3W7,Canada,613-233-4747,45.399815,-75.684372,"Monday 7:30 AM to 9:00 PM,Tuesday 7:30 AM to 9:00 PM,Wednesday 7:30 AM to 9:00 PM,Thursday 7:30 AM to 9:00 PM,Friday 7:30 AM to 9:00 PM,Saturday 8:00 AM to 10:00 PM,Sunday 8:00 AM to 10:00 PM",,,
Billy Bishop Toronto City Airport (mainland side),,4 Eireann Quay,,Toronto,ON,M5V 1A1,Canada,416-553-7119,43.632767,-79.396675,"Monday 6:30 AM to 8:00 PM,Tuesday 6:30 AM to 8:00 PM,Wednesday 6:30 AM to 8:00 PM,Thursday 6:30 AM to 8:00 PM,Friday 6:30 AM to 8:00 PM,Saturday 7:30 AM to 8:00 PM,Sunday 7:30 AM to 8:00 PM",,,
Yonge and St. Joseph,,618 Yonge St.,,Toronto,ON,M5B 1T2,Canada,(647) 348-2088,43.665855,-79.385117,"Monday 7:30 AM to 10:00 PM,Tuesday 7:30 AM to 10:00 PM,Wednesday 7:30 AM to 10:00 PM,Thursday 7:30 AM to 10:00 PM,Friday 7:30 AM to 10:00 PM,Saturday 8:00 AM to 10:00 PM,Sunday 8:00 AM to 10:00 PM",,,
365 Bloor St. E. (at Postmedia Place),,365 Bloor Street East,,Toronto,ON,M4W 3L4,Canada,(416) 927-0002,43.672047,-79.377686,"Monday 7:30 AM to 7:30 PM,Tuesday 7:30 AM to 7:30 PM,Wednesday 7:30 AM to 7:30 PM,Thursday 7:30 AM to 7:30 PM,Friday 7:30 AM to 7:30 PM,Saturday  9:00 AM to 4:00 PM,Sunday  Closed",,,
The Beaches,,1864 Queen Street East,,Toronto,ON,M4L 1H2,Canada,(416) 690-7445,43.668697,-79.306831,"Monday 7:00 AM to 9:00 PM,Tuesday 7:00 AM to 9:00 PM,Wednesday 7:00 AM to 9:00 PM,Thursday 7:00 AM to 9:00 PM,Friday 7:00 AM to 9:00 PM,Saturday 7:30 AM to 9:00 PM,Sunday 8:00 AM to 9:00 PM",,,
aroma espresso bar MaRS,,661 University Avenue,MaRS Centre Phase II,Toronto,ON,M5G 1M1,Canada,(416) 591-1000,43.659325,-79.389420,"Monday 7:00 AM to 8:00 PM,Tuesday 7:00 AM to 8:00 PM,Wednesday 7:00 AM to 8:00 PM,Thursday 7:00 AM to 8:00 PM,Friday 7:00 AM to 8:00 PM,Saturday  9:00 AM to 5:00 PM,Sunday  Closed",,,
aroma Masonville Place,,CF Masonville Place,1689 Richmond St.,London,ON,N6G 3Y9,Canada,(519) 672-7012,43.025436,-81.281380,"Monday 10:00 AM to 9:00 PM,Tuesday 10:00 AM to 9:00 PM,Wednesday 10:00 AM to 9:00 PM,Thursday 10:00 AM to 9:00 PM,Friday 10:00 AM to 9:00 PM,Saturday  10:00 AM to 9:00 PM,Sunday  11:00 AM to 5:00 PM",,,
