store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Riverwalk South Bank,,111 West Crocket Street,Suite 207,San Antonio,TX,78205,US,210 220 3770,29.42505,-98.48879,"monday 12:00pm - 10:00pm, tuesday 12:00pm - 10:00pm, wednesday 12:00pm - 10:00pm, thursday 12:00pm - 10:00pm, friday 12:00pm - 11:00pm, saturday 12:00pm - 11:00pm, sunday 12:00pm - 10:00pm",,,
Kirby,,5515 Kirby Drive,,Houston,TX,77005,US,,29.7227252173913,-95.41852,"monday 12:00pm - 10:00pm, tuesday 12:00pm - 10:00pm, wednesday 12:00pm - 10:00pm, thursday 12:00pm - 10:00pm, friday 12:00pm - 11:00pm, saturday 12:00pm - 11:00pm, sunday 12:00pm - 10:00pm",,,
Sugar Land Town Square,,16155 City Walk,,Sugar Land,TX,77479,US,281 980 0088,29.59561,-95.62268,"monday 12:00pm - 9:00pm, tuesday 12:00pm - 9:00pm, wednesday 12:00pm - 9:00pm, thursday 12:00pm - 9:00pm, friday 12:00pm - 11:00pm, saturday 12:00pm - 11:00pm, sunday 12:00pm - 9:00pm",,,
Seawall- Galveston,,4408 Seawall Boulevard,,Galveston,TX,77550,US,409 770 9566,29.2761287939698,-94.8097877386935,"monday 11:00am - 9:00pm, tuesday 11:00am - 9:00pm, wednesday 11:00am - 9:00pm, thursday 11:00am - 9:00pm, friday 11:00am - 10:00pm, saturday 11:00am - 10:00pm, sunday 11:00am - 10:00pm",,,
Palms Crossing,,3300 Expressway 83,"Building 1200, Unit 1210",McAllen,TX,78501,US,956 928 0929,26.1963583175291,-98.2046858149671,"monday 12:00pm - 9:00pm, tuesday 12:00pm - 9:00pm, wednesday 12:00pm - 9:00pm, thursday 12:00pm - 9:00pm, friday 12:00pm - 11:00pm, saturday 12:00pm - 11:00pm, sunday 12:00pm - 9:00pm",,,
UT-Dallas,,University of Texas at Dallas,800 West Campbell Road,Richardson,TX,75080,US,,32.97828,-96.74827,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Plano Parkway,,1501 Preston Road,Suite 400,Plano,TX,75093,US,972 380 2697,33.01893,-96.79533,"monday 12:00pm - 9:00pm, tuesday 12:00pm - 9:00pm, wednesday 12:00pm - 9:00pm, thursday 12:00pm - 9:00pm, friday 12:00pm - 10:00pm, saturday 12:00pm - 10:00pm, sunday 12:00pm - 9:00pm",,,
DFW International Airport - Terminal D South Side,,2333 S. International Pkwy,North Village 105,Dallas,TX,75261,US,,32.8974846975888,-97.04143,"monday 7:30am - 8:00pm, tuesday 7:30am - 8:00pm, wednesday 7:30am - 8:00pm, thursday 7:30am - 8:00pm, friday 7:30am - 8:00pm, saturday 7:30am - 8:00pm, sunday 7:30am - 8:00pm",,,
Highland Village,,4061 Barton Creek,Suite 120,Highland Village,TX,75077,US,972 966 2697,33.07488,-97.0849442402623,"monday 12:00pm - 9:00pm, tuesday 12:00pm - 9:00pm, wednesday 12:00pm - 9:00pm, thursday 12:00pm - 9:00pm, friday 12:00pm - 11:00pm, saturday 12:00pm - 11:00pm, sunday 12:00pm - 9:00pm",,,
Hard Rock Casino - Biloxi,,777 East Beach Boulevard,,Biloxi,MS,39530,US,228 432 0655,30.3929217638633,-88.8882733285589,"monday 11:00am - 11:00pm, tuesday 11:00am - 11:00pm, wednesday 11:00am - 11:00pm, thursday 11:00am - 11:00pm, friday 11:00am - 12:00am, saturday 11:00am - 12:00am, sunday 11:00am - 11:00pm",,,
