store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Tacoma Steele Street BigFoot Java,,10506 Sales Road South,,Tacoma,WA,98444,United States,(253) 582-2248,,,,,,
SeaTac BigFoot Java,,20635 Military Road South,,Seatac,WA,98198,United States,(206) 824-2053,,,,,,
Sunrise Village BigFoot Java,,"10305 156th Street East, Suite #101",,Puyallup,WA,98374,United States,(253) 770-6341,,,,,,
South Hill BigFoot Java,,801 South Hill Park Drive,,Puyallup,WA,98373,United States,(253) 841-2950,,,,,,
Shelton BigFoot Java,,152 East Wallace- Kneeland Blvd.,,Shelton,WA,98584,United States,(360)-427-3725,,,,,,
River Road BigFoot Java,,1002-B North Meridian,,Puyallup,WA,98371,United States,(253) 445-5801,,,,,,
Meridian BigFoot Java,,12305 Meridian Avenue East,,Puyallup,WA,98373,United States,(253) 864-9099,,,,,,
Highland Hills BigFoot Java,,5921 6th Avenue South,,Tacoma,WA,98406,United States,(253) 566-5812,,,,,,
Spanaway BigFoot Java,,13521 Pacific Avenue South,,Spanaway,WA,98387,United States,(253) 536-1740,,,,,,
Tacoma Portland Avenue BigFoot Java,,1920 112th Street East,,Tacoma,WA,98445,United States,(253) 531-3254,,,,,,
Bronson Way BigFoot Java,,1408 Bronson Way North,,Renton,WA,98055,United States,(425) 271-5946,,,,,,
176th BigFoot Java,,17526 Meridian Avenue East,,Puyallup,WA,98373,United States,(253) 841-4136,,,,,,
College Way BigFoot Java,,1633 Riverside Drive,,Mount Vernon,WA,98273,United States,(360) 428-3081,,,,,,
Pacific BigFoot Java,,406 Ellingson Road,,Pacific,WA,98047,United States,(253) 833-1610,,,,,,
Issaquah Way BigFoot Java,,736 NW Gilman Boulevard,,Issaquah,WA,98027,United States,(425) 391-1976,,,,,,
Lakewood BigFoot Java,,11011 Pacific Hwy SW,,Lakewood,WA,98499,United States,(253) 584-1200,,,,,,
84th BigFoot Java,,21116 84th Avenue South,,Kent,WA,98032,United States,(253) 395-3339,,,,,,
Marysville BigFoot Java,,3608 88th Street NE,,Marysville,WA,98270,United States,,,,,,,
South Point BigFoot Java,,401 Southwest Everett Mall Way,,Everett,WA,98204,United States,(425) 347-1425,,,,,,
Federal Way Hoyt Road BigFoot Java,,4627 SW 320th Street,,Federal Way,WA,98023,United States,(253) 835-8998,,,,,,
Sunset Way BigFoot Java,,1100 East Sunset Drive,,Bellingham,WA,98225,United States,(360) 734-3035,,,,,,
Everett Mall Way BigFoot Java,,908 SE Everett Mall Way,,Everett,WA,98208,United States,(425) 290-6149,,,,,,
Edmonds BigFoot Java,,22519 Highway 99,,Edmonds,WA,98026,United States,(425) 775-2542,,,,,,
Burien Way BigFoot Java,,1031 SW 128th St.,,Burien,WA,98146,United States,(206) 244-2424,,,,,,
Bonney Lake BigFoot Java,,20709 Highway 410 East,,Bonney Lake,WA,98390,United States,(253) 826-5560,,,,,,
Bellevue Lakemont BigFoot Java,,5157 Lakemont Boulevard SE,,Bellevue,WA,98006,United States,(425) 391-1976,,,,,,
Auburn Way BigFoot Java,,407 Auburn Way,,Auburn,WA,98002,United States,(253) 833-2477,,,,,,
Bakerview BigFoot Java,,1321 West Bakerview Road,,Bellingham,WA,98226,United States,(360) 715-3531,,,,,,
West Valley BigFoot Java,,3618 West Valley Highway,,Auburn,WA,98002,United States,(253) 833-7583,,,,,,
Harvey Road BigFoot Java,,802 14th Street NE,,Auburn,WA,98002,United States,(253) 333-8859,,,,,,
Auburn A Street BigFoot Java,,1404 A Street SE,,Auburn,WA,98002,United States,(253) 735-3100,,,,,,
