store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Jenks, Oklahoma",,807 E. A St,,Jenks,OK,74037,United States,918-879-1978,,,"Monday  Saturday 11:00 am  9:00 pm, Sunday 11:00 am  8:00 pm",,,
"Durant, Oklahoma",,2430 W. Main,,Durant,OK,74701,United States,580-745-5830,,,Monday  Sunday 11:00 am  9:00 pm,,,
"Enid, Oklahoma",,3518 W. Owen K Garriott Rd,,Enid,OK,73703,United States,580-297-5191,,,Monday  Sunday 11:00 am to 9:00 pm,,,
"Guthrie, Oklahoma",,1624 S. Division Street,,Guthrie,OK,73044,United States,405-293-6282,,,Monday  Sunday 11:00 am  9:00 pm,,,
"Edmond, Oklahoma",,924 W. Edmond Rd,,Edmond,OK,73003,United States,405-562-1330,,,"Sunday  Thursday 11:00 am  9:00 pm, Friday & Saturday 11:00 am  10:00 pm",,,
Duncan,,1892 North Highway 81,,Duncan,OK,73533,United States,580-786-2212,,,Monday  Sunday 10:30 am  9:00 pm,,,
"Claremore, Oklahoma",,2052 S. Highway 66,,Claremore,OK,74019,United States,918-923-6771,,,"Sunday  Thursday 11:00 am  8:00 pm, Friday & Saturday 11:00 am  9:00 pm",,,
"Broken Arrow, Oklahoma",,2427 W. Kenosha,,Broken Arrow,OK,74012,United States,918-258-1978,,,Monday  Sunday 11:00 am  9:00 pm,,,
"Elk City, Oklahoma",,2103 South Main,,Elk City,OK,73644,United States,580-225-1978,,,"HOURS : Monday  Saturday 11:00 am  9:00 pm, Sunday  11:00 am  8:00 pm",,,
"Ardmore, OK",,322 N. Commerce St.,,Ardmore,OK,73401,United States,580-223-5222,,,HOURS : Monday  Sunday 11:00 am  9:00 pm,,,
Elgin,,7602 U.S. Highway 277,,Elgin,OK,73538,United States,580-492-5420,,,Monday  Sunday 10:30am  9:00pm,,,
"Chickasha, Oklahoma",,1812 S. 4th Street,,Chickasha,OK,73018,United States,405-448-5150,,,Sunday- Saturday 11:00 am  9:00 pm,,,
"Bartlesville, Oklahoma",,2350 S.E. Washington,,Bartlesville,OK,74006,United States,918-876-1133,,,"Monday  Saturday 11:00 am  9:00 pm, Sunday 11:00 am  8:00 pm",,,
"Oklahoma City, OK NW 23rd",,2224 NW 23rd,,Oklahoma City,OK,73107,United States,405-601-0272,,,Monday  Sunday 10:30 am  8:30 pm,,,
"Oklahoma City, OK Meridian Avenue",,1029 South Meridian Avenue,,Oklahoma City,OK,73108,United States,405-605-0058,,,"Monday  Thursday 11:00am  8:00pm, Friday-Saturday 11:00am-9:00pm",,,
"Springfield, MO",,2926 S. Campbell Ave,,Springfield,MO,65807,United States,417-823-2177,,,"Sunday  Thursday 11:00am  8:30pm, Friday  Saturday 11:00am to 9:00pm",,,
