store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Black Angus Steakhouse,1040,2290 Wyoming Blvd.,,Albuquerque,NM,87112,US,(505) 292-1911,35.10739053,-106.5503902,"Monday 11:00-21:00, Tuesday 11:00-21:00, Wednesday 11:00-21:00, Thursday 11:00-21:00, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 11:00-21:00",,,
Black Angus Steakhouse,1087,3601 Rosedale Highway,,Bakersfield,CA,93308,US,(661) 324-0814,35.3827802,-119.0482069,"Monday 11:00-22:00, Tuesday 11:00-22:00, Wednesday 11:00-22:00, Thursday 11:00-22:00, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 11:00-21:00",,,
Black Angus Steakhouse,1099,7606 W. Bell Road,,Glendale,AZ,85308,US,(623) 878-6200,33.63881064,-112.222822,"Monday 11:00-21:30, Tuesday 11:00-21:30, Wednesday 11:00-21:30, Thursday 11:00-21:30, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1083,1011 Blossom Hill Road,,San Jose,CA,95123,US,(408) 266-6602,37.25142486,-121.8690363,"Monday 15:00-22:00, Tuesday 15:00-22:00, Wednesday 15:00-22:00, Thursday 15:00-22:00, Friday 15:00-22:00, Saturday 11:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1132,2355 Sand Creek Road,,Brentwood,CA,94513,US,(925) 516-5533,37.94399414,-121.7372459,"Monday 11:00-22:00, Tuesday 11:00-22:00, Wednesday 11:00-22:00, Thursday 11:00-22:00, Friday 11:00-23:00, Saturday 11:00-23:00, Sunday 11:00-21:00",,,
Black Angus Steakhouse,1069,7111 Beach Blvd.,,Buena Park,CA,90620,US,(714) 670-2012,33.85795624,-117.998639,"Monday 11:00-21:30, Tuesday 11:00-21:30, Wednesday 11:00-21:30, Thursday 11:00-21:30, Friday 11:00-22:00, Saturday 11:30-22:00, Sunday 11:30-21:00",,,
Black Angus Steakhouse,1128,2770 W. Chandler Blvd.,,Chandler,AZ,85224,US,(480) 855-9449,33.30635258,-111.8903776,"Monday 15:00-22:00, Tuesday 15:00-22:00, Wednesday 15:00-22:00, Thursday 15:00-22:00, Friday 15:00-22:00, Saturday 12:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1078,235 Ikea Way,,Burbank,CA,91502,US,(818) 848-8880,34.17829492,-118.3087829,"Monday 11:00-22:00, Tuesday 11:00-22:00, Wednesday 11:00-22:00, Thursday 11:00-22:00, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 11:00-21:00",,,
Black Angus Steakhouse,1025,707 E Street,,Chula Vista,CA,91910,US,(619) 426-9200,32.64047531,-117.0979175,"Monday 11:00-22:00, Tuesday 11:00-22:00, Wednesday 11:00-22:00, Thursday 11:00-22:00, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1018,7925 Greenback Lane,,Citrus Heights,CA,95610,US,(916) 726-3300,38.67876473,-121.2697328,"Monday 11:00-21:30, Tuesday 11:00-21:30, Wednesday 11:00-21:30, Thursday 11:00-21:30, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 11:30-21:00",,,
Black Angus Steakhouse,1116,4814 Dublin Blvd.,,Dublin,CA,94568,US,(925) 556-9800,37.70290633,-121.8827086,"Monday 11:00-22:00, Tuesday 11:00-22:00, Wednesday 11:00-22:00, Thursday 11:00-22:00, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1015,1000 Graves Ave.,,El Cajon,CA,92021,US,(619) 440-5055,32.80908566,-116.9609666,"Monday 11:00-22:00, Tuesday 11:00-22:00, Wednesday 11:00-22:00, Thursday 11:00-22:00, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1029,2400 South 320th St.,,Federal Way,WA,98003,US,(253) 839-8370,47.31575373,-122.3025244,"Monday 11:00-22:00, Tuesday 11:00-22:00, Wednesday 11:00-22:00, Thursday 11:00-22:00, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1133,296 E. Via Rancho Parkway,,Escondido,CA,92025,US,(760) 489-8420,33.06868014,-117.0622393,"Monday 11:00-21:30, Tuesday 11:00-21:30, Wednesday 11:00-21:30, Thursday 11:00-21:30, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1030,1737 E. Shaw Ave.,,Fresno,CA,93710,US,(559) 224-2205,36.80803878,-119.7553956,"Monday 15:00-21:30, Tuesday 15:00-21:30, Wednesday 15:00-21:30, Thursday 15:00-21:30, Friday 15:00-22:00, Saturday 12:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1032,17920 Brookhurst St.,,Fountain Valley,CA,92708,US,(714) 968-4477,33.70314426,-117.9525536,"Monday 15:00-21:30, Tuesday 15:00-21:30, Wednesday 15:00-21:30, Thursday 15:00-21:30, Friday 15:00-22:00, Saturday 11:30-22:00, Sunday 11:30-21:00",,,
Black Angus Steakhouse,1048,10370 Friars Road,,San Diego,CA,92120,US,(619) 563-5862,32.79090025,-117.1002183,"Monday 11:00-22:00, Tuesday 11:00-22:00, Wednesday 11:00-22:00, Thursday 11:00-22:00, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1124,13766 West McDowell Road,,Goodyear,AZ,85338,US,(623) 535-8585,33.46484627,-112.3551506,"Monday 11:00-22:00, Tuesday 11:00-22:00, Wednesday 11:00-22:00, Thursday 11:00-22:00, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1049,5000 E. Candlewood St.,,Lakewood,CA,90712,US,(562) 531-6921,33.85349232,-118.1348117,"Monday 11:00-22:00, Tuesday 11:00-22:00, Wednesday 11:00-22:00, Thursday 11:00-22:00, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 11:00-21:00",,,
Black Angus Steakhouse,1020,9905 Bridgeport Way SW,,Lakewood,WA,98499,US,(253) 582-6900,47.16772419,-122.5109769,"Monday 15:00-22:00, Tuesday 15:00-22:00, Wednesday 15:00-22:00, Thursday 15:00-22:00, Friday 15:00-22:00, Saturday 15:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1089,44690 Valley Central Way,,Lancaster,CA,93534,US,(661) 942-5225,34.69460763,-118.1708164,"Monday 11:00-22:00, Tuesday 11:00-22:00, Wednesday 11:00-22:00, Thursday 11:00-22:00, Friday 11:00-22:00, Saturday 11:00-22:00, Sunday 12:00-21:00",,,
Black Angus Steakhouse,1062,20102 44th Avenue W,,Lynnwood,WA,98036,US,(425) 774-6556,47.81598083,-122.2928485,"Monday 15:00-22:00, Tuesday 15:00-22:00, Wednesday 15:00-22:00, Thursday 15:00-22:00, Friday 15:00-22:00, Saturday 11:00-22:00, Sunday 12:00-21:00",,,
