store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Bullhead City Black Bear Diner,201462334,"1751 Hwy 95, Ste. 25",,Bullhead City,AZ,86442,United States,(928) 763-2477,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Chandler Black Bear Diner,228804199,2805 S. Alma School Rd,,Chandler,AZ,85286,United States,(480) 500-5753,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Cottonwood Black Bear Diner,0,1041 S Highway 260,,Cottonwood,AZ,86326,United States,928-634-8188,,,Sunday-Thursday: 6:00 AM - 10:00 PMFriday&Saturday: 6:00 AM - 10:00 PM,,,
Gilbert Black Bear Diner,87557816,1809 E. Baseline Rd.,,Gilbert,AZ,85233,United States,(480) 926-2046,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Glendale Black Bear Diner,155427699,6039 W. Bell Rd.,,Glendale,AZ,85306,United States,(602) 843-1921,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Goodyear Black Bear Diner,127698941,980 N. Dysart Rd.,,Goodyear,AZ,85338,United States,(623) 932-2968,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Lake Havasu City Black Bear Diner,250829032,1900 McCulloch Blvd,,Lake Havasu City,AZ,86403,United States,(928) 855-2013,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Tempe Black Bear Diner,70192958,7700 S Priest Dr.,,Tempe,AZ,85284,United States,(480)-719-4520,,,Sunday - Thursday: 6:00 AM - 10:00 PMFriday & Saturday: 6:00 AM - 10:00 PM,,,
Arvin Black Bear Diner,154901831,5542 Laval Rd.,,Arvin,CA,93203,United States,(661) 858-2315,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Auburn Black Bear Diner,114019176,13365 Lincoln Way,,Auburn,CA,95603,United States,(530) 888-8432,,,Sunday - Thursday: 6:30am - 10:00pmFriday and Saturday: 6:30am - 10:00pm,,,
Bakersfield Black Bear Diner,126418271,4102 California Ave,,Bakersfield,CA,93309,United States,(661) 322-5000,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Barstow Black Bear Diner,219266760,2930 Lenwood Rd,,Barstow,CA,92311,United States,(760) 253-2922,,,Sunday - Thursday: 6:00 AM - 10:00 PMFriday & Saturday: 6:00 AM - 10:00 PM,,,
Buena Park Black Bear Diner,167627156,7005 Knott Ave.,,Buena Park,CA,90620,United States,(714) 735-1011,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Chino Black Bear Diner,0,12325 Mountain Avenue,,Chino,CA,91710,United States,909-364-9743,,,Sunday - Thursday 6:00am - 10:00pmFriday - Saturday 6:00am - 11:00pm,,,
Citrus Heights Black Bear Diner,1890202,7935 Madison Avenue,,Citrus Heights,CA,95610,United States,(916) 534-7625,,,Sunday - Thursday: 6:00 AM - 10:00 PMFriday & Saturday: 6:00 AM - 10:00 PM,,,
Danville Black Bear Diner,190409614,807 Camino Ramon,,Danville,CA,94526,United States,(925) 837-2327,,,Sunday - Thursday: 6:00 AM- 10:00 PMFriday and Saturday: 6:00 AM- 10:00 PM,,,
Davis Black Bear Diner,136397752,255 2nd St.,,Davis,CA,95616,United States,(530) 756-4190,,,Sunday - Thursday: 6:00 AM- 10:00 PMFriday and Saturday: 6:00 AM- 10:00 PM,,,
Elk Grove Black Bear Diner,191937203,8531 Bond Rd.,,Elk Grove,CA,95624,United States,(916) 714-7273,,,Sunday - Thursday: 6:00 AM - 10:00 PMFriday & Saturday: 6:00 AM - 11:00 PM,,,
Emeryville Black Bear Diner,174238831,5750 Christie Ave.,,Emeryville,CA,95616,United States,(510) 654-2327,,,Sunday - Thursday: 6:00 AM- 10:00 PMFriday and Saturday: 6:00 am - 12:00 AM,,,
Fremont Black Bear Diner,201403184,5035 Mowry Ave,,Fremont,CA,94538,United States,(510) 796-8000,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Fullerton Black Bear Diner,260388489,1011 N. Harbor Blvd,,Fullerton,CA,92832,United States,(714)515-3481,,,Sunday - Thursday: 6:00 AM - 10:00 PMFriday & Saturday: 6:00 AM - 10:00 PM,,,
Gilroy Black Bear Diner,259135111,395 Leavesley Rd.,,Gilroy,CA,95020,United States,(408) 842-9901,,,Sunday - Thursday: 6:00 am - 11:00 pmFriday and Saturday: 6:00 am - 12:00 am,,,
Gridley Black Bear Diner,104379002,1586 Hwy 99 E.,,Gridley,CA,95948,United States,(530) 846-3043,,,Sunday - Thursday: 6:00 am - 9:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Hanford Black Bear Diner,186590407,1790 W. Lacey Blvd.,,Hanford,CA,93230,United States,(559) 584-8278,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Hayward Black Bear Diner,196624063,25202 Hesperian Blvd,,Hayward,CA,94545,United States,(510) 670-9100,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
La Habra Black Bear Diner,120590013,1000 S. Beach Blvd,,La Habra,CA,90361,United States,(562) 352-6200,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Los Banos Black Bear Diner,78421958,955 W. Pacheco Blvd.,,Los Banos,CA,93635,United States,(209) 826-2616,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Madera Black Bear Diner,82076061,1209 E. Almond Ave,,Madera,CA,93637,United States,(559) 675-1332,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Manteca Black Bear Diner,61418869,1703 E. Yosemite Ave.,,Manteca,CA,95336,United States,(209) 239-6400,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Merced Black Bear Diner,189861315,1435 V St.,,Merced,CA,95340,United States,(209) 383-9600,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Milpitas Black Bear Diner,234215650,174 W. Calaveras Blvd.,,Milpitas,CA,95035,United States,(408) 946-2327,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Modesto Black Bear Diner,58554284,2200 Plaza Pkwy,,Modesto,CA,95350,United States,(209) 529-1440,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Monterey Black Bear Diner,151296058,2450 Fremont Blvd,,Monterey,CA,93940,United States,(831) 645-9700,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Mt. Shasta Black Bear Diner,61421842,401 W. Lake St.,,Mt. Shasta,CA,96067,United States,(530) 926-4669,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Napa Black Bear Diner,210015735,303 Soscal Ave.,,Napa,CA,94559,United States,(707) 255-2345,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Oakland Black Bear Diner,127010350,405 Hegenberger Rd.,,Oakland,CA,94621,United States,(510) 878-1101,,,Sunday - Thursday: 6:00 AM - 9:00 PMFriday & Saturday: 6:00 AM - 9:00 PM,,,
Oakley Black Bear Diner,211144120,3201 Main St.,,Oakley,CA,94561,United States,(925) 625-3555,,,Monday-Thursday: 7:00 am - 9:00 pm Friday: 7:00 am - 10:00 pmSaturday: 6:00 am - 10:00 pmSunday: 6:00 am -9:00 pm,,,
Paradise Black Bear Diner,253451920,5791 Clark Rd.,,Paradise,CA,95969,United States,(530) 877-0877,,,Sunday - Thursday: 7:00 am - 9:00 pmFriday and Saturday: 7:00 am - 10:00 pm,,,
Pleasanton Black Bear Diner,224821069,5100 Hopyard Rd,,Pleasanton,CA,94566,United States,(925) 847-9100,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Porterville Black Bear Diner,264420766,910 W. Olive Ave.,,Porterville,CA,93257,United States,(559) 784-3648,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Redding Black Bear Diner,237653806,2605 Hilltop Dr.,,Redding,CA,96001,United States,(530) 221-7600,,,Sunday - Thursday: 6:00 am - 11:00 pmFriday and Saturday: 6:00 am - 12:00 am,,,
Rohnert Park Black Bear Diner,73097310,6255 Commerce Blvd.,,Rohnert Park,CA,94928,United States,(707) 584-8552,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 12:00 am,,,
Roseville Black Bear Diner,42192062,6700 Stanford Ranch Rd.,,Roseville,CA,95678,United States,(916) 788-8101,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Sacramento-Arden Way Black Bear Diner,0,1830 Arden Way,,Sacramento,CA,95815,United States,916-925-1345,,,Sunday - Thursday 6:00am - 10:00pmFriday - Saturday 6:00am - 11:00pm,,,
Sacramento-Natomas Black Bear Diner,8942887,2700 El Centro Rd.,,Sacramento-Natomas,CA,95833,United States,(916) 641-BEAR,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Salinas Black Bear Diner,101766306,805 W. Laurel Dr.,,Salinas,CA,93901,United States,(831) 449-1545,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 12:00 am,,,
Santa Ana Black Bear Diner,82574055,3355 Bristol Ave,,Santa Ana,CA,92704,United States,(657) 600-9040,,,Sunday- Thursday: 6:00 AM - 10:00 PM Friday & Saturday: 6:00 AM - 10:00 PM,,,
Signal Hill Black Bear Diner,196368865,1898 E. Willow St.,,Signal Hill,CA,90755,United States,(562) 513-7001,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Sonoma Black Bear Diner,57710439,201 W. Napa St. #34,,Sonoma,CA,95476,United States,(707) 935-6800,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Suisun City Black Bear Diner,29013147,111 Sunset Ave.,,Suisun City,CA,94585,United States,(707) 422-4386,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Sunnyvale Black Bear Diner,118360978,415 E El Camino Real,,Sunnyvale,CA,94087,United States,(408) 749-1100,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 11:00pm,,,
Torrance Black Bear Diner,90712237,24021 Hawthorne Blvd.,,Torrance,CA,90505,United States,(310) 974-9002,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Tracy Black Bear Diner,245414564,2351 Toste Rd.,,Tracy,CA,95377,United States,(209) 835-5600,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Tulare Black Bear Diner,253206729,1161 E. Tulare Ave.,,Tulare,CA,93274,United States,(559) 684-9152,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Vacaville Black Bear Diner,163832273,951 Merchant St.,,Vacaville,CA,95688,United States,(707) 448-1500,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Vallejo Black Bear Diner,243919253,980 Admiral Callaghan Ln.,,Vallejo,CA,94591,United States,(707) 552-1300,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Visalia Black Bear Diner,129629514,900 S. Mooney Blvd,,Visalia,CA,93277,United States,(559) 635-1260,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00 am - 11:00 pm,,,
Walnut Creek Black Bear Diner,117431068,700 Bancroft Rd.,,Walnut Creek,CA,94598,United States,(925) 941-0000,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Willows Black Bear Diner,137918286,246 N. Humboldt,,Willows,CA,95988,United States,(530) 934-3797,,,Sunday - Thursday: 6:00am - 9:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Woodland Black Bear Diner,34047081,1530 E. Main St.,,Woodland,CA,95776,United States,(530) 406-8762,,,Sunday - Thursday: 6:00am - 9:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Yreka Black Bear Diner,24294409,1795 S. Main St.,,Yreka,CA,96097,United States,(530) 842-9324,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Colorado Springs - Academy Black Bear Diner,216738419,975-A N. Academy,,Colorado Springs,CO,80909,United States,(719) 314-3616,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Colorado Springs - Garden of the Gods Black Bear Diner,61182765,1340 West Garden of the Gods Road,,Colorado Springs,CO,80907,United States,(719) 268-6874,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Boise Black Bear Diner,182706565,1731 S. Entertainment Ave.,,Boise,ID,83709,United States,(208) 322-1888,,,Sunday - Thursday: 7:00 am - 10:00 pmFriday and Saturday: 7:00 am - 11:00 pm,,,
Chubbuck Black Bear Diner,817390,190 Bullock Street,,Chubbuck,ID,83202,United States,(208) 904-0702,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 11:00pm,,,
Idaho Falls Black Bear Diner,0,1610 E 17th Street,,Idaho Falls,ID,83404,United States,(208) 523-0652,,,Sunday - Thursday: 6:00am - 10:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Carson City Black Bear Diner,162223081,900 S Carson St.,,Carson City,NV,89701,United States,(775) 283-0777,,,Sunday - Thursday: 6:00 AM - 10:00 PMFriday & Saturday: 6:00 AM - 12:00 AM,,,
Fernley Black Bear Diner,159500778,1190 E. Main St. Suite B,,Fernley,NV,89408,United States,(775) 835-8512,,,Sunday - Thursday: 6:00 am - 9:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Henderson Black Bear Diner,236493382,2751 N. Green Valley Pkwy,,Henderson,NV,89014,United States,(725) 333-6805,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Las Vegas Blvd South Black Bear Diner,0,7680 S Las Vegas Blvd,,Las Vegas,NV,89123,United States,(702) 243-3575,,,Sunday - Thursday: 6:00 AM - 10:00 PMFriday & Saturday:  6:00 AM - 10:00 PM,,,
Las Vegas Sahara Black Bear Diner,245270354,8565 W. Sahara Ave,,Las Vegas,NV,89117,United States,702-970-3706,,,Sunday - Thursday: 6:00 AM - 10:00 PMFriday & Saturday:  6:00 AM - 10:00 PM,,,
Las Vegas Tropicana Black Bear Diner,76594944,6180 W. Tropicana Ave.,,Las Vegas,NV,89103,United States,(702) 368-1077,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Reno Black Bear Diner,206023648,2323 S. Virginia St.,,Reno,NV,89521,United States,(775) 827-5570,,,Sunday - Thursday: 6:30 am - 9:00 pmFriday and Saturday: 6:30 am - 10:00 pm,,,
Sparks Black Bear Diner,70899516,235 N. McCarran Blvd.,,Sparks,NV,89431,United States,(775) 356-1138,,,Sunday - Thursday: 6:00 am - 9:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Beaverton Black Bear Diner,167547038,13435 SW Tualatin Valley Hwy.,,Beaverton,OR,97005,United States,(503) 646-4507,,,Sunday - Thursday: 6:00am - 9:00pmFriday and Saturday: 6:00am - 9:00pm,,,
Bend Black Bear Diner,243190401,1465 NE 3rd St.,,Bend,OR,97701,United States,(541) 312-8327,,,Sunday - Thursday: 6:00am - 9:00pmFriday and Saturday: 6:00am - 10:00pm,,,
Grants Pass Black Bear Diner,57570829,1900 NW 6th St.,,Grants Pass,OR,97526,United States,(541) 955-6888,,,Sunday - Thursday: 6:00 am - 9:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Gresham Black Bear Diner,104107582,105 NE Burnside Road,,Gresham,OR,97030,United States,(503) 489-5476,,,Sunday - Thursday: 6:00 am - 10:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
Klamath Falls Black Bear Diner,161035580,5140 S. Sixth St.,,Klamath Falls,OR,97601,United States,(541) 883-7766,,,Sunday - Thursday: 6:00 am - 9:00 pmFriday and Saturday: 6:00 am - 10:00 pm,,,
