store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Vancouver Community College (Broadway) ,,1120 East 7th Avenue,, Vancouver ,BC,V5T 1R2,Canada,604-872-5255,49.2641198,-123.08085399999999,      ,,,
Commercial & Broadway,,2470 Commercial Drive,, Vancouver,BC,V5N4B9,Canada,604-876-6616,49.2626263,-123.06974109999999,      ,,,
False Creek / Olympic Village,,A2 - 97 West 2nd Avenue,, Vancouver,BC,V5Y1B3,Canada,604-620-4958,49.2694657,-123.1063373,      ,,,
Main & 26th,,4198 Main St,, Vancouver,BC,V5V3P7,Canada,604-428-2533,49.24773649999999,-123.10078379999999,      ,,,
Broadway & Cambie,,521 West Broadway,, Vancouver,BC,V5Z1E6,Canada,604-876-4488,49.2634388,-123.11586820000002,      ,,,
International Village,,603 Abbott St,, Vancouver,BC,V6B6N7,Canada,604-568-6111,49.2795926,-123.10782110000002,      ,,,
Broadway & Heather,,695 West Broadway,, Vancouver,BC,V5Z1G6,Canada,604-568-9664,49.2634756,-123.11966889999997,      ,,,
Library Square,,Unit 206 - 345 Robson Street,, Vancouver,BC,V6B6B3,Canada,604-647-0878,49.2795715,-123.1152874,      ,,,
West Hastings & Richards,,508 West Hastings Street,, Vancouver,BC,V6B1L6,Canada,604-689-1431,49.2841336,-123.11209329999997,      ,,,
Yaletown - Helmcken Street,,338 Helmcken Street,, Vancouver,BC,V6B6C5,Canada,604-609-2768,49.2757429,-123.12113820000002,      ,,,
Seymour & Robson,,767 Seymour Street,, Vancouver,BC,V6B5J3,Canada,604-633-0144,49.2810814,-123.11884759999998,      ,,,
Waterfront - Howe Street,,232 Howe Street,, Vancouver,BC,V6C3R9,Canada,604-683-2378,49.2873867,-123.11305099999998,      ,,,
Granville & Nelson,,999 Granville Street,, Vancouver ,BC,V6Z 1L3,Canada,604 689-0669 ,49.2796167,-123.12308810000002,      ,,,
Granville & Davie,,700 Davie Street,, Vancouver ,BC,V6B 2G6,Canada,604-559-1700,49.2771543,-123.1262221,      ,,,
Bentall 5,,Unit 108 - 550 Burrard Street,, Vancouver,BC,V6C2B5,Canada,604-687-6177,49.2858045,-123.11823570000001,      ,,,
West Pender & Burrard,,401 Burrard St,, Vancouver,BC,V6C3R2,Canada,604-684-7000,49.28712489999999,-123.1178779,      ,,,
Thurlow & West Georgia,,708 Thurlow Street,, Vancouver,BC,V6E1V8,Canada,604-800-9708,49.285559,-123.12319990000003,      ,,,
Robson & Bute,,1201 Robson Street,, Vancouver,BC,V6E1C2,Canada,604-699-1999,49.2861673,-123.12701190000001,      ,,,
Granville & W Broadway,,2506 Granville Street,, Vancouver,BC,V6H3G8,Canada,604-732-8874,49.2634418,-123.1383798,      ,,,
Davie & Bute,,1203 Davie Street,, Vancouver,BC,V6E1N4,Canada,604-568-4428,49.2818868,-123.13347110000001,      ,,,
Oakridge Centre,,618 - 650 West 41st Avenue,, Vancouver,BC,V5Z2M9,Canada,604-569-1131,49.2329418,-123.11757779999999,      ,,,
Robson & Cardero,,1615 Robson Street,, Vancouver,BC,V6G1C8,Canada,604-662-5369,49.2896907,-123.13231830000001,      ,,,
W Broadway & Maple,,2502 Maple Street,, Vancouver,BC,V6J1Z2,Canada,604-736-2339,49.2635292,-123.1501854,      ,,,
Denman & Barclay,,935 Denman Street,, Vancouver,BC,V6G2L9,Canada,604-568-2806,49.2904502,-123.13741140000002,      ,,,
The HOpe Centre Café,,1337 St. Andrews Street,, North Vancouver,BC,V7L3L4,Canada,604-984-5000 ext. 5116,49.3203628,-123.06614489999998,      ,,,
Lonsdale,,1457 Lonsdale Avenue,, North Vancouver,BC,V7M2H9,Canada,604-983-2548,49.321951,-123.072633,      ,,,
Metropolis at Metrotown,,Unit K4 - 4700 Kingsway,, Burnaby,BC,V5H4M1,Canada,604-435-1114,49.2261894,-123.00273390000001,      ,,,
West 4th & Alma,,3698 West 4th Avenue,, Vancouver,BC,V6R1P1,Canada,604-460-9284,49.2684744,-123.18549760000002,      ,,,
Ackroyd Plaza,,Unit 60 - 8100 Ackroyd Road,, Richmond,BC,V6X3K2,Canada,604-247-0600,49.1712259,-123.1350114,      ,,,
Wesbrook Village - UBC,,3381 Wesbrook Mall,, Vancouver,BC,V6S0B1,Canada,604-568-2660,49.254002,-123.23490420000002,      ,,,
Richmond Centre,,1832 - 6060 Minoru Boulevard,, Richmond,BC,V6Y2V7,Canada,604-909-5866,49.1664187,-123.13940689999998,      ,,,
University Boulevard - UBC,,5784 University Boulevard,, Vancouver,BC,V6T1K6,Canada,604-559-2618,49.2663558,-123.24350090000002,      ,,,
Garden City & Blundell,,130 - 9040 Blundell Road,, Richmond,BC,V6Y1K3,Canada,604-277-4245,49.1548259,-123.12462399999998,      ,,,
Royal City Centre,,Unit K2 610 6th street,, New Wesminster,BC,V3L3C2,Canada,604-515-1590,49.2125213,-122.92254990000004,      ,,,
Seafair - No.1 & Francis,,6 - 8751 No. 1 Road,, Richmond,BC,V7C1V2,Canada,604-285-8699,49.15032550000001,-123.18129220000003,      ,,,
Steveston - Bayview,,105 - 3900 Bayview Street,, Richmond,BC,V7E4R7,Canada,604-272-0777,49.123647,-123.18238500000001,      ,,,
Horseshoe Bay,,6334 Bay Street,, West Vancouver,BC,V7W2G9,Canada,604-922-3776,49.3743442,-123.27310360000001,      ,,,
SFU - Surrey,,250 - 13450 102nd Avenue,, Surrey ,BC,V3T 0A3,Canada,778-782-8182,49.1873415,-122.85040859999998,      ,,,
Central City,,13450 - 102nd Avenue,, Surrey,BC,V3T5X3,Canada,604-583-3370,49.18835259999999,-122.84959850000001,      ,,,
Central City South ,,1064 - 10153 King George Boulevard,, Surrey,BC,V3T2W1,Canada,778-394-1889,49.1865388,-122.84834439999997,      ,,,
Ladner Leisure Centre,,111 - 4600 Clarence Taylor Crescent,, Delta,BC,V4K3E2,Canada,778-434-3177,49.08692180000001,-123.05959280000002,      ,,,
Jim Pattison Outpatient Cafe,,105 - 9750 140th Street,, Surrey,BC,V3T0G9,Canada,604-583-4295,49.1793854,-122.8332297,      ,,,
Jim Pattison Outpatient Kiosk,,103 - 9750 140th Street,, Surrey,BC,V3T0G9,Canada,604-583-4248,49.1793854,-122.8332297,      ,,,
Guildford Recreation Centre,,15105 - 105 Avenue,, Surrey,BC,V3R7G8,Canada,778-293-2268,49.1935859,-122.80268480000001,      ,,,
Sullivan Heights,,Unit #108 14330 - 64th ave,, Surrey ,B.C,V3W 1Z1,Canada,778-564-5656,49.1190857,-122.8242917,      ,,,
Tsawwassen,,101 - 1315 56th Street,, Delta,BC,V4L2A6,Canada,604-943-1981,49.0266659,-123.07094319999999,      ,,,
Meadowtown Centre,,310 - 19800 Lougheed Highway,, Pitt Meadows,BC,V3Y2W1,Canada,604-460-9284,49.2215204,-122.67174649999998,     ,,,
Semiahmoo Centre,,102 - 1711 152nd Street,, Surrey ,BC,V4A 4N3,Canada,604-531-9515,49.032936,-122.80301839999998,      ,,,
Grandview Heights Aquatic Centre,,Unit 102 - 16855 24 Avenue,,Surrey,BC,V3S0A2,Canada,778-291-2225,49.0461333,-122.75554399999999,      ,,,
Maple Ridge,,122 - 22441 Dewdney Trunk Road,, Maple Ridge,BC,V2X7X7,Canada,604-467-2322,49.2211227,-122.60011910000003,      ,,,
Nanaimo - Woodgrove Centre,,57 - 6631 Island Highway North,, Nanaimo,BC,V9T2T7,Canada,250-390-0355,49.2365754,-124.05062750000002,      ,,,
Whistler Village,,101 - 4338 Main Street,, Whistler,BC,V0N1B4,Canada,604-905-5475,50.1185139,-122.95587510000001,      ,,,
Victoria - Sussex,,G1 - 1001 Douglas Street,, Victoria,BC,V8W2C5,Canada,250-920-7078,48.42406829999999,-123.36500660000002,      ,,,
Aberdeen Mall - Kamloops,,1320 West Trans Canada Hwy,, Kamloops,BC,V1S1J2,Canada,250-377-1477,50.6550028,-120.37169360000001,      ,,,
Victoria Street - Downtown Kamloops ,,210 Victoria St,, Kamloops,BC,V2C2A2,Canada,,50.6760694,-120.33617979999997,      ,,,
Penticton - Main Street,,2 - 284 Main Street,, Penticton,BC,V2A5B2,Canada,250-770-0306,49.4991316,-119.59245229999999,      ,,,
Westbank Centre,,H222 - Westbank Centre 3645 Gosset Road,, West Kelowna,BC,V4T2N8,Canada,250-768-0230,49.8329309,-119.6243978,      ,,,
Pandosy Village,,2823 Pandosy Street,, Kelowna,BC,V1Y1V8,Canada,250-717-1577,49.8648062,-119.49119830000001,      ,,,
Bernard Avenue - Kelowna,,297 Bernard Avenue,, Kelowna,BC,V1Y6N2,Canada,250-860-1552,49.8861818,-119.4968045,      ,,,
Orchard Park Centre,,4050 - 2271 Harvey Avenue,, Kelowna,BC,V1Y6H2,Canada,250-860-9708,49.8806711,-119.44073880000002,      ,,,
Sandalwood Plaza,,Unit 1 - 538 Yates Road,, Kelowna,BC,V1V2V8,Canada,250-717-3533,49.912451,-119.45051699999999,      ,,,
Vernon Downtown,,2706 30th Avenue,, Vernon,BC,V1T2B6,Canada,250-545-9599,50.26358159999999,-119.26753350000001,      ,,,
Vernon - Anderson Way,,101 - 5100 Anderson Way,, Vernon,BC,V1T9V2,Canada,250-542-9929,50.284217,-119.27419700000002,      ,,,
7th Avenue - Sierra Place,,702 7th Avenue SW,, Calgary,AB,T2P0Z1,Canada,403-264-8630,51.0470607,-114.07646569999997,      ,,,
