store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Mexico City El Palacio de Hierro Perisur,670461,"Av. Periferico Sur #4690 
Colonia Jardines Del Pedregal Delegacion Coyoacan, 
C.p. Perisur",,Mexico City,,,Mexico,+52 5551718217,19.304314,-99.190117,Monday: 11:00 / 20:30Tuesday: 11:00 / 20:30Wednesday: 11:00 / 20:30Thursday: 11:00 / 20:30Friday: 11:00 / 20:30Saturday: 11:00 / 20:30Sunday: 11:00 / 20:30,,,
Kaohsiung Hanshin Arena Shopping Plaza,670462,"1 F, No.777, Bo'ai 2nd Road, Zuoying District",,Kaohsiung,,,Taiwan,+886 75505202,22.670314,120.302657,Monday: 11:00 / 22:00Tuesday: 11:00 / 22:00Wednesday: 11:00 / 22:00Thursday: 11:00 / 22:00Friday: 11:00 / 22:30Saturday: 11:00 / 22:30Sunday: 11:00 / 22:00,,,
Singapore Takashimaya,670463,"391A Orchard Road, 
Takashimaya Departmental Store Level 2, 
238873",,Singapore,,,Singapore,+65 67382380,1.02433,103.834752,Monday: 10:00 / 21:30Tuesday: 10:00 / 21:30Wednesday: 10:00 / 21:30Thursday: 10:00 / 21:30Friday: 10:00 / 21:30Saturday: 10:00 / 21:30Sunday: 10:00 / 21:30,,,
Singapore Ion Orchard,670464,"2 Orchard Turn, #01-04, 
ION Orchard 238801",,Singapore,,,Singapore,+65 62380020,1.303923,103.832299,Monday: 10:00 / 22:00Tuesday: 10:00 / 22:00Wednesday: 10:00 / 22:00Thursday: 10:00 / 22:00Friday: 10:00 / 22:00Saturday: 10:00 / 22:00Sunday: 10:00 / 22:00,,,
Barcelona Paseo de Gracia,670465,"Passeig de Gracia 98, 08008",,Barcelona,,,Spain,+34 934872811,41.395522,2.161223,Monday: 10:00 / 20:00 (Till 20:30 summer time)Tuesday: 10:00 / 20:00  (Till 20:30 summer time)Wednesday: 10:00 / 20:00 (Till 20:30 summer time)Thursday: 10:00 / 20:00 (Till 20:30 summer time)Friday: 10:00 / 20:00 (Till 20:30 summer time)Saturday: 10:00 / 20:00 (Till 20:30 summer time)Sunday: CLOSEDClosed on all Barcelona bank holidays.,,,
Madrid Ortega,670466,"Calle Ortega Y Gasset 13, 28006",,Madrid,,,Spain,+34 917812442,40.430594,-3.686162,Monday: 10:00 / 20:00Tuesday: 10:00 / 20:00Wednesday: 10:00 / 20:00Thursday: 10:00 / 20:00Friday: 10:00 / 20:00Saturday: 10:00 / 20:00Sunday: CLOSEDOpen on Sundays in December and first Sunday of January.,,,
Beijing Jin Bao Place,670467,"Shop 102, 1F, Number 88, Jinbao West Street, 
Dongcheng District",,Beijing,,,China,+86 1085221908,39.921424,116.428072,Monday: 10:00 / 22:00Tuesday: 10:00 / 22:00Wednesday: 10:00 / 22:00Thursday: 10:00 / 22:00Friday: 10:00 / 22:00Saturday: 10:00 / 22:00Sunday: 10:00 / 22:00No closing days.,,,
Atlanta Phipps Plaza,670468,"3500 Peachtree Road North East, 
1104A, 30326",,Atlanta,,,USA,+1 4044678705,33.852083,-84.361809,Monday: 10:00 / 20:00Tuesday: 10:00 / 20:00Wednesday: 10:00 / 20:00Thursday: 10:00 / 20:00Friday: 10:00 / 20:00Saturday: 10:00 / 20:00Sunday: 12:00 / 17:30,,,
Maison Beverly Hills,670469,"320 North Rodeo Drive, CA 90210",,Beverly Hills,,,USA,+1 3108586533,34.068475,-118.401728,Monday: 10:00 / 18:00Tuesday: 10:00 / 18:00Wednesday: 10:00 / 18:00Thursday: 10:00 / 18:00Friday: 10:00 / 18:00Saturday: 10:00 / 18:00Sunday: 12:00 / 18:00,,,
Las Vegas The Shops at Via Bellagio,670470,"3600 Las Vegas Blvd South, NV 89109",,Las Vegas,,,USA,+1 7023692944,36.113974,-115.174347,Monday: 10:00 / 00:00Tuesday: 10:00 / 00:00Wednesday: 10:00 / 00:00Thursday: 10:00 / 00:00Friday: 10:00 / 00:00Saturday: 10:00 / 00:00Sunday: 12:00 / 00:00,,,
Las Vegas The Shoppes at the Palazzo,670472,"3327 Las Vegas Blvd South #2944, NV 89109",,Las Vegas,,,USA,+1 7023690747,36.124383,-115.168488,Monday: 10:00 / 23:00Tuesday: 10:00 / 23:00Wednesday: 10:00 / 23:00Thursday: 10:00 / 23:00Friday: 10:00 / 00:00Saturday: 10:00 / 00:00Sunday: 10:00 / 00:00,,,
Las Vegas The Shops at Crystals,670473,"3720 Las Vegas Blvd South,  #123, NV 89158",,Las Vegas,,,USA,+1 7022204751,36.108324,-115.174316,Monday: 10:00 / 23:00Tuesday: 10:00 / 23:00Wednesday: 10:00 / 23:00Thursday: 10:00 / 23:00Friday: 10:00 / 00:00Saturday: 10:00 / 00:00Sunday: 10:00 / 23:00,,,
Palm Beach Worth Avenue,670474,"239 Worth Avenue, FL 33480",,Palm Beach,,,USA,+1 5618333701,26.701049,-80.037972,Monday: 10:00 / 17:30Tuesday: 10:00 / 17:30Wednesday: 10:00 / 17:30Thursday: 10:00 / 17:30Friday: 10:00 / 17:30Saturday: 10:00 / 17:30Sunday: CLOSED,,,
Bologna Galleria Cavour,670475,"Galleria Cavour 9/I, 40124",,Bologna,,,Italy,+39 051265621,44.491703,11.344264,"Monday: 10:00 / 19:30Tuesday: 10:00 / 19:30Wednesday: 10:00 / 19:30Thursday: 10:00 / 19:30Friday: 10:00 / 19:30Saturday: 10:00 / 19:30Sunday: 10,00/13,30 15,30/19,30Closed December 25th and 26th, January 1st, Easter and August 15/16th.",,,
Capri Camerelle Seasonal,670476,"Via Vittorio Emanuele 57,  80073",,Capri,,,Italy,+39 0818379613,40.5498833,14.244144900000038,"Monday: 10:00 / 20:00Tuesday: 10:00 / 20:00Wednesday: 10:00 / 20:00Thursday: 10:00 / 20:00Friday: 10:00 / 20:00Saturday: 10:00 / 20:00Sunday: 10:00 / 20:00Closed from November to April, closing time changes each month.",,,
Firenze Strozzi,670477,"Via degli Strozzi 6 N, 50123",,Florence,,,Italy,+39 055284735,43.771566,11.251796,"Monday: 10:00 / 19:00Tuesday: 10:00 / 19:00Wednesday: 10:00 / 19:00Thursday: 10:00 / 19:00Friday: 10:00 / 19:00Saturday: 10:00 / 19:00Sunday: 14:00 / 19:00Closed on January 1st, Easter, all Sundays of August and December 25/26th.",,,
Maison Milano Sant'Andrea,670478,"Via Sant'Andrea 15, 20121",,Milan,,,Italy,+39 0277878115,45.468961,9.196614,"Monday: 10:00 / 19.00Tuesday: 10:00 / 19.00Wednesday: 10:00 / 19.00Thursday: 10:00 / 19.00Friday: 10:00 / 19.00Saturday: 10:00 / 19.00Sunday: 11:00 / 19.00Closed December 25th and 26th, Easter and January 1st.",,,
Roma San Lorenzo in Lucina,670479,"Piazza di San Lorenzo in Lucina 9/13, 00186",,Rome,,,Italy,+39 0668210024,41.903631,12.478219,Monday: 10:00 / 20:00Tuesday: 10:00 / 20:00Wednesday: 10:00 / 20:00Thursday: 10:00 / 19:00Friday: 10:00 / 20:00Saturday: 10:00 / 20:00Sunday: 10:30 / 19:30Closed on December 25th and 26th and January 1st.,,,
Venezia San Marco,670480,"Salizada S. Moise, 1473 - S. Marco, 30124",,Venice,,,Italy,+39 0415228489,45.433297,12.336034,Monday: 10:00 / 19:00Tuesday: 10:00 / 19:00Wednesday: 10:00 / 19:00Thursday: 10:00 / 19:00Friday: 10:00 / 19:00Saturday: 10:00 / 19:00Sunday: 10:30 / 19:00Closed on December 25th and January 1st.,,,
Cannes Croisette,670481,"65 Boulevard de la Croisette, 06400",,Cannes,,,France,+33 492592780,43.548692,7.029120,"Monday: 10:30 / 19:00Tuesday: 10:30 / 19:00Wednesday: 10:30 / 19:00Thursday: 10:30 / 19:00Friday: 10:30 / 19:00Saturday: 10:30 / 19:00Sunday: CLOSEDOpen on Sundays July and August until 20:00. Closed on November 1st, December 25th, January 1st, May 1st.",,,
Paris Faubourg,670482,"14/16 Rue Du Faubourg Saint-honore, 75008",,Paris,,,France,+33 142655970,48.868962,2.322363,"Monday: 10:30 / 19:00Tuesday: 10:30 / 19:00Wednesday: 10:30 / 19:00Thursday: 10:30 / 19:00Friday: 10:30 / 19:00Saturday: 10:30 / 19:00Sunday: 10:30 / 19:00Closed on December 25th, January 1st, May 1st.",,,
