store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Edmonton - 17215 Stony Plain Road,12657,17215 Stony Plain Road,,Edmonton,AB,T5S 2N2,Canada,(780) 444-5670,53.541325000000,-113.619684000000,,,,
Edmonton - 13338-137 Avenue,12825,13338-137 Avenue,,Edmonton,AB,T5L 2A9,Canada,(780) 406-0486,53.599598000000,-113.551685000000,,,,
Edmonton - 13733 66th Street,13150,13733 66th Street,,Edmonton,AB,T5C 3E1,Canada,(780) 406-1100,53.600557000000,-113.442819000000,,,,
Edmonton - 4214 -137th Avenue,11241,4214 -137th Avenue,,Edmonton,AB,T5Y 2W7,Canada,(780) 478-1029,53.597585000000,-113.407795000000,,,,
Lethbridge - 2416 Fairway Plaza Road South,11896,2416 Fairway Plaza Road South,,Lethbridge,AB,T1K 6Z3,Canada,(403) 380-4771,49.668049000000,-112.794865000000,,,,
Lethbridge - 1950 Third Avenue South,2502,1950 Third Avenue South,,Lethbridge,AB,T1J 0J6,Canada,(403) 329-1114,49.696298000000,-112.812971000000,,,,
Edmonton - 4212 Calgary Trail South,9597,4212 Calgary Trail South,,Edmonton,AB,T6J 6Y8,Canada,(780) 438-1202,53.478257000000,-113.495829000000,,,,
Edmonton - 6521-28 Avenue North West,10329,6521-28 Avenue North West,,Edmonton,AB,T6L 7B5,Canada,(780) 463-2322,53.458229000000,-113.432348000000,,,,
Medicine Hat - 3140 Dunmore Road S.E.,9076,3140 Dunmore Road S.E.,,Medicine Hat,AB,T1B 2X2,Canada,(403) 528-4651,50.008625000000,-110.648652000000,,,,
Redcliff - 1401 Highway Ave SE,22790,1401 Highway Ave SE,,Redcliff,AB,T0J 2T0,Canada,,50.077007000000,-110.766111000000,,,,
Viking - 5144- 54 St.,20822,5144- 54 St.,,Viking,AB,T0B 4N0,Canada,780-336-3345,53.100000000000,-111.776000000000,,,,
Red Deer - 7142 50th Avenue,12742,7142 50th Avenue,,Red Deer,AB,T4N 6A5,Canada,(403) 342-2605,52.298021000000,-113.814653000000,,,,
Crossfield - 283188 Range Rd 293,20273,283188 Range Rd 293,,Crossfield,AB,T0M0S0,Canada,403-946-4600,51.433130000000,-114.032725000000,,,,
Calgary - 11 Crowfoot Terrace Nw,10889,11 Crowfoot Terrace Nw,,Calgary,AB,T3G 4J8,Canada,(403) 215-1008,51.126885000000,-114.198908000000,,,,
Calgary - Country Hills Town Centre,12848,Country Hills Town Centre,,Calgary,AB,T3K 4Y7,Canada,(403) 215-1322,51.154276000000,-114.052935000000,,,,
Airdrie - 2805 Main Street SW,18977,2805 Main Street SW,,Airdrie,AB,T4B 3G2,Canada,(587) 360-0400,51.264400000000,-114.005000000000,,,,
"Calgary - #100, 85 Shawville Blvd. S.W.",12847,"#100, 85 Shawville Blvd. S.W.",,Calgary,AB,T2Y 3W5,Canada,(403) 215-8093,50.903858000000,-114.067526000000,,,,
Okotoks - #621 - 200 Southridge Drive,20792,#621 - 200 Southridge Drive,,Okotoks,AB,T1S 0B2,Canada,,50.705464000000,-113.951326000000,,,,
Calgary - 100 - 52nd Street NE,10936,100 - 52nd Street NE,,Calgary,AB,T2A 4K8,Canada,(403) 215-8099,51.053575000000,-113.955259000000,,,,
Calgary - 4818 - 17th Avenue S. E,10777,4818 - 17th Avenue S. E,,Calgary,AB,T2A 0V2,Canada,(403) 215-1012,51.038083000000,-113.965053000000,,,,
Calgary - 2472 - 37th Avenue NE,12971,2472 - 37th Avenue NE,,Calgary,AB,T2E 8S6,Canada,(403) 215-0640,51.086822000000,-114.003494000000,,,,
Calgary - 2000 Airport Road N.E.,18200,2000 Airport Road N.E.,,Calgary,AB,T2E6W5,Canada,(416) 221-4900,51.130740000000,-114.008360000000,,,,
Grande Prairie - 10860 - 100 Avenue,11270,10860 - 100 Avenue,,Grande Prairie,AB,T8V 7K1,Canada,(780) 814-8181,55.170780000000,-118.822656000000,,,,
