store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Red Lion (Philadelphia),,10000 Roosevelt Blvd,,Philadelphia,PA,19116,United States,(215) 543-5713,,,"Mon 11:00a.m. - 9:00p.m., Tue 11:00a.m. - 9:00p.m., Wed 11:00a.m. - 9:00p.m., Thu 11:00a.m. - 9:00p.m., Fri 11:00a.m. - 9:00p.m., Sat 11:00a.m. - 9:00p.m., Sun 11:00a.m. - 9:00p.m.",,,0
Lancaster,,2350 Lincoln Hwy E #840,,Lancaster,PA,17602,United States,(717) 295-9400,,,"Mon 11:00a.m.  - 9:00p.m., Tue 11:00a.m.  - 9:00p.m., Wed 11:00a.m. - 9:00p.m., Thu 11:00a.m.  - 9:00p.m., Fri 11:00a.m.  - 10:00p.m., Sat 11:00a.m.  - 10:00p.m., Sun 11:00a.m. - 9:00p.m.",,,0
State College,,322 West College Ave.,,State College,PA,16802,United States,814-862-9199,,,"Mon 11:00a.m. - 10:00p.m., Tue 11:00a.m. - 10:00p.m., Wed 11:00a.m. - 10:00p.m., Thu 11:00a.m. - 10:00p.m., Fri 11:00a.m. - 10:00p.m., Sat 11:00a.m. - 10:00p.m., Sun 11:00a.m. - 9:00p.m.",,,0
Glen Mills (Concordville),,200 Town Centre Drive Suite #3,,Glen Mills,PA,19342,United States,(610) 358-5880,,,"Mon 11:00a.m.  - 10:00p.m., Tue 11:00a.m.  - 10:00p.m., Wed 11:00a.m.  - 10:00p.m., Thu 11:00a.m.  - 10:00p.m., Fri 11:00a.m.  - 10:00p.m., Sat 11:00a.m.  - 10:00p.m., Sun 11:00a.m.  - 9:00p.m.",,,0
Langhorne Square,,Langhorne Square 1295 East Lincoln Hwy,,Levittown,PA,19056,United States,(215) 949.0404,,,"Mon 11:00a.m. - 9:00p.m., Tue 11:00a.m.- 9:00p.m., Wed 11:00a.m. - 9:00p.m., Thu 11:00a.m.- 9:00p.m., Fri 11:00a.m. - 9:00p.m., Sat 11:00a.m. -  9:00p.m., Sun 12:00p.m. - 8:00p.m.",,,0
Exton,,284 Main Street,,Exton,PA,19341,United States,,,,"Mon TBD, Tue TBD, Wed TBD, Thu TBD, Fri TBD, Sat TBD, Sun TBD",,,1
Burrito Elito  Philadelphia Airport,,"Philadelphia International Airport, Terminal C 6",,Philadelphia,PA,19153,United States,(215) 365.6870,,,"Mon 5:30a.m. - 11:00p.m., Tue 5:30a.m. - 11:00p.m., Wed 5:30a.m. - 11:00p.m., Thu 5:30a.m. - 11:00p.m., Fri 5:30a.m. - 11:00p.m., Sat 5:30a.m. - 11:00p.m., Sun 5:30a.m. - 11:00p.m.",,,0
Sicklerville,,500 Berlin Cross Keys Road,,Sicklerville,NJ,08081,United States,(856) 262-2644,,,"Mon 11:00a.m. - 9:00p.m., Tue 11:00a.m. - 9:00p.m., Wed 11:00a.m. - 9:00p.m., Thu 11:00a.m. - 9:00p.m., Fri 11:00a.m. - 9:00p.m., Sat 11:00a.m. - 9:00p.m., Sun 11:00a.m. - 9:00p.m.",,,0
Roxbury Mall,,275 NJ-10,,Succasunna,NJ,07876,United States,862-419-9200,,,"Mon 10:30 AM - 10:00 PM, Tue 10:30 AM - 10:00 PM, Wed 10:30 AM - 10:00 PM, Thu 10:30 AM - 10:00 PM, Fri 11:00 AM - 10:00 PM, Sat 11:00 AM - 10:00 PM, Sun 11:00 AM - 9:00 PM",,,0
Doylestown,,274 South Main Street,,Doylestown,PA,18901,United States,(215) 230-4599,,,"Mon 11:00a.m. - 9:00p.m., Tue 11:00a.m. - 9:00p.m., Wed 11:00a.m. - 9:00p.m., Thu 11:00a.m. - 9:00p.m., Fri 11:00a.m. - 9:30p.m., Sat 11:00a.m. - 9:30p.m., Sun 12:00p.m. - 8:00 p.m.",,,0
Rockville,,199 E. Montgomery Ave.,,Rockville,MD,20850,United States,(301) 610-6500,,,"Mon 11:00a.m - 9:00p.m., Tue 11:00a.m - 9:00p.m., Wed 11:00a.m - 9:00p.m., Thu 11:00a.m - 9:00p.m., Fri 11:00a.m - 10:00p.m., Sat 11:00a.m - 10:00p.m., Sun 11:00a.m - 9:00p.m.",,,0
Montvale,,12 Chestnut Ridge Road,,Montvale,NJ,07645,United States,201.391.1212,,,"Mon 11:00a.m. - 9:00p.m., Tue 11:00a.m. - 9:00p.m., Wed 11:00a.m. - 9:00p.m., Thu 11:00a.m. - 9:00p.m., Fri 11:00a.m. - 9:00p.m., Sat 11:00a.m. - 9:00p.m., Sun Closed",,,0
River Edge,,1061 Main Street - New Bridge Landing Shopping Center,,River Edge,NJ,07661,United States,201-488-1170,,,"Mon 11:00 am - 10:00 pm, Tue 11:00 am - 10:00 pm, Wed 11:00 am - 10:00 pm, Thu 11:00 am - 10:00 pm, Fri 11:00 am - 10:00 pm, Sat 11:00 am - 10:00 pm, Sun 11:00 am - 9:00 pm",,,0
