store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
DXLOutlet,9685,4827 Firestone Boulevard,Azalea Shopping Center,South Gate,CA,90280,United States,3235642936,33.953,-118.184,"Mon - Sat 10am - 9pm,  Sun 12pm - 6pm",,,
DXLStore,9923,5905 Sepulveda Boulevard,,Culver City,CA,90230,United States,3103903845,33.986079,-118.396018,"Mon - Sat 10am - 9pm,  Sun 12pm - 6pm",,,
CasualMaleXLStore,9703,16129 S Hawthorne Blvd,Suite F,Lawndale,CA,90260,United States,3107936892,33.884,-118.353,"Mon - Sat 10am - 8pm,  Sun 12pm - 6pm",,,
DXLStore,9746,4439 Candlewood Street,Lakewood Center,Lakewood,CA,90712,United States,5626335705,33.854,-118.141,"Mon - Sat 10am - 9pm,  Sun 12pm - 6pm",,,
DXLStore,9787,7615 Carson Boulevard,Long Beach Towne Center,Long Beach,CA,90808,United States,5624211766,33.827,-118.084,"Mon - Sat 10am - 9pm,  Sun 12pm - 6pm",,,
DXLStore,9927,1400 Plaza Drive,Plaza West Covina,West Covina,CA,91790,United States,6268563193,34.07,-117.928,"Mon - Sat 10am - 9pm,  Sun 12pm - 6pm",,,
CasualMaleXLStore,9082,19422 Nordhoff Street,,Northridge,CA,91324,United States,8187738822,34.235,-118.557,"Mon - Sat 10am - 8pm,  Sun 12pm - 6pm ",,,
DXLStore,9701,6041 Topanga Canyon Boulevard,,Woodland Hills,CA,91367,United States,8189924702,34.18,-118.606,"Mon - Sat 10am - 9pm,  Sun 12pm - 6pm",,,
DXLStore,9866,429 S. Associated Road,Brea Plaza,Brea,CA,92821,United States,7146720730,33.912,-117.881,"Mon - Sat 10am - 9pm,  Sun 12pm - 6pm",,,
DXLStore,9948,2800 N Main Street %231140,Main Place Mall,Santa Ana,CA,92705,United States,,33.774,-117.869,%3Cb%3E%3Cfont color%3D%22%23619a36%22%3EOPENING AUGUST 2017%3C%2Ffont%3E%3C%2Fb%3E%3Cbr%3E %3Cp%3E%3Cfont color%3D%22%23CC0000%22%3EShip to this store is unavailable.%3C%2Ffont%3E%3C%2Fp%3E,,,
CasualMaleXLStore,9768,25640 The Old Road,,Valencia,CA,91381,United States,6612594931,34.388,-118.572,"Mon - Sat 10am - 8pm,  Sun 12pm - 6pm ",,,
DXLStore,9723,13766 Jamboree Road,The Market Place,Irvine,CA,92602,United States,7147343440,33.724,-117.79,"Mon - Sat 10am - 9pm,  Sun 12pm - 6pm",,,
