store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Metro Town,,324-4820 Kingsway,,Burnaby,BC,V5H-4P1,Canada,604-620-3383,,,Mon - Sat: 11am - 10pm Sunday : 11am - 9:30pm,,,
Broadway,,382 W Broadway,,Vancouver,BC,V5Y1R2,Canada,604-428-2221,,,Mon - Sat: 11am - 10pm Sunday : 11am - 9:30pm,,,
New Westminster,,110-66 10th Street,,New Westminster,BC,BCV3L-4R6,Canada,778-397-1811,,,Mon - Sat: 11am - 10pm Sunday : 11am - 9:30pm,,,
Belmont Shore,,3870 E. Ocean Blvd.,,Long Beach,CA,90803,United States,562-438-2714,,,Mon-Sun: 10am-9pm,,,
Orange Beach,,25775 Perdido Beach Blvd A,,Orange Beach,AL,36561,United States,(251) 981-0040,,,Mon-Sun: 11:00am - 9:00pm,,,
Angels Stadium,,Angel Stadium of Anaheim,2000 E Gene Autry Way,Anaheim,CA,92806,United States,,,,,,,
Birmingham,,3066 Healthy Way Suite 100,,Birmingham,AL,35243,United States,,,,Coming Soon,,,
Burbank,,116 E. Palm Ave.,,Burbank,CA,91502,United States,747-229-9016,,,Mon-Sun: 10:00am-10:00pm Sun: 10:00am-10:00pm,,,
Salt Lake City,,2121 McClelland St E,Suite 108,Salt Lake City,UT,84106,United States,801-906-8411,,,Monday-Thursday: 8am  9pm,,,
WAKE FOREST,,1000 Forestville Road Suite 100,,Wake Forest,NC,27587,United States,919-554-5965,,,"Sun-Thurs: 10AM-9PM, Fri-Sat: 10AM-10PM",,,
Las Vegas | The Palms,,4321 W Flamingo Rd,,Las Vegas,NV,89103,United States,702-477-0414,,,Sun-Thu: 9am-11pm Fri-Sat: 9am-3am,,,
T-Mobile Arena,,3780 South Las Vegas Boulevard,,Las Vegas,NV,89119,United States,,,,,,,
Las Vegas | Summerlin,,"9460 W. Flamingo Rd., Suite 125",,Las Vegas,NV,89147,United States,,,,Sun-Thu: 10am-9pm Fri-Sat: 10am-10am,,,
Raleigh,,9424 Falls of Nuese Rd.,,Raleigh,NC,27615,United States,,,,,,,
Valencia,,28301 Newhall Ranch Rd,Ste 3-G,Valencia,CA,91355,United States,661-294-9415,,,Mon-Thu: 10am-9:30pm Fri-Sat: 10am-10pm S: 10am-9pm,,,
Tustin,,14075 Newport Ave.,,Tustin,CA,92780,United States,,,,Sun: 8:30am-9pm Mon - Thu: 8am-9pm Fri: 8am-10pm Sat: 8:30am-10pm,,,
Saugus,,27665 Bouquet Canyon Rd,,Saugus,CA,91350,United States,661-296-6900,,,Mon-Thu: 10am-9:30pm Fri-Sat: 10am-10pm Sun: 10am-9pm,,,
San Marcos,,727 West San Marcos Blvd,#108,San Marcos,CA,92078,United States,760-744-8505,,,Mon-Sun: 10am-8pm,,,
San Luis Obispo,,892 Marsh St,,San Luis Obispo,CA,93401,United States,805-439-3546,,,Mon-Sat: 10am-10pm Sun: 10am-9pm,,,
San Clemente,,415 E Avenida Pico,,San Clemente,CA,92672,United States,949-492-8437,,,Mon-Sun: 8:30am-9pm,,,
Rancho Cucamonga,,11920 Foothill Blvd.,Ste 150,Rancho Cucamonga,CA,91739,United States,909-941-8226,,,M-TH: 9am-9pm F-S: 9am-10pm Sun: 10am-8pm,,,
Yorba Linda,,18220 Yorba Linda Blvd.,Ste 302,Yorba Linda,CA,92886,United States,714-996-2150,,,Mon-Sat: 10:30am-9pm Sun: 10:30am-3pm,,,
Newport Beach | Westcliff,,1120 Irvine Ave,,Newport Beach,CA,92660,United States,949-645-8226,,,Mon-Fri: 10am-9pm Sat-Sun: 8am-9pm,,,
"Lakewood, Washington",,5720 Lakewood Towne Center Blvd. SW,,Lakewood,WA,98449,United States,(253) 588-TACO (8226),,,Sun-Sat 10AM-10PM,,,
Avon,,150 East Beaver Creek Blvd.,Unit A101,Avon,CO,81620,United States,,,,Mon-Sun: 8:30am - 9pm,,,
Pacific Beach,,1858 Garnet Ave,,San Diego,CA,92109,United States,858-270-1282,,,Coming Soon,,,
Orange,,7520 E Chapman Ave,,Orange,CA,92869,United States,714-639-9826,,,Sun 9am-9pm Mon-Sat 9am-9pm,,,
Newport Beach,,4533 W. Pacific Coast Hwy,,Newport Beach,CA,92663,United States,949-642-2458,,,Mon-Thu: 8am-9pm Fri-Sat: 8am-2am Sun: 8am-9pm,,,
Long Beach | Stearns,,5525 E Stearns Street,,Long Beach,CA,90815,United States,562-342-9501,,,,,,
La Habra,,1403 E Lambert Road,,La Habra,CA,90631,United States,562-691-8600,,,Mon-Fri: 8am-8pm Sat-Sun: 8am-8pm,,,
Laguna Niguel,,28241 Crown Valley Parkway,Suite C,Laguna Niguel,CA,92677,United States,949-273-3184,,,Mon-Sun: 8:30am-9pm,,,
Oceanside,,208 N. Coast Highway,,Oceanside,CA,92054,United States,7604351178,,,Sun-Thurs 9am-10pm Fri-Sat 9am-11pm,,,
Huntington Beach | Bella Terra,,7621 Edinger Ave.,Unit #106,Huntington Beach,CA,92647,United States,714-890-6100,,,Sun-Thu: 8:30am-9pm Fri-Sat: 8:30am-9:30pm,,,
Irvine,,5365 Alton Parkway,Ste D,Irvine,CA,92604,United States,949-653-8226,,,Mon-Sun: 8am-9:30pm,,,
Long Beach | PCH,,6602 Pacific Coast Hwy,,Long Beach,CA,90803,United States,562-430-8200,,,Mon-Sun 10am-9pm,,,
Lakewood,,4212 Woodruff Ave,,Lakewood,CA,90713,United States,562-425-7040,,,Sun-Sat 10AM-10PM,,,
Dana Point,,34255 Pacific Coast Highway,,Dana Point,CA,92629,United States,949-545-6960,,,Sun-Thurs: 9AM-9PM,,,
Huntington Beach,,328 11th Street,,Huntington Beach,CA,92648,United States,(714) 465-9249,,,Monday: 8am - 9pm,,,
Fresno,,6717 Riverside Dr,Suite 101,Fresno,CA,93722,United States,,,,,,,
Clovis,,"785 W Herndon Ave,Suite 500,",,Clovis,CA,93612,United States,,,,Mon-SAT: 10:00am - 10:00pm,,,
Costa Mesa,,1460 Baker St.,,Costa Mesa,CA,92626,United States,714-668-9021,,,Mon-Sat: 10:00am-10:00pm Sun: 10:00am-9:00pm,,,
Corona Del Mar,,3601 E Pacific Coast Hwy,,Corona Del Mar,CA,92625,United States,949-675-2574,,,Sun-Thu: 7am-9pm Fri-Sat: 7am-10pm,,,
Palmdale,,39604 10th Street West,Suite B1,Palmdale,CA,93551,United States,661-267-9940,,,Mon-Sun: 10am-10pm,,,
Fullerton,,133 W. Chapman Ave.,,Fullerton,CA,92832,United States,714-441-1392,,,Mon-Sat: 11am-10pm Sun: 11am-9pm,,,
Corona,,160 E Ontario Ave,,Corona,CA,92879,United States,951-278-2643,,,Sun-Mon: 10am-9pm Thu-Sat: 10am-10pm,,,
Cerritos,,11308 South St,,Cerritos,CA,90703,United States,562-809-8226,,,Mon - Sat: 11am - 10pm Sunday : 11am - 9:30pm,,,
