store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Cook Out , Maryland",474,1115 S Salisbury Blvd,,Salisbury,MD,21804,United States,,38.347291,-75.602345,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , Elizabeth City",1587,912 W Ehringhaus St.,,Elizabeth City,NC,27909,United States,,36.295865,-76.233716,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , Virginia Beach, VA",449,5670 Indian River Rd,,Virginia Beach,VA,23464,United States,,36.805592,-76.190398,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , Military Hwy.",417,1105 N Military Hwy,,Norfolk,VA,23502,United States,,36.859732,-76.210654,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , Chesapeake, VA",431,1328 Battlefield Blvd N,,Chesapeake,VA,23320,United States,,36.764709,-76.251728,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , Monticello Ave.",423,1818 Monticello Ave,,Norfolk,VA,23235,United States,,36.865391,-76.284441,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , Portsmouth",425,4015 Victory Blvd,,Portsmouth,VA,23701,United States,,36.811285,-76.360264,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , Hampton",447,1025 W Mercury Blvd,,Hampton,VA,23666,United States,,37.043204,-76.3796,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , Jefferson Ave.",413,12471 Jefferson Ave,,Newport News,VA,23602,United States,,37.124264,-76.509576,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , Suffolk, VA",445,1017 N Main St,,Suffolk,VA,23434,United States,,36.744044,-76.583859,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , Gloucester",446,7065 George Washington Memorial Hwy,,Gloucester Courthouse,VA,23061,United States,,37.392858,-76.52796,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , New Bern City",1655,2500 Dr ML King Blvd,,New Bern,NC,28562,United States,,35.105875,-77.080873,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
"Cook Out , Williamsburg",427,1660 Richmond Rd,,Williamsburg,VA,23185,United States,,37.295709,-76.726261,"Monday 9:00 AM - 5:00 PM, Tuesday 9:00 AM - 5:00 PM, Wednesday 9:00 AM - 5:00 PM, Thursday 9:00 AM - 5:00 PM, Friday 9:00 AM - 5:00 PM, Saturday Closed, Sunday Closed",,,
