store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Bellevue,,700 Bellevue Way NE Unit 130,,Bellevue ,WA,,USA,(425) 452-3275,,,"Mon 11:30am - 12:45am, Tue 11:30am - 12:45am, Wed 11:30am - 12:45am, Thu 11:30am - 12:45am, Fri 11:30am - 1:45am, Sat 11:30am - 1:45am, Sun 11:30am - 12:45am",,,
London,,1029 Wellington Road South,,London ,ON,,Canada,(519) 601-5513,,,"Mon 11:30am - Midnight, Tue 11:30am - Midnight, Wed 11:30am - 1:00am, Thu 11:30am - 1:00am, Fri 11:30am - 2:00am, Sat 11:30am - 2:00am, Sun 11:30am - Midnight",,,
Burlington,,900 Maple Avenue Unit A25,,Burlington ,ON,,Canada,(905) 631-1212,,,"Mon 11:30am - Midnight, Tue 11:30am - Midnight, Wed 11:30am - 1:00am, Thu 11:30am - 1:00am, Fri 11:30am - 2:00am, Sat 11:00am - 2:00am, Sun 11:00am - Midnight",,,
Whitehorse,,9016 Quartz Rd Unit 101,,Whitehorse ,YT,,Canada,(867) 456-3275,,,"Mon 11:30am - 10:00pm, Tue 11:30am - 10:00pm, Wed 11:30am - 10:00pm, Thu 11:30am - 10:00pm, Fri 11:30am - 11:00pm, Sat 11:30am - 11:00pm, Sun 11:30am - 10:00pm",,,
Albert Street,,2606 28th Avenue,,Regina ,SK,,Canada,(306) 584-7733,,,"Mon 11:30am - Midnight, Tue 11:30am - Midnight, Wed 11:30am - Midnight, Thu 11:30am - Midnight, Fri 11:30am - 1:00am, Sat 11:30am - 1:00am, Sun 11:30am - Midnight",,,
Square One,,100 City Center Drive Unit 1-101,,Mississauga ,ON,,Canada,(905) 897-2925,,,"Mon 11:30am - 2:00am, Tue 11:30am - 2:00am, Wed 11:30am - 2:00am, Thu 11:30am - 2:00am, Fri 11:30am - 2:00am, Sat 11:30am - 2:00am, Sun 11:30am - 2:00am",,,
Saskatoon,,610 2nd Avenue North,,Saskatoon ,SK,,Canada,(306) 664-4060,,,"Mon 11:00am - 1:00am, Tue 11:00am - 1:00am, Wed 11:00am - 1:00am, Thu 11:00am - 1:00am, Fri 11:00am - 2:00am, Sat 11:00am - 2:00am, Sun 11:00am - 1:00am",,,
Vaughan,,40 Colossus Drive,,Woodbridge ,ON,,Canada,(905) 851-9600,,,"Mon 11:30am - 1:00am, Tue 11:30am - 1:00am, Wed 11:30am - 1:00am, Thu 11:30am - 2:00am, Fri 11:30am - 2:00am, Sat 11:30am - 2:00am, Sun 11:30am - 1:00am",,,
Regina East,,1875 Victoria Ave East,,Regina ,SK,,Canada,(306) 949-4955,,,"Mon 11:30am - Midnight, Tue 11:30am - Midnight, Wed 11:30am - Midnight, Thu 11:30am - Midnight, Fri 11:30am - 1:00am, Sat 11:30am - 1:00am, Sun 11:30am - Midnight",,,
King Street,,150 King Street West Unit 100,,Toronto ,ON,,Canada,(416) 916-0227,,,"Mon 11:30am - 2:00am, Tue 11:30am - 2:00am, Wed 11:30am - 2:00am, Thu 11:30am - 2:00am, Fri 11:30am - 2:00am, Sat 11:30am - 2:00am, Sun 11:30am - 2:00am",,,
St. Vital,,1215 St. Mary's Road,,Winnipeg ,MB,,Canada,(204) 254-1600,,,"Mon 11:00am - Midnight, Tue 11:00am - Midnight, Wed 11:00am - Midnight, Thu 11:00am - 1:00am, Fri 11:00am - 1:00am, Sat 11:00am - 1:00am, Sun 11:00am - Midnight",,,
Polo Park,,1455 Portage Ave,,Winnipeg ,MB,,Canada,(204) 975-1845,,,"Mon 11:00am - Midnight, Tue 11:00am - 1:00am, Wed 11:00am - 1:00am, Thu 11:00am - 1:00am, Fri 11:00am - 1:00am, Sat 11:00am - 1:00am, Sun 11:00am - Midnight",,,
Victoria,,1199 Government Street,,Victoria ,BC,,Canada,(250) 381-1866,,,"Mon 11:30am - 11:00pm, Tue 11:30am - 11:00pm, Wed 11:30am - 11:00pm, Thu 11:30am - Midnight, Fri 11:30am - 1:00am, Sat 11:30am - 1:00am, Sun 11:30am - 11:00pm",,,
Whistler Village,,4295 Blackcomb Way Unit 220/221,,Whistler ,BC,,Canada,(604) 935-3222,,,"Mon 11:30am - 11:30pm, Tue 11:30am - 11:30pm, Wed 11:30am - 11:30pm, Thu 11:30am - 11:30pm, Fri 11:30am - 12:30am, Sat 11:00am - 11:30pm, Sun 11:00am - 11:30pm",,,
Tysons Corner,,7902 Tysons One Place,,Tysons Corner ,VA,,USA,703-847-1870,,,"Mon 11:30am - Midnight, Tue 11:30am - Midnight, Wed 11:30am - 1:00am, Thu 11:30am - 1:00am, Fri 11:30am - 2:00am, Sat 11:00am - 2:00am, Sun 11:00am - Midnight",,,
