store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
NYC- Midtown,001,521 Madison Avenue,,New York,NY,10022,US,212.759.9888,40.759985,-73.973838,,1944,,
NYC- Upper West Side,002,341 Columbus Avenue,,New York,NY,10024,US,212.362.3000,40.780049,-73.976741,,1944,,
NYC- Flatiron District,003,166 Fifth Avenue,,New York,NY,10010,US,212.924.4777,40.740635,-73.99045,,1944,,
NYC- Upper East Side,004,1039 Madison Avenue,,New York,NY,10075,US,212.879.7799,40.776595,-73.961724,,1944,,
Sanibel,005,"2055 Periwinkle Way,",,Sanibel Island,FL,33957,US,239.472.4655,26.438184,-82.067828,,1944,,
Chestnut Hill,006,199 Boylston Street,The Shops at Chestnut Hill,Chestnut Hill,MA,02467,US,617.964.5200,,,,1944,,
East Hampton,007,26 Newtown Lane,,East Hampton,NY,11937,US,631.324.4111,40.964214,-72.186216,,1944,,
Boston- Copley,008,"100 Huntington Ave, Suite A014A.",Copley Place,Boston,MA,02116,US,617.536.6800,,,,1944,,
White Plains,009,"125 Westchester Ave., Suite 2890",The Westchester,White Plains,NY,10601,US,914.644.8600,41.032528,-73.758221,,1944,,
Westport,013,160 Main Street,,Westport,CT,06880,US,203.227.1099,41.143666,-73.361664,,1944,,
NYC- Soho,014,395 West Broadway,,New York,NY,10012,US,212.431.4567,40.724121,-74.002081,,1944,,
Seattle- Pine Street,016,525 Pine Street,,Seattle,WA,98101,US,206.748.0770,47.611669,-122.336078,,1944,,
Northampton,017,24 Pleasant Street,,Northampton,MA,01060,US,413.585.1118,42.31944,-72.62934,,1944,,
Chicago- Water Tower,019,845 N. Michigan Avenue,Water Tower Place,Chicago,IL,60611,US,312.943.9190,41.898271,-87.623984,,1944,,
McLean- Tysons,020,1805G International Drive,,Mclean,VA,22102,US,703.288.1802,38.92443,-77.22688,,1944,,
Palo Alto- Stanford,022,114 Stanford Shopping Center,,Palo Alto,CA,94304,US,650.473.0423,37.444607,-122.171044,,1944,,
