store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Margot Couturier et Nicole Williams,,"318, Rue Amirault",,Dieppe,NB,E1A 1G3,Canada,506 830-2555,46.084962,-64.733293,"Monday 9 h-21 h, Tuesday 9 h-21 h, Wednesday 9 h-21 h, Thursday 9 h-21 h, Friday 9 h-21 h, Saturday 9 h-17 h, Sunday 11 h-17 h",,,
Robert Anderson,,"150, Rte La Vallee",,Memramcook,NB,E4K 2A6,Canada,506 758-1890,45.998835,-64.571575,"Monday 9 h-18 h, Tuesday 9 h-18 h, Wednesday 9 h-18 h, Thursday 9 h-20 h, Friday 9 h-18 h, Saturday 9 h-16 h, Sunday Ferme",,,
Marie-Claude Cyr,,"1351, Rue Des Fondateurs Cp 148",,Paquetville,NB,E8R 1A3,Canada,506 764-3553,47.668683,-65.106142,"Monday 9 h-17 h 30, Tuesday 9 h-17 h 30, Wednesday 9 h-17 h 30, Thursday 9 h-21 h, Friday 9 h-21 h, Saturday 9 h-17 h, Sunday Ferme",,,
Marie-Claude Cyr,,"879, Rue Principale, Unite 2",,Beresford,NB,E8K 1R3,Canada,506 542-9006,47.699652,-65.704054,"Monday 8 h 30-20 h 30, Tuesday 8 h 30-20 h 30, Wednesday 8 h 30-20 h 30, Thursday 8 h 30-20 h 30, Friday 8 h 30-20 h 30, Saturday 9 h-17 h, Sunday 12 h-17 h",,,
Kevin Smyth,,"138, Rue Principale",,Ste-Anne-Madawaska,NB,E7E 1B8,Canada,506 445-2275,47.249418,-68.031752,"Monday 9 h-18 h, Tuesday 9 h-18 h, Wednesday 9 h-18 h, Thursday 9 h-20 h, Friday 9 h-20 h, Saturday 9 h-17 h, Sunday Ferme",,,
Kevin Smyth et Eric Lee,,"131, Rue De L'eglise",,Edmundston,NB,E3V 1J9,Canada,506 737-9020,47.362794,-68.331076,"Monday 9 h-21 h, Tuesday 9 h-21 h, Wednesday 9 h-21 h, Thursday 9 h-21 h, Friday 9 h-21 h, Saturday 9 h-17 h, Sunday 10 h-16 h",,,
Chantal Landry et Valery Guylaine Levasseur,,"105, 7e Rue Est",,Degelis,QC,G5T 1Y6,Canada,418 853-2223,47.548026,-68.641987,"Monday 9 h-18 h, Tuesday 9 h-18 h, Wednesday 9 h-21 h, Thursday 9 h-21 h, Friday 9 h-21 h, Saturday 9 h-17 h, Sunday Ferme",,,
Eric Lee,,"809, Rue Principale Bureau D",,Clair,NB,E7A 2H7,Canada,506 992-3393,47.250725,-68.605972,"Monday 9 h-18 h, Tuesday 9 h-18 h, Wednesday 9 h-18 h, Thursday 9 h-20 h, Friday 9 h-20 h, Saturday 9 h-16 h, Sunday Ferme",,,
Marcel Post et Mark Hines,,"562, rue Darlington",,Dalhousie,NB,E8C 1N1,Canada,506 684-3381,48.039273,-66.40519,"Monday 9 h-20 h, Tuesday 9 h-20 h, Wednesday 9 h-20 h, Thursday 9 h-20 h, Friday 9 h-20 h, Saturday 9 h-17 h, Sunday 12 h-17 h",,,
Joey Maltais,,"4-B, Boul Perron Est",,Matapedia,QC,G0J 1V0,Canada,418 865-2003,47.974983,-66.941836,"Monday 9 h-19 h, Tuesday 9 h-17 h, Wednesday 9 h-17 h, Thursday 9 h-17 h, Friday 9 h-17 h, Saturday Ferme, Sunday Ferme",,,
Chantal Landry et Valery Guylaine Levasseur,,"2387, Rue Commerciale Sud",,Temiscouata-Sur-Le-Lac,QC,G0L 1X0,Canada,418 899-6708,47.602259,-68.768558,"Monday 9 h-18 h, Tuesday 9 h-18 h, Wednesday 9 h-18 h, Thursday 9 h-21 h, Friday 9 h-21 h, Saturday 9 h-17 h, Sunday 9 h-13 h",,,
Marcel Post et Mark Hines,,"116A, Rue Notre-Dame",,Kedgwick,NB,E8B 1H8,Canada,506 284-9091,47.64581,-67.352228,"Monday 9 h-17 h 30, Tuesday 9 h-17 h 30, Wednesday 9 h-17 h 30, Thursday 9 h-21 h, Friday 9 h-21 h, Saturday 9 h-17 h, Sunday Ferme",,,
Michel Ky-Tran Hohuu et Danh Nguyen,,"26 B, Rue Maple",,Grenville,QC,J0V 1J0,Canada,819 242-1350,45.62296,-74.593858,"Monday 9 h-20 h, Tuesday 9 h-20 h, Wednesday 9 h-20 h, Thursday 9 h-20 h, Friday 9 h-20 h, Saturday 9 h-17 h, Sunday Ferme",,,
Pascale Gagnon,,"225, Boul St-Joseph",,Gatineau,QC,J8Y 3X5,Canada,819 777-1637,45.435254,-75.733175,"Monday 9 h-20 h, Tuesday 9 h-20 h, Wednesday 9 h-20 h, Thursday 9 h-20 h, Friday 9 h-18 h, Saturday 10 h-16 h, Sunday Ferme",,,
Louise Gregoire,,"40, Rue Cite Jardin",,Gatineau,QC,J8T 8P5,Canada,819 243-4444,45.485694,-75.688124,"Monday 10 h-16 h, Tuesday 10 h-16 h, Wednesday 10 h-16 h, Thursday 10 h-16 h, Friday 10 h-16 h, Saturday Ferme, Sunday Ferme",,,
Johanne Giguere et Nathalie Desroches,,"235, Rue De Cannes",,Gatineau,QC,J8T 8C5,Canada,819 243-0775,45.490296,-75.723942,"Monday 9 h-21 h, Tuesday 9 h-21 h, Wednesday 9 h-21 h, Thursday 9 h-21 h, Friday 9 h-21 h, Saturday 9 h-17 h, Sunday 10 h-17 h",,,
