store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
OAKVILLE MEDICAL ARTS PHARMACY,565825,358 REYNOLDS ST,,OAKVILLE,ON,L6J 3L9,Canada,(905) 844-1671,43.453486,-79.675477,,,,
WALSH'S IDA PHARMACY,560237,129 MAIN ST S BOX 700,,MOUNT FOREST,ON,N0G 2L0,Canada,(519) 323-1221,43.981093,-80.735865,,,,
Waterdown IDA Pharmacy,556301,115 Hamilton Street North,,Waterdown,ON,L0R 2H6,Canada,(905) 689-0999,43.336235,-79.903213,,,,
HEALTH AID PHARMACY,566287,12918-167 Avenue,,EDMONTON,AB,T6V 1J6,Canada,(780) 244-0803,53.628749,-113.55034,,,,
MARTINDALE IDA PHARMACY,562723,211 MARTINDALE RD,,ST CATHARINES,ON,L2S 3V7,Canada,(905) 685-7117,43.171254,-79.274082,,,,
Henley Gardens Pharmacy,520547,1089 Kingston Road Unit 5,,Scarborough,ON,M1N 4E4,Canada,(416) 693-8888,43.680892,-79.283305,,,,
Truscott Pharmacy,506968,2425 Truscott Drive,,Mississauga,ON,L5J 2B4,Canada,(905) 822-1614,43.511777,-79.647643,,,,
Gore Pharmacy,545782,4515 Ebenezer Road,,Brampton,ON,L6P 2K7,Canada,(905) 794-5003,43.772588,-79.66239,,,,
Hunts Pharmacy,544814,6 Speers Boulevard,,Amherstview,ON,K7N 1Z6,Canada,(613) 389-8800,44.214867,-76.660149,,,,
TWO HILLS PHARMACY,566133,2- 5002 DIEFENBAKER AVE,,TWO HILLS,AB,T0B 4K0,Canada,(780) 657-3530,53.710646,-111.743802,,,,
GURU NANAK DEV PHARMACENTRE,544588,2200 EGLINTON AVE W,,MISSISSAUGA,ON,L5M 2N1,Canada,(905) 813-3970,43.55935,-79.703246,,,,
DUSK IDA PHARMACY,560820,55 DUSK DR,,BRAMPTON,ON,L6Y 5Z6,Canada,(905) 451-9999,43.654918,-79.768749,,,,
MCINTYRE PHARMACY,561150,238 MAIN ST BOX 35,,PARKHILL,ON,N0M 2K0,Canada,(519) 294-6314,43.16227,-81.684218,,,,
WINNIPEGOSIS CLINIC PHARMACY,562954,200 1st Street,,WINNIPEGOSIS,MB,R0L 2G0,Canada,(204) 656-4424,51.647158,-99.926358,,,,
LACOMBE IDA PHARMACY,566551,5019- 51 ST,,LACOMBE,AB,T4L 2A3,Canada,(403) 789-3333,52.463817,-113.731939,,,,
Innovation Pharmacy,556266,40 Innovation Drive,,Vaughan,ON,L4H 0T2,Canada,(905) 856-5557,43.788297,-79.625839,,,,
Meadows Pharmacy,512921,3493 Portage Road,,Niagara Falls,ON,L2J 2K5,Canada,(905) 354-3023,43.121686,-79.099616,,,,
STAFFORD IDA PHARMACY,564252,1861 ROBERTSON RD,,NEPEAN,ON,K2H 9N5,Canada,(613) 726-7999,45.328,-75.82105,,,,
CARLING IDA PHARMACY,560567,1320 CARLING AVE,,OTTAWA,ON,K1Z 7K8,Canada,(613) 722-7774,45.385453,-75.735034,,,,
IDA PLATINUM CARE PHARMACY,562701,3 3238 KING GEORGE BLVD,,SURREY,BC,V4P 1A5,Canada,(604) 385-0188,49.060944,-122.811905,,,,
JOHNSON'S PHARMACY,563207,116 MAIN STREET SOUTH,,KENORA,ON,P9N 1S9,Canada,(807) 468-7412,49.76723,-94.49041,,,,
High Level Valu Drugs,550350,10204 100 Avenue PO Box 1449,,High Level,AB,T0H 1Z0,Canada,(780) 926-3516,58.519656,-117.135214,,,,
Meadows Pharmacy,512932,3770 Montrose Road,,Niagara Falls,ON,L2H 3K3,Canada,(905) 357-6577,43.118591,-79.124908,,,,
