store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,75 Consumers Drive,,Whitby,Ontario,L1N 2C4,Canada,TEL: 905-666-9070,,,"Monday - 11am - 10pm, Tuesday - Thursday - 11am - 11pm, Friday - 11am - 12am, Saturday - 10am - 12am, Sunday - 10am - 10pm",,,
,,1080 Baxter Road,,Ottawa,Ontario,K2C 4B1,Canada,TEL: 613-721-1373,,,"Monday - 11am - 11pm, Tuesday - Thursday - 11am - 12am, Friday - 11am - 1am, Saturday - 10am - 1am, Sunday - 10am - 11pm",,,
,,Lansdowne Park325 Marche Way,,Ottawa,Ontario,K1S 5J3,Canada,TEL: 613-695-1669,,,"Mon - Thurs: 11:00 am - 12:00 am, Fri: 11:00 am - 1:00 am, Sat: 10:00 am - 1:00 am, Sun: 10:00 am - 12:00 am",,,
,,435 Kanata Avenue,,Ottawa,Ontario,K2T 1K5,Canada,TEL: 613-595-1968,,,"Monday - Thursday - 11am - 12am, Friday - 11am - 1am, Saturday - 10am - 1am, Sunday - 10am - 12am, ",,,
,,700 Sussex Drive,,Ottawa,Ontario,K1N 1K4,Canada,TEL: 613-789-5432,,,"Monday - Thursday - 11am - 12am, Friday - 11am - 1am, Saturday - 10am - 1am, Sunday - 10am - 12am",,,
,,3529 Wyecroft Road,,Oakville,Ontario,L6L 0B7,Canada,TEL: 905-827-6955,,,"Monday - Thursday - 11am - 12am, Friday - 11am - 1am, Saturday - 10am - 1am, Sunday - 10am - 11pm",,,
,,6755 Fallsview Blvd,,Niagara Falls,Ontario,L2G 3W7,Canada,TEL: 905-358-4720,,,Please call us for restaurant hours of operation,,,
,,NOW OPEN2335 8th Street E.,,Saskatoon,Saskatchewan,S7H 0V4,Canada,TEL: 306-934-8880,,,"Monday - Friday - 11am - 11pm, Saturday - 10am - 12am, Sunday - 10am - 10pm",,,
,,18162 Yonge Street,,Newmarket,Ontario,L9N 0J3,Canada,TEL: 905-853-5345,,,"Monday - 11am - 10pm, Tuesday - Thursday - 11am - 11pm, Friday - 11am - 12am, Saturday - 10am - 12am, Sunday - 10am - 10pm",,,
,,169 Enterprise Blvd,,Markham,Ontario,L6G 1B3,Canada,TEL: 905-415-3483,,,"Monday to Thursday 11am-12am, Friday 11am-1am, Saturday 10am-1am, Sunday 10am-11pm",,,
