store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Richard Ball,,701 Palo Pinto Rd,Suite: #J,Weatherford,TX,76086,United States, 817-594-5800,,,"Sunday 12:00:PM - 09:00:PM, Monday 11:00:AM - 09:00:PM, Tuesday 11:00:AM - 09:00:PM, Wednesday 11:00:AM - 09:00:PM, Thursday 11:00:AM - 09:00:PM, Friday 11:00:AM - 09:30:PM, Saturday 11:00:AM - 09:30:PM",,,
Mario & Patti Carapina,,2424 Williams Blvd,Suite: Suite E,Kenner,LA,70062,United States, 504-465-0777,,,"Sunday Closed, Monday 11:00:AM - 10:00:PM, Tuesday 11:00:AM - 10:00:PM, Wednesday 11:00:AM - 11:00:PM, Thursday 11:00:AM - 11:00:PM, Friday 11:00:AM - 11:00:PM, Saturday 11:00:AM - 11:00:PM",,,
Cindy Hall,,417 Hwy 199 E,Suite: #7,Springtown,TX,76082,United States, 817-523-2255,,,"Sunday 11:00:AM - 09:00:PM, Monday 11:00:AM - 09:00:PM, Tuesday 11:00:AM - 09:00:PM, Wednesday 11:00:AM - 09:00:PM, Thursday 11:00:AM - 09:00:PM, Friday 11:00:AM - 10:00:PM, Saturday 11:00:AM - 10:00:PM",,,
Daniel & Mayva Mendoza,,1029 N Saginaw Blvd,,Saginaw,TX,76179,United States, 817-847-0067,,,"Sunday 11:30:AM - 09:00:PM, Monday 03:00:PM - 09:00:PM, Tuesday 03:00:PM - 09:00:PM, Wednesday 03:00:PM - 09:00:PM, Thursday 03:00:PM - 09:00:PM, Friday 03:00:PM - 10:00:PM, Saturday 03:00:PM - 10:00:PM",,,
Wilson Cotrim,,22772 Cypresswood Dr,,Spring,TX,77373,United States, 281-209-2929,,,"Sunday 11:00:AM - 10:00:PM, Monday 11:00:AM - 10:00:PM, Tuesday 11:00:AM - 10:00:PM, Wednesday 11:00:AM - 10:00:PM, Thursday 11:00:AM - 10:00:PM, Friday 11:00:AM - 10:00:PM, Saturday 11:00:AM - 10:00:PM",,,
Jesse Martinez,,205 S Main St,Suite: #1004,Red Oak,TX,75154,United States, 972-617-2533,,,"Sunday 11:00:AM - 09:30:PM, Monday 11:00:AM - 09:30:PM, Tuesday 11:00:AM - 09:30:PM, Wednesday 11:00:AM - 09:30:PM, Thursday 11:00:AM - 09:30:PM, Friday 11:00:AM - 10:30:PM, Saturday 11:00:AM - 10:30:PM",,,
Felix Cruz,,500 N Highway 377,Suite: #F,Roanoke,TX,76262,United States, 817-491-4111,,,"Sunday 10:30:AM - 09:00:PM, Monday 03:00:PM - 09:00:PM, Tuesday 03:00:PM - 09:00:PM, Wednesday 03:00:PM - 09:00:PM, Thursday 03:00:PM - 09:00:PM, Friday 10:30:AM - 10:00:PM, Saturday 11:00:AM - 10:30:AM",,,
Emmett & Charmaine Jones,,5000 Rowlett Road,Suite: Suite 104,Rowlett,TX,75088,United States, 972-412-0100,,,"Sunday 12:00:PM - 08:00:PM, Monday 11:00:AM - 09:00:PM, Tuesday 11:00:AM - 09:00:PM, Wednesday 11:00:AM - 09:00:PM, Thursday 11:00:AM - 09:00:PM, Friday 11:00:AM - 10:30:PM, Saturday 11:00:AM - 10:30:PM",,,
Charlie Clark,,2121 N Fm 1417,Suite: #1,Sherman,TX,75092,United States, 903-957-0045,,,"Sunday 11:00:AM - 09:00:PM, Monday 11:00:AM - 09:00:PM, Tuesday 11:00:AM - 09:00:PM, Wednesday 11:00:AM - 09:00:PM, Thursday 11:00:AM - 09:00:PM, Friday 11:00:AM - 10:00:PM, Saturday 11:00:AM - 10:00:PM",,,
Heather & Christopher Grupido,,501 E Princeton Dr,Suite: #101,Princeton,TX,75407,United States, 972-736-3800,,,"Sunday 12:00:PM - 09:00:PM, Monday 11:00:AM - 09:00:PM, Tuesday 11:00:AM - 09:00:PM, Wednesday 11:00:AM - 09:00:PM, Thursday 11:00:AM - 09:00:PM, Friday 11:00:AM - 10:00:PM, Saturday 11:00:AM - 10:00:PM",,,
