store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,6 currie avenue,,wallington,NJ,07057-2232,US,(201)933-3800,,,"Sunday Closed - Closed, Monday 7:00 AM - 5:00 PM, Tuesday 7:00 AM - 5:00 PM, Wednesday 7:00 AM - 5:00 PM, Thursday 7:00 AM - 5:00 PM, Friday 7:00 AM - 5:00 PM, Saturday Closed - Closed",,,
,,984 silas deane hwy,,wethersfield,CT,06109-4227,US,(860)563-1419,,,"Sunday Closed - Closed, Monday 7:00 AM - 5:00 PM, Tuesday 7:00 AM - 5:00 PM, Wednesday 7:00 AM - 5:00 PM, Thursday 7:00 AM - 5:00 PM, Friday 7:00 AM - 5:00 PM, Saturday Closed - Closed",,,
,,foundry st bldg 1,,lowell,MA,01852-5135,US,(978)441-1444,,,"Sunday Closed - Closed, Monday 7:00 AM - 5:00 PM, Tuesday 7:00 AM - 5:00 PM, Wednesday 7:00 AM - 5:00 PM, Thursday 7:00 AM - 5:00 PM, Friday 7:00 AM - 5:00 PM, Saturday Closed - Closed",,,
,,7411 industrial parkway,,macungie,PA,18062,US,(610)966-8122,,,"Sunday Closed - Closed, Monday 7:00 AM - 5:00 PM, Tuesday 7:00 AM - 5:00 PM, Wednesday 7:00 AM - 5:00 PM, Thursday 7:00 AM - 5:00 PM, Friday 7:00 AM - 5:00 PM, Saturday Closed - Closed",,,
,,7615 othello ave ste a,,san diego,CA,92111-3600,US,(858)292-1358,,,"Sunday Closed - Closed, Monday 7:00 AM - 5:00 PM, Tuesday 7:00 AM - 5:00 PM, Wednesday 7:00 AM - 5:00 PM, Thursday 7:00 AM - 5:00 PM, Friday 7:00 AM - 5:00 PM, Saturday Closed - Closed",,,
,,315 chesmar plz,,newark,DE,19713-2461,US,(302)369-5733,,,"Sunday Closed - Closed, Monday 6:30 AM - 5:00 PM, Tuesday 6:30 AM - 5:00 PM, Wednesday 6:30 AM - 5:00 PM, Thursday 6:30 AM - 5:00 PM, Friday 6:30 AM - 5:00 PM, Saturday 8:00 AM - 12:00 PM",,,
,,2640 main st,,san diego,CA,92113-3613,US,(619)231-2313,,,"Sunday Closed - Closed, Monday 7:30 AM - 5:00 PM, Tuesday 7:30 AM - 5:00 PM, Wednesday 7:30 AM - 5:00 PM, Thursday 7:30 AM - 5:00 PM, Friday 7:30 AM - 5:00 PM, Saturday Closed - Closed",,,
,,1712 newport gap pike,,wilmington,DE,19808-6120,US,(302)998-3747,,,"Sunday Closed - Closed, Monday 6:30 AM - 5:00 PM, Tuesday 6:30 AM - 5:00 PM, Wednesday 6:30 AM - 5:00 PM, Thursday 6:30 AM - 5:00 PM, Friday 6:30 AM - 5:00 PM, Saturday 8:00 AM - 12:00 PM",,,
,,99 boston post rd,,waterford,CT,06385-2404,US,(860)443-8516,,,"Sunday 10:00 AM - 4:00 PM, Monday 7:00 AM - 6:00 PM, Tuesday 7:00 AM - 6:00 PM, Wednesday 7:00 AM - 6:00 PM, Thursday 7:00 AM - 6:00 PM, Friday 7:00 AM - 6:00 PM, Saturday 8:00 AM - 4:00 PM",,,
,,3501 5th ave,,east moline,IL,61244-9549,US,(309)755-3676,,,"Sunday Closed - Closed, Monday 7:00 AM - 5:00 PM, Tuesday 7:00 AM - 5:00 PM, Wednesday 7:00 AM - 5:00 PM, Thursday 7:00 AM - 5:00 PM, Friday 7:00 AM - 5:00 PM, Saturday Closed - Closed",,,
,,90 carando dr,,springfield,MA,01104,US,(413)205-1464,,,"Sunday Closed - Closed, Monday 6:00 AM - 5:00 PM, Tuesday 6:00 AM - 5:00 PM, Wednesday 6:00 AM - 5:00 PM, Thursday 6:00 AM - 5:00 PM, Friday 6:00 AM - 5:00 PM, Saturday 8:00 AM - 2:00 PM",,,
,,6450 long point,,houston,TX,77055-2696,US,(713)686-9961,,,"Sunday Closed - Closed, Monday 6:30 AM - 5:00 PM, Tuesday 6:30 AM - 5:00 PM, Wednesday 6:30 AM - 5:00 PM, Thursday 6:30 AM - 5:00 PM, Friday 6:30 AM - 5:00 PM, Saturday 8:00 AM - 1:00 PM",,,
,,1405 keystone ave,,lansing,MI,48911-4039,US,(517)394-2272,,,"Sunday Closed - Closed, Monday 7:00 AM - 5:30 PM, Tuesday 7:00 AM - 5:30 PM, Wednesday 7:00 AM - 5:30 PM, Thursday 7:00 AM - 5:30 PM, Friday 7:00 AM - 5:30 PM, Saturday 8:00 AM - 12:00 PM",,,
,,1959 saratoga blvd bld 32,,corpus christi,TX,78417-3415,US,(361)225-2262,,,"Sunday Closed - Closed, Monday 7:00 AM - 5:00 PM, Tuesday 7:00 AM - 5:00 PM, Wednesday 7:00 AM - 5:00 PM, Thursday 7:00 AM - 5:00 PM, Friday 7:00 AM - 5:00 PM, Saturday Closed - Closed",,,
