store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Von Maur at The Corners of Brookfield,,20111 Lord St,,Brookfield,WI,53045,United States,(262) 599-7090,,,"Mon  Sat: 10am  9pm, Sun: 11am  6pm",,,
Von Maur at The Greene Town Center,,100 Magnolia Lane,,Beavercreek,OH,45440,United States,(937) 431-8880,,,"Mon-Sat:	10am  9pm, Sun:	12pm  6pm",,,
Von Maur at Eden Prairie Center,,400 Prairie Center Drive,,Eden Prairie,MN,55344,United States,(952) 829-0200,,,"Mon-Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at Quail Springs Mall,,2501 W Memorial Rd,,Oklahoma City,OK,73134,United States,(405) 751-1424,,,"Mon-Sat:	10am  9pm, Sun:	12pm  6pm",,,
Von Maur at Briarwood Mall,,300 Briarwood Circle,,Ann Arbor,MI,48108,United States,(734) 622-0233,,,"Mon-Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at Laurel Park Place,,37500 6 Mile Road,,Livonia,MI,48152,United States,(734) 432-6949,,,"Mon  Sat:	10am  9pm, Sun:	12pm  6pm",,,
Von Maur at Oxmoor Center,,7900 Shelbyville Road,,Louisville,KY,40222,United States,(502) 425-7100,,,"Mon-Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at Towne East Square,,7700 East Kellogg Drive,,Wichita,KS,67207,United States,(316) 685-6100,,,"Mon-Sat:	10am  9pm, Sun:	12pm  6pm",,,
Von Maur at Westroads Mall,,10010 California Street,,Omaha,NE,68114,United States,(402) 390-0381,,,"Mon-Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at Corbin Park (Overland Park),,6701 West 135th Street,,Overland Park,KS,66223,United States,(913) 681-1031,,,"Mon-Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at Valley West Mall,,1551 Valley West Drive,,West Des Moines,IA,50266,United States,(515) 223-1311,,,"Mon-Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at NorthPark Mall,,320 West Kimberly Road,,Davenport,IA,52806,United States,(563) 386-0880,,,"Mon  Sat:	10am  9pm, Sun:	12pm  6pm",,,
Von Maur at Iowa River Landing,,115 Iowa River Landing Place,,Coralville,IA,52241,United States,(319) 351-7220,,,"Mon  Sat:	10am  9pm, Sun:	12pm  6pm",,,
Von Maur at Lindale Mall,,4444 1st Avenue NE,,Cedar Rapids,IA,52402,United States,(319) 395-9770,,,"Mon  Sat:	10am  9pm, Sun:	12pm  6pm",,,
Von Maur at College Square Mall,,6301 University Avenue,,Cedar Falls,IA,50613,United States,(319) 277-7490,,,"Mon-Fri:	10am - 9pm, Sat:	10am - 7pm, Sun:	12pm - 5pm",,,
Von Maur at Polaris Fashion Place,,1530 Polaris Parkway,,Columbus,OH,43240,United States,(614) 781-7855,,,"Mon-Sat:	10am  9pm, Sun:	12pm  6pm",,,
Von Maur at Castleton Square Mall,,6020 East 82nd Street,,Indianapolis,IN,46250,United States,(317) 594-1870,,,"Mon  Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at Greenwood Park Mall,,1251 US Highway 31 North,,Greenwood,IN,46142,United States,(317) 885-9936,,,"Mon  Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at Jefferson Pointe,,4202 West Jefferson Blvd,,Fort Wayne,IN,46804,United States,(260) 432-3244,,,"Mon  Sat:	10am  9pm, Sun:	12pm  5pm",,,
Von Maur at Charlestowne Mall,,3810 East Main Street,,St. Charles,IL,60174,United States,(630) 377-9987,,,"Mon  Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at The Shoppes at College Hills,,301 Veterans Parkway,,Normal,IL,61761,United States,(309) 454-2048,,,"Mon  Sat:	10am  9pm, Sun:	12pm  6pm",,,
Von Maur at The Meadows,,2 Fountain Grass Drive,,Lake St. Louis,MO,63367,United States,(636)561-7040,,,"Mon-Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at SouthPark Mall,,4500 16th Street,,Moline,IL,61265,United States,(309) 797-0575,,,"Mon  Sat:	10am  9pm, Sun:	12pm  5pm",,,
Von Maur at Yorktown Center,,145 Yorktown Shopping Center,,Lombard,IL,60148,United States,(630) 953-8181,,,"Mon  Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at The Glen Town Center,,1960 Tower Drive,,Glenview,IL,60026,United States,(847) 724-4199,,,"Mon  Sat:	10am  9pm, Sun:	11am  6pm",,,
Von Maur at Hickory Point Mall,,1350 Hickory Point Mall,,Forsyth,IL,62535,United States,(217) 877-2499,,,"Mon  Sat:	10am  9pm, Sun:	12pm  5pm",,,
Von Maur at Mall of Georgia,,3379 Buford Drive,,Buford,GA,30519,United States,(470) 777-3036,,,"Mon  Sat:	10am  9pm, Sun:	12pm  6pm",,,
Von Maur at Perimeter Mall,,4400 Ashford-Dunwoody Road,,Atlanta,GA,30346,United States,(770) 522-0468,,,"Mon  Sat:	10am  9pm, Sun:	12pm  7pm",,,
Von Maur at North Point Mall,,4000 North Point Circle,,Alpharetta,GA,30022,United States,(678) 339-9988,,,"Mon  Sat:	10am  9pm, Sun:	12pm  7pm",,,
Von Maur at Riverchase Galleria,,2400 Riverchase Galleria,,Hoover,AL,35244,United States,(205) 982-4337,,,"Mon  Sat:	10am  9pm, Sun:	12pm  6pm",,,
Von Maur at Eastview Mall,,300 Eastview Mall,,Victor,NY,14564,United States,(585) 223-3417,,,"Mon-Sat:	10am  9pm, Sun:	11pm  6pm",,,
Von Maur at SouthPointe Pavilions,,2900 Pine Lake Road,,Lincoln,NE,68516,United States,(402) 420-9100,,,"Mon-Sat:	10am  9pm, Sun:	12pm  6pm",,,
