store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Auburn,,1409-J College Street ,,Auburn ,AL,36832,United States,(334) 821-9464,,,Monday: 4 PM - Midnight Tuesday: 4 PM - Midnight Wednesday: 4 PM - Midnight Thursday: 4 PM - Midnight Friday: 11 AM - 1 AM Saturday: 11 AM - 1 AM Sunday: Noon - Midnight,,,
Wayne,,61 Berdan ,,Wayne ,NJ,07470,United States,(973) 832-4949,,,Monday: 11 AM - 10 PM Tuesday: 11 AM - 10 PM Wednesday: 11 AM - 10 PM Thursday: 11 AM - 10 PM Friday: 11 AM - 11 PM Saturday: 11 AM - 11 PM Sunday: 11 AM - 10 PM,,,
San Antonio - Culebra,,11019 Culebra Road Suite # 122 ,,San Antonio ,TX,78254,United States,(210) 680-9663,,,Monday: 11 AM - 11 PM Tuesday: 11 AM - 11 PM Wednesday: 11 AM - 11 PM Thursday: 11 AM - 11 PM Friday: 11 AM - Midnight Saturday: 11 AM - Midnight Sunday: 11 AM - 11 PM,,,
Oaklawn,,5713 95th Street ,,Oaklawn ,IL,60453,United States,(708) 423-4696,,,Monday: 11 AM - 10 PM Tuesday: 11 AM - 10 PM Wednesday: 11 AM - 10 PM Thursday: 11 AM - 10 PM Friday: 11 AM - 11 PM Saturday: 11 AM - 11 PM Sunday: 11 AM - 10 PM,,,
San Antonio - Marbach,,8223 Marbach Road Suite # 115 ,,San Antonio ,TX,78227,United States,(210) 769-6636,,,Monday: 11 AM - 11 PM Tuesday: 11 AM - 11 PM Wednesday: 11 AM - 11 PM Thursday: 11 AM - 11 PM Friday: 11 AM - Midnight Saturday: 11 AM - Midnight Sunday: 11 AM - 11 PM,,,
Chicago,,1757 87th Street ,,Chicago ,IL,60620,United States,(773) 233-9464,,,Monday: 11 AM - 11 PM Tuesday: 11 AM - 11 PM Wednesday: 11 AM - 11 PM Thursday: 11 AM - 11 PM Friday: 11 AM - 2 AM Saturday: 11 AM - 2 AM Sunday: 11 AM - 11 PM,,,
Bensenville,,"1047 York Rd G, ",,Bensenville ,IL,60106,United States,(630) 509-2357,,,Monday: 11 AM - 11 PM Tuesday: 11 AM - 11 PM Wednesday: 11 AM - 11 PM Thursday: 11 AM - 11 PM Friday: 10 AM - Midnight Saturday: 11 AM - Midnight Sunday: 11 AM - 10 PM,,,
Hampton,,1026 D Settlers Landing Road ,,Hampton ,VA,23667,United States,(757) 722-9464,,,Monday: 4 PM - Midnight Tuesday: 4 PM - Midnight Wednesday: 4 PM - Midnight Thursday: 11 AM - Midnight Friday: 11 AM - 2 AM Saturday: 11 AM - 2 AM Sunday: Noon - Midnight,,,
San Antonio - Austin Hwy,,1533 Austin Hwy Suite # 100 ,,San Antonio ,TX,78218,United States,(210) 832-8692,,,Monday: 11 AM - 11 PM Tuesday: 11 AM - 11 PM Wednesday: 11 AM - 11 PM Thursday: 11 AM - 11 PM Friday: 11 AM - 11 PM Saturday: 11 AM - 11 PM Sunday: 11 AM - 11 PM,,,
Berkeley,,5725 St Charles Road ,,Berkeley ,IL,60163,United States,(708) 544-2600,,,Monday: 11 AM - 10 PM Tuesday: 11 AM - 10 PM Wednesday: 11 AM - 10 PM Thursday: 11 AM - 10 PM Friday: 11 AM - 11 PM Saturday: 11 AM - 11 PM Sunday: 11 AM - 10 PM,,,
