store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Cartridge World - Conroe,,2200B I 45 ,,North Conroe ,TX,77301,United States,(936) 539-1080,30.335186,-95.476578,Mon - Fri: 9:00 am - 6 pm,,,0
Cartridge World - New Brunswick ,,863 Somerset St ,,Somerset ,NJ,08873,United States,(732) 246-7575,40.481923,-74.482639,"Mon - Fri: 10 am - 6 pm, Sat: 11 am - 3 pm",,,0
Cartridge World - Chandler,,3029 North Alma School Rd. ,,Chandler ,AZ,85224,United States,(480) 756-8615,33.351156,-111.85743,"Mon - Fri: 9 am - 6 pm, Sat: 10 am - 2 pm",,,0
Cartridge World - Somerset,,120 Cedar Grove Lane ,,Somerset ,NJ,08873,United States,(732) 384-4411,40.522554,-74.520168,"Mon - Fri: 9.30 am - 6.30 pm, Sat: 10.30 am - 3:30 pm",,,0
Cartridge World - Mesa,,1155 South Power Road ,,Mesa ,AZ,85206,United States,(480) 854-3080,33.394607,-111.683508,"Mon - Fri: 9 am - 6 pm, Sat: 10 am - 3 pm",,,0
Cartridge World - Phoenix,,749 E Bell Rd ,,Phoenix ,AZ,85022,United States,(602) 298-5100,33.639068,-112.063236,"Mon - Fri: 9 am - 6 pm, Sat: 10 am - 3 pm",,,0
Cartridge World - Tucson,,7292 N Oracle Road ,,Tucson ,AZ,85704,United States,(520) 544-4646,32.339137,-110.9765,"Mon - Fri: 8 am - 6 pm, Sat: 10 am - 4 pm",,,0
Cartridge World - Rancho Cordova,,11170 Sun Center Drive 200 ,,Rancho Cordova ,CA,95670,United States,(916) 859-0961,38.596462,-121.268255,"Mon - Fri: 9:00 am - 5:00 pm, Sat-Sun: Closed",,,0
Cartridge World - Scottsdale,,14884 N Pima Rd ,,Scottsdale ,AZ,85260,United States,(480) 443-4465,33.61961,-111.892211,"Mon - Thu: 9 am - 6 pm, Fri: 9 am - 5pm, Sat : 10 am - 4 pm",,,0
Cartridge World - Edmond,,1704 South Broadway ,,Edmond ,OK,73013,United States,(405) 359-8765,35.636387,-97.482827,Mon - Fri: 9 am - 6 pm,,,0
Cartridge World - Raleigh,,6325 Falls of Neuse Rd ,,Raleigh ,NC,27615,United States,(919) 872-8072,35.868723,-78.620986,"Mon - Thu: 10 am - 6 pm, Fri: 10 am - 5 pm, Sat: 10 am - 2 pm",,,0
Cartridge World - Lima,,2100 Harding Highway ,,Lima ,OH,45804,United States,(419) 999-9276,40.728934,-84.067061,"Mon - Fri: 9 am - 6 pm, Sat: 10-2",,,0
Cartridge World - Durham Near Southpoint,,105 West NC Highway 54 Suite 281 ,,Durham ,NC,27713,United States,(919) 806-0500,35.910697,-78.934912,"Mon - Fri: 9 am - 6 pm, Sat: 10 am - 5 pm",,,0
