store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Bambootique,,318 Bay Walk ,,Ocean Beach ,NY,11770,United States,,,,,,,
Meringue & Sutton Place,,3030 Jericho Turnpike ,,East Northport ,NY,11731,United States,,,,,,,
Country Village Chemists,,227-229 East Main Street ,,Huntington ,NY,11743,United States,,,,,,,
Pink Link,,310 New York Avenue ,,Huntington ,NY,11743,United States,,,,,,,
Signature Gifts & Monograms,,147-G Woodbury Road ,,Huntington ,NY,11743,United States,,,,,,,
Cold Spring Country Club,,22 East Gate Drive ,,Huntington ,NY,11743,United States,,,,,,,
Mustique,,110 Main Street ,,Westhampton Beach ,NY,11978,United States,,,,,,,
shock,,115 Main street ,,Westhampton Beach ,NY,11978,United States,,,,,,,
Pashley Childrens Boutique,,169 Main Street ,,Cold Spring Harbor ,NY,11724,United States,,,,,,,
Living   /  Samhall,,117 Main Street ,,Cold Spring Harbor ,NY,11724,United States,,,,,,,
Sandy B Design,,33 Middle Hollow Road ,,Lloyd Harbor ,NY,11743,United States,,,,,,,
Lily Pad (The),,130 Jessup Avenue Home:11 ,,Willow Lane/Quogue Quogue ,NY,11959,United States,,,,,,,
Snappy Gator,,1438 Post Road ,,Fairfield ,CT,06824,United States,,,,,,,
"Island Outfitters - Fairfield, Ct",,1189 Post Road ,,Fairfield ,CT,06824-6046,United States,,,,,,,
Mama Janes,,363 Pequot Ave ,,Southport ,CT,06890,United States,,,,,,,
Fairfield Women's Exchange,,332 Pequot Avenue ,,Southport ,CT,06890,United States,,,,,,,
Rex & Cove,,48 Calf Pasture Beach Road ,,East Norwalk ,CT,06855,United States,,,,,,,
Wendy Mount,,14 Knollwood Dr. ,,Fairfield ,CT,06824,United States,,,,,,,
Sophie Claire's,,22 Broad Street ,,at Harbor Walk Milford ,CT,06460,United States,,,,,,,
Everything is Rosey,,1072 Post Rd. ,,Darien ,CT,06820,United States,,,,,,,
Darien Sport Shop,,1127 Post Road ,,Darien ,CT,06820,United States,,,,,,,
Birch Lifestyle,,28 Birch Hill Road ,,Locust Valley ,NY,11560,United States,,,,,,,
Coccolarsi,,12 Birch Hill Rd ,,Locust Valley ,NY,11560,United States,,,,,,,
Le Petit Zebra,,27 Forest Lane ,,Locust Valley ,NY,11560,United States,,,,,,,
The Creek,,1 Horse Hollow Road ,,Locust Valley ,NY,11560,United States,,,,,,,
Ritz Carlton - Key Biscayne,,455 Grand Bay Drive ,,Key Biscayne ,FL,33149,United States,,,,,,,
Palm Produce Resortwear - Key Biscayne,,328 Crandon Blvd # 113 ,,Key Biscayne ,FL,33149,United States,,,,,,,
Casting Boutique,,260 Crandon Blvd. Suite 41 ,,Key Biscayne ,FL,33149,United States,,,,,,,
Babalu,,1121 Lincoln Rd ,,Miami Beach ,FL,33139,United States,,,,,,,
Four Seasons Miami,,1435 Brickell Avenue Attn: Accents Boutique Lamonts # 644 ,,Miami ,FL,33131,United States,,,,,,,
Vizcaya Museum Gift Shop,,3251 S. Miami Avenue ,,Miami ,FL,33129,United States,,,,,,,
Voguette.com,,1541 Brickell Avenue # 3702 1110 BRICKELL AVE STE 806 ,,SHIP TO MIAMI Miami ,FL,33129,United States,,,,,,,
Lesley Invitations Stationary,,1767 Micanopy Ave ,,Miami ,FL,33133,United States,,,,,,,
Ritz-Carlton,,2675 South Bayshore Drive ,,Coconut Grove ,FL,33133,United States,,,,,,,
NUE STUDIO,,3470 East Coast Avenue Suite 113 ,,Miami ,FL,33137,United States,,,,,,,
Detail de Luxe,,10250 Old Cutler Rd. ,,Coral Gables ,FL,33156,United States,,,,,,,
Two Cute Boutique,,1 Alhambra Plaza Suite 1130 ,,Coral Gables ,FL,33134,United States,,,,,,,
Nautica Design Gallery,,5900 SW 73rd Street Suite 101 ,,South Miami ,FL,33143,United States,,,,,,,
Stitching Around,,4862 SW 72nd Avenue ,,Miami ,FL,33155,United States,,,,,,,
Essentials Boutique,,1350 SE 17th Street ,,Fort Lauderdale ,FL,33316,United States,,,,,,,
Lauderdale Diver,,1334 Southeast 17th Street ,,Ft. Lauderdale ,FL,33316,United States,,,,,,,
Charlie's Locker,,1865 Cordova Road Ft ,,Lauderdale ,FL,33316,United States,,,,,,,
Fashion Consul,,1673 NW 79th Ave ,,Miami ,FL,33126,United States,,,,,,,
FlipFlopZone,,1845 Cordova Road Suite 210 ,,Fort Lauderdale ,FL,33316,United States,,,,,,,
Hello Gorgeous!,,1829 Cordova Road ,,The Harbour Shops Fort Lauderdale ,FL,33316,United State
