store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
2nd Wind Exercise Equipment - Gilbert,,1555 N Gilbert Road,,Gilbert,Arizona,,United States,480.497.4129,33.37842200,-111.78781100,"Sun: 11:00 am - 5:00 pm, Mon: 10:00 am - 8:00 pm, Tue: 10:00 am - 8:00 pm, Wed: 10:00 am - 8:00 pm, Thur: 10:00 am - 8:00 pm, Fri: 10:00 am - 8:00 pm, Sat: 10:00 am - 7:00 pm",,,
2nd Wind Exercise Equipment - Coralville,,2439 2nd Street,,Coralville,Iowa,,United States,319.339.4555,41.68510100,-91.60131800,"Sun: 11:00 am - 5:00 pm, Mon: 10:00 am - 8:00 pm, Tue: 10:00 am - 8:00 pm, Wed: 10:00 am - 8:00 pm, Thur: 10:00 am - 8:00 pm, Fri: 10:00 am - 8:00 pm, Sat: 10:00 am - 7:00 pm",,,
2nd Wind Exercise Equipment - Coon Rapids,,3187 Northdale Blvd,,Coon Rapids,Minnesota,,United States,763.576.6900,45.19624300,-93.34668000,"Sun: 11:00 am - 5:00 pm, Mon: 10:00 am - 8:00 pm, Tue: 10:00 am - 8:00 pm, Wed: 10:00 am - 8:00 pm, Thur: 10:00 am - 8:00 pm, Fri: 10:00 am - 8:00 pm, Sat: 10:00 am - 7:00 pm",,,
2nd Wind Exercise Equipment - Fargo,,5050 13th Ave SW,,Fargo,North Dakota,,United States,701.373.8200,46.86141981,-96.87126361,"Sun: 11:00 am - 5:00 pm, Mon: 10:00 am - 8:00 pm, Tue: 10:00 am - 8:00 pm, Wed: 10:00 am - 8:00 pm, Thur: 10:00 am - 8:00 pm, Fri: 10:00 am - 8:00 pm, Sat: 10:00 am - 7:00 pm",,,
2nd Wind Exercise Equipment -  Corporate Headquarters,,7585 Equitable Dr,,Eden Prairie,Minnesota,,United States,(952) 544-5249,44.86609600,-93.45317100,"Sun: Closed, Mon: 8:00 am - 5:00 pm, Tue: 8:00 am - 5:00 pm, Wed: 8:00 am - 5:00 pm, Thur: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm, Sat: Closed",,,
2nd Wind Exercise Equipment - Davenport,,2826 E. 53rd St.,,Davenport,Iowa,,United States,563.355.4700,41.57488300,-90.53099100,"Sun: 11:00 am - 5:00 pm, Mon: 10:00 am - 8:00 pm, Tue: 10:00 am - 8:00 pm, Wed: 10:00 am - 8:00 pm, Thur: 10:00 am - 8:00 pm, Fri: 10:00 am - 8:00 pm, Sat: 10:00 am - 7:00 pm",,,
2nd Wind Exercise Equipment - Des Peres,,13275 Manchester Rd.,,Des Peres,Missouri,,United States,314.966.8415,38.60235200,-90.46573600,"Sun: 11:00 am - 5:00 pm, Mon: 10:00 am - 8:00 pm, Tue: 10:00 am - 8:00 pm, Wed: 10:00 am - 8:00 pm, Thur: 10:00 am - 8:00 pm, Fri: 10:00 am - 8:00 pm, Sat: 10:00 am - 7:00 pm",,,
2nd Wind Exercise Equipment - Edina,,7441 France Ave.,,Edina,Minnesota,,United States,952.844.9030,44.86819100,-93.32876600,"Sun: 11:00 am - 5:00 pm, Mon: 10:00 am - 8:00 pm, Tue: 10:00 am - 8:00 pm, Wed: 10:00 am - 8:00 pm, Thur: 10:00 am - 8:00 pm, Fri: 10:00 am - 8:00 pm, Sat: 10:00 am - 7:00 pm",,,
2nd Wind Exercise Equipment - Edmond,,3209 South Broadway Suite 131,,Edmond,Oklahoma,,United States,405.340.5522,35.62469500,-97.48737300,"Sun: 11:00 am - 5:00 pm, Mon: 10:00 am - 8:00 pm, Tue: 10:00 am - 8:00 pm, Wed: 10:00 am - 8:00 pm, Thur: 10:00 am - 8:00 pm, Fri: 10:00 am - 8:00 pm, Sat: 10:00 am - 7:00 pm",,,
2nd Wind Exercise Equipment - Columbia,,2703 East Broadway,,Columbia,Missouri,,United States,573.442.0133,38.94726900,-92.29656200,"Sun: 11:00 am - 5:00 pm, Mon: 10:00 am - 8:00 pm, Tue: 10:00 am - 8:00 pm, Wed: 10:00 am - 8:00 pm, Thur: 10:00 am - 8:00 pm, Fri: 10:00 am - 8:00 pm, Sat: 10:00 am - 7:00 pm",,,
2nd Wind Exercise Equipment - Chanhassen,,438 Pond Promenade,,Chanhassen,Minnesota,,United States,952.380.4849,44.85818900,-93.53156300,"Sun: 11:00 am - 5:00 pm, Mon: 10:00 am - 8:00 pm, Tue: 10:00 am - 8:00 pm, Wed: 10:00 am - 8:00 pm, Thur: 10:00 am - 8:00 pm, Fri: 10:00 am - 8:00 pm, Sat: 10:00 am - 7:00 pm",,,
2nd Wind Exercise Equipment - Chandler,,1055 S. Arizona Ave.,,Chandler,Arizona,,United States,480.899.0027,33.29039000,-111.84091200,"Sun: 11:00 am - 5:00 pm, Mon: 10:00 am - 8:00 pm, Tue: 10:00 am - 8:00 pm, Wed: 10:00 am - 8:00 pm, Thur: 10:00 am - 8:00 pm, Fri: 10:00 am - 8:00 pm, Sat: 10:00 am - 7:00 pm",,,
