store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,2807 Outer Dr,,Marion,IL,62959,United States,(618) 993-1983,,,"Monday        10:00am - 10:00pm, Tuesday       10:00am - 10:00pm, Wednesday  10:00am - 10:00pm, Thursday      10:00am - 10:00pm, Friday           10:00am - 10:00pm, Saturday       10:00am - 10:00pm, Sunday         10:00am - 9:00pm",,,
,,1425 TN-96,,Fairview,TN,37062,United States,(615) 799-2016,,,"Monday        10:00am - 10:00pm, Tuesday       10:00am - 10:00pm, Wednesday  10:00am - 10:00pm, Thursday      10:00am - 10:00pm, Friday           10:00am - 10:00pm, Saturday       10:00am - 10:00pm, Sunday         10:00am - 10:00pm",,,
,,2314 Lone Oak Rd,,Paducah,KY,42003,United States,(270) 554-8682,,,"Monday        10:30am - 9:00pm, Tuesday       10:30am - 9:00pm, Wednesday  10:30am - 9:00pm, Thursday      10:30am - 9:00pm, Friday           10:30am - 10:00pm, Saturday       10:30am - 10:00pm, Sunday         10:30am - 9:00pm",,,
,,1800 Priority Way,,Louisville,KY,40299,United States,(502) 240-9945,,,"Monday        10:30am - 10:00pm, Tuesday       10:30am - 10:00pm, Wednesday  10:30am - 10:00pm, Thursday      10:30am - 10:00pm, Friday           10:30am - 10:00pm, Saturday       10:30am - 10:00pm, Sunday         10:30am - 9:00pm",,,
,,James Sanders Blvd,,Paducah,KY,42001,United States,(270) 759-4433,,,"Monday        10:30am - 9:00pm, Tuesday       10:30am - 9:00pm, Wednesday  10:30am - 9:00pm, Thursday      10:30am - 9:00pm, Friday           10:30am - 10:00pm, Saturday       10:30am - 10:00pm, Sunday         10:30am - 9:00pm",,,
,,801 Paramount Dr,,Murray,KY,42071,United States,(270) 759-2480,,,"Monday        10:30am - 9:00pm, Tuesday       10:30am - 9:00pm, Wednesday  10:30am - 9:00pm, Thursday      10:30am - 9:00pm, Friday           10:30am - 9:00pm, Saturday       10:30am - 9:00pm, Sunday         10:30am - 9:00pm",,,
,,1711 Galleria Blvd,,Franklin,TN,37067,United States,(615) 771-2006,,,"Monday        10:00am - 10:00pm, Tuesday       10:00am - 10:00pm, Wednesday  10:00am - 10:00pm, Thursday      10:00am - 10:00pm, Friday           10:00am - 11:00pm, Saturday       10:00am - 11:00pm, Sunday         10:00am - 10:00pm",,,
,,5004 Maryland Way,,Brentwood,TN,37027,United States,(615) 371-8145,,,"Monday        10:30am - 9:00pm, Tuesday       10:30am - 9:00pm, Wednesday  10:30am - 9:00pm, Thursday      10:30am - 9:00pm, Friday           10:30am - 10:00pm, Saturday       10:30am - 10:00pm, Sunday         10:30am - 9:00pm",,,
,,2744 Elm Hill Pike,,Nashville,TN,37214,United States,(615) 391-3555,,,Our Elm Hill Pike restaurant is temporarily closed.,,,
,,525 US-27,,Somerset,KY,42503,United States,(606) 677-9273,,,"Monday        10:30am - 9:00pm, Tuesday       10:30am - 9:00pm, Wednesday  10:30am - 9:00pm, Thursday      10:30am - 9:00pm, Friday           10:30am - 10:00pm, Saturday       10:30am - 10:00pm, Sunday         10:30am - 9:00pm",,,
