store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Ahwatukee,,5009 East Ray Road,50th & Ray Road,Phoenix,AZ,85044,United States,480-753-1750,,,"Monday - Saturday 10 a.m. - 8 p.m. , Sunday 11 a.m. - 6 p.m. ",,,
Ft. Worth,,"4601 West Freeway, Ste 310",Hwy I-30 & Hulen,Ft. Worth,TX,76107,United States,817-569-7704,,,"Monday - Saturday 8 a.m. - 9 p.m. , Sunday 10 a.m. - 6 p.m. ",,,
Willowbrook,,"17395 Tomball Pkwy, Bldg 3A",Hwy 249 & Gessner,Houston,TX,77064,United States,281-894-5662,,,"Monday - Saturday 10 a.m. - 8 p.m. , Sunday 12 p.m. - 6 p.m. ",,,
Katy,,1330 Fry Road,Fry & Park,Houston,TX,77084,United States,281-492-6601,,,"Monday - Saturday 10 a.m. - 8 p.m. , Sunday 12 p.m. - 6 p.m. ",,,
Southlake,,"1041 E. Southlake Blvd., Suite 100",,Southlake,TX,76092,United States,817-912-5800,,,Monday - Saturday 10 a.m. - 9 p.m. Sunday 11 a.m. - 6 p.m. ,,,
Plano,,6125 W Park Blvd,Dallas Tollway & Park,Plano,TX,75093,United States,972-473-7771,,,"Monday - Saturday 8 a.m. - 9 p.m. , Sunday 10 a.m. - 6 p.m. ",,,
Watauga,,"7600 Denton Highway, Suite 100",South of North Tarrant Pkwy,Watauga,TX,76148,United States,817-581-6977,,,"Monday - Saturday 8 a.m. - 9 p.m. , Sunday 10 a.m. - 6 p.m. ",,,
Waco,,2325 Marketplace Drive,West End of Central Texas Marketplace,Waco,TX,76711,United States,254-662-2333,,,"Monday - Saturday 8 a.m. - 9 p.m. , Sunday 10 a.m. - 6 p.m. ",,,
Tyler,,8942 S. Broadway Avenue,Suite 162,Tyler,TX,75703,United States,903-525-6776,,,Monday - Saturday 10 a.m. - 9 p.m.Sunday 11 a.m. - 6 p.m. ,,,
Frisco,,"3211 Preston Road, Suite 16",Preston & Gaylord,Frisco,TX,75034,United States,972-668-4290,,,"Monday - Saturday 8 a.m. - 9 p.m. , Sunday 10 a.m. - 6 p.m. ",,,
Clearlake,,575 West Bay Area Blvd,Bay Area Blvd,Webster,TX,77598,United States,281-338-5555,,,"Monday - Saturday 10 a.m. - 8 p.m. , Sunday 12 p.m. - 6 p.m. ",,,
Addison,,5100 Belt Line Road,Suite 852,Addison,TX,75254,United States,469-828-2070,,,Monday - Saturday 10 a.m. - 9 p.m. Sunday 11 a.m. - 6 p.m. ,,,
Penn & Memorial,,13820 N. Pennsylvania Avenue,On the N.E. Corner of Pennsylvania and Memorial,Oklahoma City,OK,73134,United States,405-749-7873,,,"Monday - Saturday 8 a.m. - 9 p.m. , Sunday 10 a.m. - 6 p.m. ",,,
Northwest Oklahoma City,,9417 N. Council,On the S.W. corner of N.W. Highway and Council Road,Oklahoma City,OK,73162,United States,405-721-4550,,,"Monday - Saturday 8 a.m. - 9 p.m. , Sunday 10 a.m. - 6 p.m. ",,,
Lawton,,2006 NW 82nd Street,,Lawton,OK,73505,United States,580-215-5670,,,Monday - Saturday 10 a.m. - 9 p.m. Sunday 11 a.m. - 6 p.m. ,,,
Crocker Park,,87 Main Street,,Westlake,OH,44145,United States,440-401-2280,,,"Monday - Saturday 10 a.m. - 9 p.m. , Sunday 11 a.m. - 6 p.m. ",,,
Columbus,,4202 Easton Gateway Drive,,Columbus,OH,43219,United States,614-470-5770,,,Monday-Saturday 10 a.m. - 9 p.m. Sunday 11 a.m. - 6 p.m. ,,,
Birkdale,,"8830 Lindholm Drive, Ste. 100",Lindholm Dr & Sam Furr Rd,Huntersville,NC,28078,United States,704-655-2112,,,"Monday - Saturday 10 a.m. - 9 p.m. , Sunday 12 p.m. - 6 p.m. ",,,
