store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
HALIFAX SHOPPING CENTRE,,7001 Mumford Road,,Halifax,NS,B3L 2H8,Canada,902-454-7605,,,Mon-Sat 9:30 am to 9:00 pm,,,
RUE STE-CATHERINE,,1191 rue Sainte-Catherine O,,Montreal,QC,H3B 1K4,Canada,514-987-1206,,,"Mon-Tue 10:00 am to 6:00 pm, Wed-Fri 10:00 am to 9:00 pm, Sat 10:00 am to 7:00 pm",,,
PLACE VILLE-MARIE,,1 Place Ville Marie,,Montreal,QC,H3B 3Y1,Canada,514-861-8925,,,"Mon-Wed 9:30 am to 6:00 pm, Thur-Fri 9:30 am to 9:00 pm, Sat 9:30 am to 5:00 pm",,,
CENTRE ROCKLAND,,2305 Rockland,,Town of Mont-Royal,QC,H3P 3E9,Canada,514-738-0339,,,"Mon-Tue 10:00 am to 6:00 pm, Wed-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
GALERIES D'ANJOU,,7999 boul. des Galeries d'Anjou,,Montreal,QC,H1M 1W9,Canada,514-353-6980,,,"Mon-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
FAIRVIEW POINTE-CLAIRE,,6801 Aut. Trans-Canadienne,,Pointe-Claire,QC,H3R 5J2,Canada,514-695-4931,,,"Mon-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
FAIRVIEW POINTE-CLAIRE,,6801 Aut. Trans-Canadienne,,Pointe-Claire,QC,H3R 5J2,Canada,514-695-9255,,,"Mon-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
PLACE-VERTU,,3131 boul. de la Cote-Vertu,,Saint-Laurent,QC,H4R 1Y8,Canada,514-336-6267,,,"Mon-Tue 10:00 am to 6:00 pm, Wed-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
QUARTIER DIX30,,9200 boul. Leduc,,Brossard,QC,J4Y 0L1,Canada,450-462-3103,,,"Mon-Tue 10:00 am to 6:00 pm, Wed-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
QUARTIER DIX30,,9405 boul. Leduc,,Brossard,QC,J4Y 0A5,Canada,450-462-7717,,,"Mon-Tue 10:00 am to 6:00 pm, Wed-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
PROMENADES ST-BRUNO,,301 boul. des Promenades,,Saint-Bruno-de-Montarville,QC,J3V 6A7,Canada,450-441-9010,,,"Mon-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
PROMENADES ST-BRUNO,,301 boul. des Promenades,,Saint-Bruno-de-Montarville,QC,J3V 6A7,Canada,450-653-6344,,,"Mon-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
MAIL CHAMPLAIN,,2151 boul. Lapiniere,,Brossard,QC,J4W 2T5,Canada,450-671-3531,,,"Mon-Tue 10:00 am to 6:00 pm, Wed-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
PLACE ROSEMERE,,401 boul. Labelle,,Rosemere,QC,J7A 3T2,Canada,450-430-2748,,,"Mon-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
CARREFOUR LAVAL,,3035 boul. le Carrefour,,Laval,QC,H7T 1C8,Canada,450-681-4924,,,"Mon-Fri 10:00 am to 9:00 pm, Sat 9:00 am to 5:00 pm",,,
