store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Modesto, CA",,"3020 Floyd Ave., #601",,Modesto,CA,95355,United States,209-551-9464,,,"Sunday through Thursday: 11am-11pm, Friday & Saturday: 11am-midnight",,,0
"Rancho Cucamonga, CA",,12375 Baseline Road,,Rancho Cucamonga,CA,91739,United States,909-463-1300,,,"Sun: 11am - 10pm (open at 9:30 during NFL season), Mon: 11am - 10pm, Tues - Thurs: 11am - 11pm, Fri & Sat: 11 am - 12 am",,,0
"Fort Myers, FL",,Address Coming Soon,,Fort Myers,FL,33900,United States,,,,,,,1
"Fort Walton Beach, FL",,402 Mary Esther Cut Off,,Fort Walton Beach,FL,32548,United States,850-737-2300,,,"Monday - Thursday: 11am - 11pm, Friday - Saturday: 11am - 12am, Sunday 11am - 10pm",,,0
"North Port, FL",,1081 W Price Blvd,,North Port,FL,34288,United States,941-257-2100,,,"Sunday - Thursday: 11am - 11pm, Friday & Saturday: 11am - 1am",,,0
"Port Charlotte, FL",,1020 El Jobean Rd,,Port Charlotte,FL,33948,United States,941235-9464,,,"Sunday - Thursday: 11am - 11pm, Friday & Saturday: 11am - 1am",,,0
"Chicago, IL",,3434 S. Halsted St.,,Chicago,IL,60608,United States,773-579-9464,,,"Monday - Thursday: 11am-1am, Friday - Saturday: 11am-2am, Sunday: 11am-12am, *Kitchen closes one hour prior to closing time",,,0
"Crystal Lake, IL",,1520 Carlemont Drive,,Crystal Lake,IL,60014,United States,815-788-WING (9464),,,,,,0
"Naperville, IL",,1279 Rickert Drive,,Naperville,IL,60540,United States,630-548-5021,,,"Sunday through Thursday: 11am-11pm, Friday & Saturday: 11am-12am",,,0
"Bedford, IN",,3230 John William Blvd,,Bedford,IN,47421,United States,812-279-2833,,,"Sunday through Thursday: 11am-11pm, Friday & Saturday: 11am-midnight",,,0
"Greendale, IN",,1607 Flossie Dr,,Greendale,IN,47025,United States,812-512-9464,,,"Sunday - Thursday: 11:00am - 11:00pm, Friday & Saturday: 11:00am - 1:00am",,,0
"Greensburg, IN",,905 W. Ann Blvd,,Greensburg,IN,47240,United States,812-222-9464,,,"Sunday through Thursday: 11am-11pm, Friday & Saturday: 11am-Midnight",,,0
"Jasper, IN",,1910 Hospitality Drive,,Jasper,IN,47546,United States,812-482-9464,,,"Sunday through Thursday: 11am-11pm, Friday & Saturday: 11am-midnight",,,0
"Portland, IN",,1204 W. Votaw Street,,Portland,IN,47371,United States,260-726-9647,,,"Sunday through Thursday: 11am-11pm, Friday & Saturday: 11am-midnight",,,0
