store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Coco&#8217s Bakery,230,1100 West Katella Avenue,,Anaheim,CA,92802,United States,714-772-0414,33.802624,-117.924849, Sun  Thu: 6:30am  12:00a,,,
Coco&#8217s Bakery,234,1150 West Colorado Boulevard,,Arcadia,CA,91006,United States,626-446-5611,34.147541,-118.066977, Mon  Thu: 6:30am  10:00pm Fri  Sat: 6:30am  11:00p,,,
Coco&#8217s Bakery,266,7985 Rosedale Highway,,Bakersfield,CA,93308,United States,661-587-6487,35.383065,-119.090981, Mon  Thu: 6:00am  9:30pm Fri: 6:30am  10:00p,,,
Coco&#8217s Bakery,222,1250 East Imperial Highway,,Brea,CA,92821,United States,714-990-0672,33.910893,-117.886978,,,,
Coco&#8217s Bakery,210,"Building 20845, Suite #112",,Camp Pendleton,CA,92055,United States,760-430-5049,33.4209,-117.432,,,,
Coco&#8217s Bakery,276,150 East Hamilton Avenue,,Campbell,CA,95008,United States,408-866-5377,37.293934,-121.947215, Mon  Thu: 6:00am  Midnight Fri  Sat: 6:00am  3:00a,,,
Coco&#8217s Bakery,250,16526 Soledad Canyon,,Canyon Country,CA,91351,United States,661-251-7725,34.426654,-118.425469, Mon  Thu: 6:30am  10:00pm Fri  Sat: 6:30am  11:00p,,,
Coco&#8217s Bakery,242,11510 East South Street,,Cerritos,CA,90701,United States,562-924-9487,33.858063,-118.088442, Mon  Fri: 6:30am  10:00p,,,
Coco&#8217s Bakery,272,7887 Madison Avenue,,Citrus Heights,CA,95610,United States,916-966-0707,38.664323,-121.273136,,,,
Coco&#8217s Bakery,236,2750 Harbor Boulevard,,Costa Mesa,CA,92626,United States,714-549-1289,33.672128,-117.918569, Mon  Fri: 6:30am  10:00p,,,
Coco&#8217s Bakery,218,306 North Azusa,,Covina,CA,91722,United States,626-331-0955,34.087771,-117.907392, Mon  Thu: 6:30am  10:00pm Fri  Sat: 6:30am  11:00p,,,
Coco&#8217s Bakery,258,5350 Sepulveda Boulevard,,Culver City,CA,90230,United States,310-397-7165,33.996912,-118.39606, Mon  Thu: 6:00am  11:00pm Fri  Sat: 6:00am  Midnigh,,,
Coco&#8217s Bakery,244,7900 Florence Avenue,,Downey,CA,90240,United States,562-927-6713,33.954294,-118.132076, Mon  Fri: 6:00am  10:00p,,,
Coco&#8217s Bakery,196,1280 West Valley Parkway,,Escondido,CA,92029,United States,760-745-2513,33.114753,-117.100982, Sun  Thur: 6:00am  10:00p,,,
Coco&#8217s Bakery,30,360 West Forest Meadows Street,,Flagstaff,AZ,86001,United States,928-774-8886,35.179467,-111.662652, Mon  Thu: 6:30am  9:30pm Fri  Sat: 6:30am  10:00p,,,
