store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Coffee & Bagels,8624,DFW Airport - Terminal C6,,Dallas,TX,75261,US,1-888-227-4268,32.891330719,-97.039604187,,,,1
Coffee & Bagels,3565,30-32 North Tejon St.,,Colorado Springs,CO,80903,US,719-445-4795,38.83517554,-104.8237875,,,,
Coffee & Bagels,3550,1706 E Woodman Rd,,Colorado Springs,CO,80920,US,719-265-8610,38.93301172,-104.7937541,,,,
Coffee & Bagels,3605,3993 Limelight Av,,Castle Rock,CO,80109,US,303-802-8589,39.4027987,-104.8826885,,,,
Coffee & Bagels,1354,7120 E County Line Road,,Highlands Ranch,CO,80126,US,303-779-0756,39.565559,-104.905258,,,,
Coffee & Bagels,3350,16495 East 40th Cr.,,Aurora,CO,8011,US,303-307-1234,39.77255892,-104.7971857,,,,
Coffee & Bagels,3656,300 East Alameda Ave,,Denver,CO,80209,US,303 722-9400,39.71069336,-104.9834213,,,,
Coffee & Bagels,1356,120 Wadsworth Blvd,,Lakewood,CO,80226,US,303 232-3922,39.7191162109,-105.080924988,,,,
Coffee & Bagels,1361,14315 Orchard Parkway,Suite 600,Westminster,CO,80023,US,720-214-7987,39.9562637,-104.9941621,,,,
Coffee & Bagels,3331,1693 28th St,,Boulder,CO,80302,US,720 565-0413,40.01687877,-105.2585138,,,,
Coffee & Bagels,1327,5901 Mills Civic Parkway,,West Des Moines,IA,50266,US,515-225-1219,41.56008186,-93.78689155,,,,
Coffee & Bagels,3584,104th E 29th Street,#A,Loveland,CO,80538,US,970 612-4000,40.421279,-105.076416,,,,
Coffee & Bagels,1347,11895 Hickman Road,,Urbandale,IA,50323,US,515-334-7474,41.6157556827,-93.7838950427,,,,
Coffee & Bagels,1322,4200 South Louise,Suite 1000,Sioux Falls,SD,57106-3145,US,602 271-4004,43.507091,-96.770523,,,,
Coffee & Bagels,1328,2404 West 41st. St.,,Sioux Falls,SD,57105,US,605-332-5321,43.51511344,-96.75507004,,,,
Coffee & Bagels,1341,2300 S Minnesota Ave,,Sioux Falls,SD,57101,US,605-271-0687,43.52376,-96.7308,,,,
Coffee & Bagels,1333,1620 South Burr St,,Mitchell,SD,57301,US,605-292-0206,43.693645,-98.012726,,,,
Coffee & Bagels,1313,3501 E. 10th St.,,Sioux Falls,SD,57103,US,605-275-2326,43.546203,-96.683425,,,,
Coffee & Bagels,1349,2825 Crossroads Blvd,,Waterloo,IA,50701,US,319-234-4406,42.4641151428,-92.3245010376,,,,
Coffee & Bagels,1324,2101 4th street SW,,Mason City,IA,50401,US,641 201-1047,43.14683551,-93.23320079,,,,
Coffee & Bagels,1339,1416 East College Dr,,Marshall,MN,56258,US,(507) 532-1006,44.4500885,-95.76232147,,,,
Coffee & Bagels,1365,902 Mount Rushmore,,Rapid City,SD,57701,US,605-341-3266,44.0769577026,-103.231651306,,,,
Coffee & Bagels,1346,1580 Madison Ave,,Mankato,MN,56001-5442,US,507-345-3680,44.1673126221,-93.9648132324,,,,
Coffee & Bagels,1366,800 Wacker Drive,,Dubuque,IA,52002-5224,US,1-888-227-4268,42.4929733276,-90.719291687,,,,1
Coffee & Bagels,1325,1930 36th Ave NW,,Rochester,MN,55901,US,507-281-7975,44.04409021,-92.51732759,,,,
Coffee & Bagels,1352,1603 Broadway Ave. N,,Rochester,MN,55906,US,507-289-2764,44.0391435474,-92.4620720744,,,,
Coffee & Bagels,1380,17830 Kenwood Trail,,Lakeville,MN,55044,US,1-888-227-4268,44.68995285,-93.28116608,,,,1
Coffee & Bagels,1340,8360 Hansen Ave,,Shakopee,MN,55379,US,952-403-5144,44.7766370326,-93.4024136513,,,,
Coffee & Bagels,1343,5125 Edina Industrial Blvd.,Suite 1000,Edina,MN,55439,US,952-831-9230,44.8634295691,-93.354059386,,,,
Coffee & Bagels,8589,175 West Mark Street,,Winona,MN,55987,US,1-888-227-4268,44.0454744116,-91.6440372177,,,,
Coffee & Bagels,1321,6545 Lyndale Ave. S.,,Richfield,MN,55423,US,612-861-0283,44.88380188,-93.28575691,,,,
Coffee & Bagels,1320,3405 Promenade Ave.,,Eagan,MN,55122,US,651-452-2343,44.83499244,-93.15330142,,,,
Coffee & Bagels,1358,1700 Plymouth Road,,Minnetonka,MN,55305,US,952 546-1128,44.9674339294,-93.4435195923,,,,
Coffee & Bagels,1330,701 3rd Ave NE,,Buffalo,MN,55313,US,763-682-7047,45.179695,-93.87285,,,,
Coffee & Bagels,1344,1100 Nicollet Mall,,Minneapolis,MN,55403,US,612-338-0767,44.97295215,-93.27606082,,,,
Coffee & Bagels,1348,550 S. 4th St.,Suite 230,Minneapolis,MN,55415,US,(612) 333-9088,44.97665405,-93.26226085,,,,
Coffee & Bagels,1338,1180 Shingle Creek Parkway,,Brooklyn Center,MN,55430,US,763-566-0219,45.05857049,-93.31642337,,,,
Coffee & Bagels,1342,272 57th Ave NE,,Fridley,MN,55432,US,763-276-9770,45.07121966,-93.26669948,,,,
Coffee & Bagels,1323,365 Radio Drive,,Woodbury,MN,55125,US,651-340-5920,44.94250624,-92.93219224,,,,
Coffee & Bagels,1350,2751 County Road E,,White Bear Lake,MN,55110,US,(651) 493-8136,45.050628,-92.985557,,,,
Coffee & Bagels,138,4733 Highway 61,,White Bear Lake,MN,55110,US,651-426-5694,45.08395851,-93.01109947,,,,
Coffee & Bagels,8588,720 4th Ave South,,St. Cloud,MN,56301,US,303-308-4373,45.552173,-94.152412,,,,
Coffee & Bagels,1806,2701 University Ave,Unit D,Madison,WI,53705,US,608 661-1399,43.07315063,-89.43431854,,,,
Coffee & Bagels,1911,652 State Street,,Madison,WI,53703-1016,US,608 257-9828,43.0749028176,-89.3963715434,,,,
Coffee & Bagels,1318,703 Northland Dr.,,Princeton,MN,55371,US,763-389-7982,45.55668265,-93.5838677,,,,
Coffee & Bagels,1360,101 Oak Avenue,Suite 4,Menomonie,WI,54751,US,715 231-2550,44.90439224,-91.93086243,,,,
Coffee & Bagels,2902,3904 E Washington Ave,,Madison,WI,53704,US,1-888-227-4268,43.12157822,-89.31851959,,,,1
Coffee & Bagels,1353,2304 College Way,,Fergus Falls,MN,56537,US,218-531-2027,46.28968723,-96.11320026,,,,
Coffee & Bagels,1367,5911 St. Croix Trail,,North Branch,MN,55056,US,651-674-6023,45.510536,-92.98854,,,,
Coffee & Bagels,1332,609 South 3rd St.,,Bismarck,ND,58504,US,701-751-7507,46.79982593,-100.7873766,,,,
Coffee & Bagels,1336,3122 Yorktown Dr,,Bismarck,ND,58503,US,(701) 751-8009,46.83926693,-100.7269657,,,,
Coffee & Bagels,1376,180 E. Sunset Dr,Unit A,Waukesha,WI,53189,US,1-888-227-4268,42.9884398,-88.22426297,,,,1
Coffee & Bagels,1398,17000 W Bluemound Road,Suite A,Brookfield,WI,53045-5951,US,262-860-9088,43.0373632908,-88.1236278266,,,,
Coffee & Bagels,1372,3129 South 27th Street,,Milwaukee,WI,53215,US,1-888-227-4268,42.9877692461,-87.9484091699,,,,1
Coffee & Bagels,1373,544 East Ogden Ave,,Milwaukee,WI,53202,US,1-888-227-4268,43.0482155085,-87.9054113477,,,,1
Coffee & Bagels,1490,4301 North Oakland Ave,,Shorewood,WI,53211,US,414 962-9888,43.09487152,-87.88784027,,,,
Coffee & Bagels,2569,10950 N. Port Washington Rd,,Mequon,WI,53092,US,1-888-227-4268,43.2177720219,-87.9239427298,,,,1
Coffee & Bagels,8610,306 East Pine Knowels Dr,Building 63,Flagstaff,AZ,86001,US,1-888-227-4268,35.3718147278,-111.662193298,,,,
Coffee & Bagels,1334,1225 South Columbia Rd,,Grand Forks,ND,58201,US,701-746-9585,47.909466,-97.06608,,,,
Coffee & Bagels,1345,2100 London Rd,,Duluth,MN,55812,US,218 724-1355,46.8049784028,-92.0690589644,,,,
Coffee & Bagels,1359,1515 Kenwood Ave,Suite A,Duluth,MN,55811,US,218-724-3314,46.8214579672,-92.1004727483,,,,
