store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Coffee Culture Cafe & Eatery,,60 Salem Rd,,Ajax,ON,7J3 L1S,Canada, 905-239-5511,43.8613712,-79.0153097,"Sun-Wed: 6:00 AM - 11:00 PM, Thurs-Sat: 6:00 AM - 12:00 AM",,,
Coffee Culture Cafe & Eatery,,36 Young Street,,Alliston,ON,1P8 L9R,Canada, 705-250-3600,44.1496678,-79.8829703,Mon-Sun: 6:00 AM - 11:00 PM,,,
Coffee Culture Cafe & Eatery,,494 Big Bay Point Rd,,Barrie,ON,3Z4 L4N,Canada, 705-733-8228,44.3570364,-79.6479819,"Sun-Wed: 6:00 AM - 11:00 PM, Thurs-Sat: 6:00 AM - 12:00 AM",,,
Coffee Culture Cafe & Eatery,,1 Holland Street West,,Bradford,ON,2B4 L3Z,Canada, 905-775-8898,44.1156847,-79.5591505,"Sun-Wed: 6:00 AM - 11:00 PM, Thurs-Sat: 6:00 AM - 12:00 AM",,,
Coffee Culture Cafe & Eatery,,10525 Bramalea Road,,Brampton,ON,3P4 L6R,Canada, 905-458-6313,43.7548107,-79.7582986,"Sun-Wed: 6:00 AM - 11:00 PM, Thurs-Sat: 6:00 AM - 12:00 AM",,,
Coffee Culture Cafe & Eatery,,510 1st Street,,Brandon,MB,2X1 R7A,Canada,,49.842032,-99.9391749,"Mon-Thurs: 6:30 AM - 11:00 PM, Fri-Sat: 6:30 AM - 12:00 AM, Sun: 8:00 AM - 11:00 PM",,,
Coffee Culture Cafe & Eatery,,75 Dalhousie Street,,Brantford,ON,2J1 N3T,Canada, 519-304-5772,43.1392251,-80.2650731,"Sun-Wed: 6:00 AM - 11:00 PM, Thurs-Sat: 6:00 AM - 12:00 AM",,,
Coffee Culture Cafe & Eatery,,16 Winchester Road East,,Brooklin,ON,1B4 L1M,Canada, 905-655-0500,43.9540084,-78.960635,"Sun-Wed: 6:00 AM - 11:00 PM, Thurs-Sat: 6:00 AM - 12:00 AM",,,
Coffee Culture Cafe & Eatery,,1960 Appleby Line,,Burlington,ON,0B7 L7L,Canada, 905-335-0050,43.393027,-79.789753,"Sun-Wed: 6:00 AM - 11:00 PM, Thurs-Sat: 6:00 AM - 12:00 AM",,,
Coffee Culture Cafe & Eatery,,390 Brant Street,,Burlington,ON,4J4 L7R,Canada, 905-637-2633,43.3251582,-79.7976285,"Sun-Wed: 6:00 AM - 11:00 PM, Thurs-Sat: 6:00 AM - 12:00 AM",,,
Coffee Culture Cafe & Eatery,,138 Main Street,,Cambridge,ON,1V7 N1R,Canada, 519-267-7272,43.3588821,-80.3115105,"Sun-Wed: 6:00 AM - 11:00 PM, Thurs-Sat: 6:00 AM - 12:00 AM",,,
Coffee Culture Cafe & Eatery,,1-173 Mill Street,,Angus,ON,1B2 L0M,Canada, 705-424-7277,44.3229862,-79.8877601,"Sun-Wed: 6:00 AM - 10:00 PM, Fri-Sat: 6:00 AM - 11:00 PM, Thurs: 6:00 AM - 10:00 PM",,,
Coffee Culture Cafe & Eatery,,5761 Peach Street,,Erie,PA,16509,United States, 814-860-3310,42.068809,-80.091751,"Sun-Wed: 6:30 AM - 11:00 PM, Thurs-Sat: 6:30 AM - 12:00 AM",,,
Coffee Culture Cafe & Eatery,,1859 West Grandview Blvd.,,Erie,PA,16509,United States, 814-866-8113,42.0494171,-80.0423151,,,,
Coffee Culture Cafe & Eatery,,5401 Peach Street,,Erie,PA,16509,United States, 814-868-7800,42.0494171,-80.0423151,"Sun-Wed:, Thurs-Sat:",,,
Coffee Culture Cafe & Eatery,,5515 Peach St,,Erie,PA,16509,United States,,42.0739413,-80.0936753,,,,
Coffee Culture Cafe & Eatery,,2534 West Ridge Road,,Greece,NY,14626,United States, 585-265-2174,43.2097837,-77.6930602,,,,
