store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Tampa: Waters,,5706 W. Waters Avenue,,Tampa,FL,33634,United States,813-864-8003,,,10:30AM to 10PM 7 days a week,,,
Pembroke Pines,,11211 Pines Blvd,,Pembroke Pines,FL,33026,United States,754-484-3853,,,10:30AM to 10PM 7 days a week ,,,
Sanford,,1610 Rinehart Road,,Sanford,FL,32771,United States,407-792-1763,,,10:30AM to 10PM 7 days a week,,,
St. Petersburg,,4526 4th Street North,,St. Petersburg,FL,33703,United States,727-873-7999,,,10:30AM to 10PM 7 days a week,,,
Pinellas Park,,4601 Park Blvd,,Pinellas Park,FL,33781,United States,727-362-1007,,,10:30AM to 10PM 7 days a week,,,
Sarasota,,5164 S. Tamiami Trail,,Sarasota,FL,34231,United States,941-866-1311,,,10:30AM to 10PM 7 days a week,,,
South Tampa,,2207 S. Dale Mabry Highway,,Tampa,FL,33629,United States,813-254-7373,,,10:30AM to 10PM 7 days a week,,,
Riverview,,10441 Big Bend Road,,Riverview,FL,33579,United States,813-864-8006,,,10:30AM to 10PM 7 days a week,,,
Pompano Beach,,2341 N. Federal Highway,,Pompano Beach,FL,33062,United States,954-785-6285,,,10:30AM to 10PM 7 days a week ,,,
Orlando: Lake Nona,,11906 Narcoosee Rd,,Orlando,FL,32832,United States,,,,,,,
Ocala,,3410 SW College Road,,Ocala,FL,34474,United States,352-484-0365,,,10:30AM to 10PM 7 days a week,,,
Lehi,,3550 North Digital Drive,,Lehi,UT,84043,United States,,,,,,,
Jacksonville: Beach and Hodges,,3260 Hodges Blvd,,Jacksonville,FL,32224,United States,904-758-3325,,,10:30AM to 10PM 7 days a week,,,
Jacksonville: Julington Creek,,194 N. State Road 13,,St. Johns,FL,32259,United States,904-638-5959,,,10:30AM to 10PM 7 days a week,,,
Plano,,1151 Preston Road,,Plano,TX,75093,United States,214-233-7290,,,10:30AM to 9PM 7 days a week,,,
