store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
HuHot Mongolian Grill,,5430 E Arrowhead Pkwy,,Sioux Falls,South Dakota,57110,United States,605-221-1200,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,409 S. 3rd Street,,Bismarck,North Dakota,58504,United States,701-751-2800,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,17660 Wright St,,Omaha,Nebraska,68103,United States,402-408-3300,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,1745 Eglin St. Suite #990,,Rapid City,South Dakota,57701,United States,605-791-5555,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,2712 S Columbia Rd,,Grand Forks,North Dakota,58201,United States,701-757-4171,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,6746 S Memorial,,Tulsa,Oklahoma,74133,United States,918-459-5346,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:30 pm, Dinner Fri-Sat: 11:00 am - 10:30 pm",,,
HuHot Mongolian Grill,,Quail Springs Mall,,Oklahoma City,Oklahoma,73134,United States,405-748-3777,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,1025 Woodruff Rd,,Greenville,South Carolina,29607,United States,864-603-3161,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,1260-A8 Bower Parkway,,Columbia,South Carolina,29212,United States,803-407-3868,,,,,,
HuHot Mongolian Grill,,1801 45th St SW,,Fargo,North Dakota,58103,United States,701-478-4688,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,990 S 72nd St,,Omaha,Nebraska,68114,United States,402-933-9550,,,,,,
HuHot Mongolian Grill,,2101 N 120th St,,Omaha,Nebraska,68164,United States,402-498-8890,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,2525 Pine Lake Road #200,,Lincoln,Nebraska,68512,United States,402-405-0200,,,"LUNCH: 10:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,3521 Brooks St,,Missoula,Montana,59801,United States,406-829-8888,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,201 North 66th St,,Lincoln,Nebraska,68505,United States,402-464-1100,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,130 Hutton Ranch Rd.,,Kalispell,Montana,59901,United States,406-755-0757,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,3001 S. 108th St.,,West Allis,Wisconsin,53227,United States,303-297-1200,,,,,,
HuHot Mongolian Grill,,2059 Witzel Ave,,Oshkosh,Wisconsin,54904,United States,920-237-5555,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,4530 Rib Mountain Drive,,Wausau,Wisconsin,54401,United States,715-298-5517,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,610 Junction Rd,,Madison,Wisconsin,53717,United States,608-827-7110,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,110 N. Wisconsin Dells Parkway,,Lake Delton,Wisconsin,53940,United States,608-253-0775,,,,,,
HuHot Mongolian Grill,,Valley View Mall,,La Crosse,Wisconsin,54601,United States,608-781-2636,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,2431 Milton Ave,,Janesville,Wisconsin,53545,United States,608-743-9501,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 10:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,7214 Green Bay Rd,,Kenosha,Wisconsin,53142,United States,262-697-8522,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,2621 S Oneida St,,Ashwaubenon,Wisconsin,54304,United States,920-405-8888,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,3456 W. College Ave.,,Appleton,Wisconsin,54914,United States,920-257-2555,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,3805 S Oakwood Mall Dr,,Eau Claire,Wisconsin,54701,United States,715-834-2222,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
HuHot Mongolian Grill,,11703 E. Sprague,,Spokane Valley,Washington,99206,United States,509-891-8711,,,"LUNCH: 11:00 am - 4:00 pm, Dinner Sun-Thu: 11:00 am - 9:00 pm, Dinner Fri-Sat: 11:00 am - 10:00 pm",,,
