store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,Brookfield Place - EQUINOX225 Liberty St. ,,New York ,NY,10281,United States,,,,"mon - fri:6:00am - 9:00pm, sat - sun:9:00am - 7:00pm",,,
,,BK Heights - EQUINOX194 Joralemon St ,,Brooklyn ,NY,11201,United States,,,,"mon - wed:6:30am - 10:00pm, thurs:6:30am - 9:00pm, fri:6:30am - 8:00pm, sat - sun:8:00am - 7:00pm",,,
,,EQUINOX Williamsburg246 Bedford Ave ,,Brooklyn ,NY,11211,United States,,,,"mon - thurs:6:30am - 9:00pm, fri:6:30am - 7:00pm, sat - sun:9:00am - 7:00pm",,,
,,DUMBO - EQUINOX45 Washington. ,,Brooklyn ,NY,11201,United States,,,,"mon - thurs:7:00am - 9:00pm, fri:7:00am - 8:00pm, sat - sun:8:00am - 7:00pm",,,
,,207 7th Ave.,,Brooklyn ,NY,11215,United States,,,,"mon - fri:8:00am - 8:00pm, sat - sun:8:00am - 8:00pm",,,
,,124 Montague St.,,New York ,NY,11201,United States,,,,mon - sun:8:00am - 8:00pm,,,
,,144 North 8th St.,,Brooklyn ,NY,11249,United States,,,,mon - sun:8:00am - 9:00pm,,,
,,129 W 41st St.,,New York ,NY,10036,United States,,,,"mon - thurs:5:30am - 10:00pm, fri:5:30am - 9:00pm, sat:9:00am - 2:00pm",,,
,,201 E 10th St.,,New York ,NY,10003,United States,,,,mon - sun:8:00am - 10:00pm,,,
,,70 E 1st St.,,New York ,NY,10003,United States,,,,mon - sun:8:00am - 9:00pm,,,
,,EQUINOX High Line100 Tenth Ave. ,,New York ,NY,10011,United States,,,,"mon - fri:6:30am - 10:00pm, sat - sun:8:30am - 8:00pm",,,
,,EQUINOX Flatiron897 Broadway ,,New York ,NY,10003,United States,,,,"mon - thur:6:30am - 10:00pm, fri:6:30am - 9:00pm, sat:9:00am - 8:00pm",,,
,,1 W 22nd St.,,New York ,NY,10010,United States,,,,"mon - fri:7:00am - 9:00pm, sat - sun:8:00am - 9:00pm",,,
,,420 Park Ave. South,,New York ,NY,10016,United States,,,,"mon - fri:7:00am - 9:00pm, sat - sun:8:00am - 8:00pm",,,
,,East Hampton55 Main St. ,,East Hampton ,NY,11937,United States,,,,Closed!,,,
,,Bridgehampton2486 Montauk Highway ,,Bridgehampton ,NY,11932,United States,,,,CLOSEDCLOSED,,,
,,Southampton93 Main St. ,,Southampton ,NY,11968,United States,,,,CLOSEDCLOSED,,,
,,630 9th Ave.,,New York ,NY,10036,United States,,,,mon - sun:8:00am - 9:00pm,,,
,,Macy*s151 W 34th St. ,,New York ,NY,10001,United States,,,,"mon - fri:10:00am - 10:00pm, sat:10:00am - 10:00pm, sun:11:00am - 10:00pm",,,
,,EQUINOX Printing House421 Hudson St. ,,New York ,NY,10014,United States,,,,"mon - thurs:7:00am - 8:00pm, fri:7:00am - 7:00pm, sat - sun:9:00am - 7:00pm",,,
,,375 Hudson St.,,New York ,NY,10014,United States,,,,"mon - fri:7:00am - 9:00pm, sat - sun:8:00am - 6:00pm",,,
,,31-00 47th Ave.,,Queens ,NY,11101,United States,,,,mon - fri:10:00am - 2:00pm,,,
,,105 Rivington St.,,New York ,NY,10002,United States,,,,mon - sun:8:00am - 9:00pm,,,
,,EQUINOX EAST 44TH420 Lexington Ave ,,New York ,NY,10170,United States,,,,"mon - thurs:6:30am - 9:00pm, fri:6:30am - 8:00pm, sat:10:00am - 5:00pm, sun:Closed",,,
,,Grand Central Station Ground Floor87 E. 42nd St. ,,New York ,NY,10017,United States,,,,"mon-fri:6:00am - 8:00pm, sat:10:00am - 8:00pm, sun:11:00am - 7:00pm",,,
,,EQUINOX East 54th St.250 East 54th St. ,,New York ,NY,10022,United States,,,,"mon - thurs:6:30am - 10:00pm, fri:6:30am - 8:00pm, sat - sun:9:00am - 8:00pm",,,
