store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Allen Park,,23233 Outer Dr.,,,,,United States,(313) 730-7040,,,"Monday-Saturday: 6AM-10PM, Sunday: 8AM-9PM",,,
Belleville,,9624 Belleville Rd,,,,,United States,(734) 697-1000,,,"Monday-Saturday: 6AM-10PM, Sunday: 7AM-9PM",,,
Birch Run,,8645 Birch Run Rd.,,,,,United States,(989) 624-5055,,,Monday-Sunday: 7AM-10PM,,,
Birmingham,,154 S. Old Woodward,,,,,United States,(248) 593-9707,,,24 Hours 7 Days a Week,,,
Bloomfield Township,,6535 Telegraph Rd.,,,,,United States,(248) 646-8568,,,"Monday-Saturday: 7AM-10PM, Sunday: 8AM-9PM",,,
Brighton,,8280 Movie Dr.,,,,,United States,(810) 844-2562,,,"Monday-Saturday: 7AM-10PM, Sunday: 7AM-9PM",,,
Canton,,1735 Canton Rd.,,,,,United States,(734) 981-5483,,,"Monday-Saturday: 6:30AM-10PM, Sunday: 6:30AM-9PM",,,
Commerce Township,,4895 Carroll Lake Rd.,,,,,United States,(248) 366-8360,,,"Monday-Saturday: 7AM-10PM, Sunday: 7AM-9PM",,,
Commerce Township,,40290 W. 14 Mile Rd.,,,,,United States,(248) 669-2131,,,Monday-Saturday: 7AM-9PMSunday: 8AM-9PM,,,
Davison,,625 N. State Rd.,,,,,United States,(810) 653-9697,,,Sunday-Thursday: 6AM-10PM Friday-Saturday: 6AM-12AM,,,
Dearborn,,5575 Greenfield Rd.,,,,,United States,(313) 253-0200,,,24 Hours 7 Days a Week,,,
Dearborn Heights,,26540 Ford Rd.,,,,,United States,(313) 724-8182,,,"Monday-Wednesday: 7AM-9PM, Thursday-Saturday: 7AM-10PM, Sunday: 8AM-9PM",,,
East Lansing,,333 Albert Ave.,,,,,United States,(517) 708-8580,,,"Monday-Saturday: 7AM-10PM, Sunday: 8AM-9PM",,,
Farmington Hills,,33292 W. 12 Mile Rd.,,,,,United States,(248) 489-9777,,,"Monday-Saturday: 7AM-10PM, Sunday: 8AM-9PM",,,
Fenton,,15010 Silver Lake Parkway,,,,,United States,(810) 620-8400,,,Monday-Sunday: 7AM-10PM,,,
Flat Rock,,26988 Telegraph Rd.,,,,,United States,(734) 789-7757,,,"Monday-Saturday: 6AM-10PM, Sunday: 7AM-9PM",,,
