store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Marie Callender's,,1600 N.  1000 West,,Layton,UT,84041,United States,801-825-3668,,,"M-Th 7-10, Fri 7-11, Sat 7-11, Sun 7-9",,,
Marie Callender's,,1109 E. 3900 South,,Salt Lake City,UT,84124,United States,801-266-1497,,,"M-Th 7-10, Fri 7-11, Sat 7-11, Sun 7-9",,,
Marie Callender's,,540 N. Euclid Ave.,,Anaheim,CA,92801,United States,714-774-1832,,,"M-Th 7-10, Fri & Sat 7-11, Sun 9-10",,,
Marie Callender's,,5711 East La Palma Ave.,,Anaheim,CA,92807,United States,714-779-0600,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,820 S. Baldwin Ave.,,Arcadia,CA,91007,United States,626-446-5229,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,1175 E. Alosta Ave.,,Azusa,CA,91702,United States,626-963-9475,,,"M-Th 7-10, Fri & Sat 7-11, Sun 8-10",,,
Marie Callender's,,3801 California Ave.,,Bakersfield,CA,93309,United States,661-327-0477,,,"M-Th 7-10, Fri 7-11, Sat 7-11, Sun 9-10",,,
Marie Callender's,,2631 Oswell St.,,Bakersfield,CA,93306,United States,661-872-1051,,,"M-Th 7-10, Fri & Sat 7-11, Sun 8-10",,,
Marie Callender's,,5960 Orangethorpe Ave.,,Buena Park,CA,90620,United States,714-522-0170,,,"M-Th 7-10, Fri & Sat 7-11, Sun 9-10",,,
Marie Callender's,,185 E. Daily Drive,,Camarillo,CA,93010,United States,805-987-5580,,,"M-Th 7-10, Fri & Sat 7-10, Sun 7-10",,,
Marie Callender's,,330 F St.,,Chula Vista,CA,91910,United States,619-420-0751,,,"M-Th 7-10, Fri & Sat 7-11, Sun 9-10",,,
Marie Callender's,,5525 Sunrise Blvd.,,Citrus Heights,CA,95610,United States,916-961-8571,,,"M-Th 7-10, Fri 7-11, Sat 7-11, Sun 7-10",,,
Marie Callender's,,1560 Albatross Rd.,,City of Industry,CA,91748,United States,626-964-1094,,,"M-Th 7am-9pm, Fri & Sat 7am-9pm, Sun 7am-9pm",,,
Marie Callender's,,1030 W. Foothill Blvd.,,Claremont,CA,91711,United States,909-621-3985,,,"M-Th 11-10, Fri & Sat 11-11, Sun 10-10",,,
Marie Callender's,,160 E. Rincon St.,,Corona,CA,92879,United States,951-735-4310,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,7860 E. Florence Ave.,,Downey,CA,90240,United States,562-927-3327,,,"M-Th 10-10, Fri & Sat 10-10, Sun 9-10 (Lunch 10:00am)",,,
Marie Callender's,,515 W. 13th Ave.,,Escondido,CA,92025,United States,760-741-3636,,,"M-Th 7-10, Fri & Sat 7-11pm, Sun 9-10",,,
Marie Callender's,,3502 Broadway Road,,Eureka,CA,95501,United States,707-268-8255,,,"Sun-Th 9-9, Fri & Sat 9-10",,,
Marie Callender's,,18889 Brookhurst St.,,Fountain Valley,CA,92708,United States,714-963-6791,,,"M- Th 11-9, Fri & Sat 11-10, Sun 9-9",,,
Marie Callender's,,1781 E. Shaw Ave.,,Fresno,CA,93710,United States,559-224-8434,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,3602 W. Shaw Ave.,,Fresno,CA,93711,United States,559-271-0148,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,7825 N Blackstone Ave.,,Fresno,CA,93720,United States,559-451-0811,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,13252 Brookhurst St.,,Garden Grove,CA,92843,United States,714-537-0801,,,"Sun & Mon 8-9, Tues-Sat 8-10",,,
Marie Callender's,,15466 S. Western,,Gardena,CA,90249,United States,310-516-9595,,,"M-Th 8-9, Fri & Sat 8-9:30, Sun 8-9:30",,,
Marie Callender's,,340 E. Whittier Blvd.,,La Habra,CA,90631,United States,562-691-0705,,,"M-Th 7am-9pm, Fri & Sat 7am-9pm, Sun 7am-9pm",,,
Marie Callender's,,4419 Candlewood St.,,Lakewood,CA,90712,United States,562-634-3612,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,1649 W. Avenue K,,Lancaster,CA,93534,United States,661-945-6958,,,"M-Th 7-10:30, Fri & Sat 7-11, Sun 7-10:30",,,
Marie Callender's,,5773 Wilshire Blvd,,Los Angeles,CA,90036,United States,323-937-7952,,,"Callender's Grill: M-Th 11-10, Fri & Sat 11-11, Sun 10-10",,,
Marie Callender's,,11324 National Blvd.,,Los Angeles West,CA,90064,United States,310-478-0347,,,"M-Th 7-10, Fri & Sat 7-10, Sun 7-10",,,
Marie Callender's,,3500 Coffee Rd.,,Modesto,CA,95355,United States,209-529-1610,,,"M-Th 7-10, Fri & Sat 7-11, Sun 9-10",,,
Marie Callender's,,220 S. Atlantic Blvd.,,Monterey Park,CA,91754,United States,626-281-9548,,,"M-Th 11-10, Fri 11-11, Sat & Sun 9-11",,,
Marie Callender's,,19310 Business Center Dr.,,Northridge,CA,91324,United States,818-993-0704,,,"M-Th 7-10, Fri 7-11, Sat 7-11, Sun 9-10",,,
Marie Callender's,,2149 E. Convention Way,,Ontario,CA,91764,United States,909-937-0214,,,"M-Th 7-10, Fri & Sat 7-11, Sun 9-10",,,
Marie Callender's,,307 E. Katella Ave.,,Orange,CA,92867,United States,714-633-3112,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,126 E. Yorba Linda Blvd.,,Placentia,CA,92870,United States,714-996-0500,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,29051 S. Western Ave.,,Rancho Palos Verdes,CA,90732,United States,310-832-4559,,,"M-Th 8-9:30, Fri & Sat 8-10, Sun 8-9:30",,,
Marie Callender's,,1987 Hilltop Dr.,,Redding,CA,96002,United States,530-223-4310,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,1223 S. Pacific Coast Hwy.,,Redondo Beach,CA,90277,United States,310-316-1111,,,M-Sun 8-9 (Take Out Only),,,
Marie Callender's,,3505 Merrill Ave.,,Riverside,CA,92506,United States,951-682-2504,,,"M-Th 7-10, Fri 7-11, Sat 7-11, Sun 7-10",,,
Marie Callender's,,5622 Freeport Blvd.,,Sacramento,CA,95822,United States,916-391-4300,,,"M-Th 8-9:30, Fri & Sat 8-10, Sun  8-9:30",,,
Marie Callender's,,11122 Rancho Carmel Drive,,San Diego,CA,92128,United States,858-675-9428,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,6950 Alvarado Rd.,,San Diego,CA,92120,United States,619-465-1910,,,"M-Th 8-10,  Fri & Sat 8-11, Sun 9-10",,,
Marie Callender's,,620 Blossom Hill Rd.,,San Jose,CA,95123,United States,408-578-0643,,,"Lunch & Dinner: M-Th 11-9, Fri & Sat 11-10, Sun 2-9",,,
Marie Callender's,,31791 Del Obispo St,,San Juan Capistrano,CA,92675,United States,949-661-5977,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,1821 N. Grand Ave.,,Santa Ana,CA,92705,United States,714-836-1513,,,"M-Th 8-9:30, Fri & Sat 8-10, Sun 8-9:30",,,
Marie Callender's,,14743 Ventura Blvd.,,Sherman Oaks,CA,91403,United States,818-788-3983,,,"M-Th 8:30-10, Fri 8:30-11, Sat 8-11, Sun 8-10",,,
Marie Callender's,,751 East El Camino Real,,Sunnyvale,CA,94087,United States,408-245-3710,,,"M-Th 11-9, Fri 11-10, Sat 8-10, Sun 9-9",,,
Marie Callender's,,29363 Rancho California Rd.,,Temecula,CA,92591,United States,951-699-9339,,,"M-Th 7-10, Fri & Sat 7-11, Sun 9-10",,,
Marie Callender's,,21211 Hawthorne Blvd.,,Torrance,CA,90503,United States,310-540-9696,,,"M-Th 7-10, Fri & Sat 7-11, Sun 9-10",,,
Marie Callender's,,1295 S. Victoria Ave.,,Ventura,CA,93003,United States,805-644-0147,,,"M-Th 7-10, Fri & Sat 7-11, Sun 9-10",,,
Marie Callender's,,12180 Mariposa Rd.,,Victorville,CA,92395,United States,760-241-6973,,,"M-Th 7-10, Fri & Sat 7-11, Sun 9-10",,,
Marie Callender's,,350 S. Mooney Blvd.,,Visalia,CA,93291,United States,559-738-1442,,,"M-Th 6-10, Fri & Sat 6-11, Sun 9-10",,,
Marie Callender's,,"3117 E. Garvey Ave., N.",,West Covina,CA,91791,United States,626-339-5491,,,"M-Th 7-10, Fri & Sat 7-11, Sun 9-10",,,
Marie Callender's,,16390 Beach Blvd.,,Westminster,CA,92683,United States,714-847-6600,,,"M-Th 7-10, Fri & Sat 7-11, Sun 9-10",,,
Marie Callender's,,9829 La Serna Dr.,,Whittier,CA,90605,United States,562-945-3471,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
Marie Callender's,,12402 E. Washington Blvd.,,Whittier,CA,90602,United States,562-693-2724,,,"M-Th 7-10, Fri & Sat 7-10, Sun 7-10",,,
Marie Callender's,,530 N. Stephanie Street,,Henderson,NV,89014,United States,702-450-9820,,,"Sun-Th 7-10, Fri & Sat 7-11",,,
Marie Callender's,,600 E. Sahara Avenue,,Las Vegas,NV,89104,United States,702-734-6572,,,"M-Th 7am-10pm, Fri 7am-10pm, Sat & Sun 7am-10pm",,,
Marie Callender's,,3081 N. Rainbow Blvd.,,Las Vegas,NV,89108,United States,702-655-8200,,,"M-Th 7am-10pm, Fri & Sat 7am-10pm, Sun 7am-10pm",,,
Marie Callender's,,8175 W. Sahara,,Las Vegas,NV,89117,United States,702-341-0232,,,"M-Th 7am-10pm, Fri & Sat 7am-10pm, Sun 7am-10pm",,,
Marie Callender's,,8574 Fairview Ave.,,Boise,ID,83704,United States,208-375-7744,,,"M-Th 7-10, Fri & Sat 7-11, Sun 7-10",,,
