store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
170th St.,419,17109 100 Ave NW,,Edmonton,AB,T5S 2G5,CA,(780) 484-2040,53.539272,-113.617841,"Sun: 10am-10pm, Mon: 11am-11pm, Tues: 11am-11pm, Wed: 11am-11pm, Thurs: 11am-11pm, Fri: 11am-12am, Sat: 11am-12am",,,
Barlow & McKnight,420,29 Hopewell Way NE,,Calgary,AB,T3J 4V7,CA,(403) 291-4636,51.094905,-114.001565,"Sun: 6am-12am, Mon: 6am-12am, Tues: 6am-12am, Wed: 6am-12am, Thurs: 6am-1am, Fri: 6am-2am, Sat: 6am-2am",,,
Calgary Downtown,421,888-7th Avenue SW,,Calgary,AB,T2P 3J3,CA,(403) 234-7507,51.047018,-114.081029,"Sun: 10am-10pm, Mon: 11am-11pm, Tues: 11am-11pm, Wed: 11am-11pm, Thurs: 11am-11pm, Fri: 11am-12am, Sat: 10am-12am",,,
Calgary Trail,422,4790 Calgary Trail Northwest,,Edmonton,AB,T6H 6A1,CA,(780) 430-4701,53.485102,-113.495578,"Sun: 10am-10pm, Mon: 11am-11pm, Tues: 11am-11pm, Wed: 11am-11pm, Thurs: 11am-11pm, Fri: 11am-12am, Sat: 11am-12am",,,
Fort McMurray,423,#100-9521 Franklin Ave,,Fort McMurray,AB,T9H 3Z7,CA,(780) 791-1996,56.723851,-111.371702,"Sun: 10am-12am, Mon: 11am-12am, Tues: 11am-12am, Wed: 11am-12am, Thurs: 11am-12am, Fri: 11am-1am, Sat: 11am-1am",,,
Grande Prairie,424,"212, 11801-100 St",,Grande Prairie,AB,T8V 3Y2,CA,(780) 532-4401,55.186915,-118.791065,"Sun: 10am-11pm, Mon: 11am-12am, Tues: 11am-12am, Wed: 11am-12am, Thurs: 11am-12am, Fri: 11am-1am, Sat: 11am-1am",,,
Kingsway,425,10628 Kingsway Ave,,Edmonton,AB,T5G 0W8,CA,(780) 944-0232,53.559787,-113.505695,"Sun: 10am-10pm, Mon: 11am-11pm, Tues: 11am-12am, Wed: 11am-12am, Thurs: 11am-12am, Fri: 11am-12am, Sat: 11am-12am",,,
Market Mall,426,"13, 3625 Shaganappi Tr. NW",,Calgary,AB,T3A 0E2,CA,(403) 288-2663,51.086534,-114.155955,"Sun: 9am-10pm, Mon: 9am-11pm, Tues: 9am-12am, Wed: 9am-12am, Thurs: 9am-12am, Fri: 9am-1am, Sat: 9am-1am",,,
Medicine Hat,427,3090 Dunmore Rd,,Medicine Hat,AB,T1B 2X2,CA,(403) 528-8628,50.009647,-110.649898,"Sun: 11am-10pm, Mon: 11am-11pm, Tues: 11am-11pm, Wed: 11am-11pm, Thurs: 11am-11pm, Fri: 11am-12am, Sat: 11am-12am",,,
Red Deer,428,2828 Gaetz Avenue,,Red Deer,AB,T4R 1M4,CA,(403) 340-0111,52.246962,-113.814368,"Sun: 6:30am-12am, Mon: 6:30am-12am, Tues: 6:30am-12am, Wed: 6:30am-12am, Thurs: 6:30am-12am, Fri: 6:30am-2am, Sat: 6:30am-2am",,,
