store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Durant,,311 Westside Drive,,Durant,OK,74701,United States,580-745-5700,34.0002417,-96.40620280000001,Sunday 11:00 am - 10:00 pmMonday11:00 am - 10:00 pmTuesday11:00 am - 10:00 pmWednesday11:00 am - 10:00 pmThursday11:00 am - 10:00 pmFriday11:00 am - 10:00 pmSaturday11:00 am - 10:00 pm,,,
Gainesville,,101 N. Interstate Hwy 35,,Gainesville,Texas,79119,United States,940-301-5042,33.6529931,-97.15580549999998,Sunday 11:00 am - 10:00 pmMonday11:00 am - 10:00 pmTuesday11:00 am - 10:00 pmWednesday11:00 am - 10:00 pmThursday11:00 am - 10:00 pmFriday11:00 am - 10:00 pmSaturday11:00 am - 10:00 pm,,,
Ardmore,,2401 12th Ave. NW,,Ardmore,OK,73401,United States,580-798-4273,34.1886662,-97.1583847,Sunday 11:00 am - 10:00 pmMonday11:00 am - 10:00 pmTuesday11:00 am - 10:00 pmWednesday11:00 am - 10:00 pmThursday11:00 am - 10:00 pmFriday11:00 am - 10:00 pmSaturday11:00 am - 10:00 pm,,,
Sherman,,3205 U.S. 75 North,,Sherman,Texas,,United States,903-771-0141,33.6723897,-96.60908599999999,Sunday 11:00 am - 10:00 pmMonday11:00 am - 10:00 pmTuesday11:00 am - 10:00 pmWednesday11:00 am - 10:00 pmThursday11:00 am - 10:00 pmFriday11:00 am - 10:00 pmSaturday11:00 am - 10:00 pm,,,
Greenville,,6815 I-30 Frontage Rd,,Greenville,Texas,75402,United States,903-454-2770,33.100019,-96.10393900000003,Sunday 11:00 am - 10:00 pmMonday11:00 am - 10:00 pmTuesday11:00 am - 10:00 pmWednesday11:00 am - 10:00 pmThursday11:00 am - 10:00 pmFriday11:00 am - 10:00 pmSaturday11:00 am - 10:00 pm,,,
Searcy,,3204 E. Race Ave.,,Searcy,Arkansas,72143,United States,501-279-0440,35.2511099,-91.69486169999999,Sunday 11:00 am - 10:00 pmMonday11:00 am - 10:00 pmTuesday11:00 am - 10:00 pmWednesday11:00 am - 10:00 pmThursday11:00 am - 10:00 pmFriday11:00 am - 10:00 pmSaturday11:00 am - 10:00 pm,,,
Tulsa - South Harvard,,1601 S. Harvard Ave.,,Tulsa,OK,74112,United States,918-742-2742,36.1385687,-95.94011169999999,Sunday 11:00 am - 10:00 pmMonday11:00 am - 10:00 pmTuesday11:00 am - 10:00 pmWednesday11:00 am - 10:00 pmThursday11:00 am - 10:00 pmFriday11:00 am - 10:00 pmSaturday11:00 am - 10:00 pm,,,
Tulsa - Blue Dome,,302 E. First St,,Tulsa,OK,74136,United States,918-938-7090,36.1564327,-95.98823299999998,Sunday 10:00 am - 7:00 pmMonday10:00 am - 9:00 pmTuesday10:00 am - 9:00 pmWednesday10:00 am - 9:00 pmThursday10:00 am - 9:00 pmFriday10:00 am - 9:00 pmSaturday10:00 am - 9:00 pm,,,
Ponca City,,1209 E. Prospect Ave.,,Ponca City,OK,74601,United States,580-749-4720,36.7389435,-97.0696342,Sunday 11:00 am - 10:00 pmMonday11:00 am - 10:00 pmTuesday11:00 am - 10:00 pmWednesday11:00 am - 10:00 pmThursday11:00 am - 10:00 pmFriday11:00 am - 10:00 pmSaturday11:00 am - 10:00 pm,,,
Bixby,,12850 S. Memorial Drive,,Bixby,OK,74008,United States,918-369-4799,35.9764152,-95.88711560000001,Sunday 11:00 am - 10:00 pmMonday11:00 am - 10:00 pmTuesday11:00 am - 10:00 pmWednesday11:00 am - 10:00 pmThursday11:00 am - 10:00 pmFriday11:00 am - 10:00 pmSaturday11:00 am - 10:00 pm,,,
