store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,3210 Park Center Dr,,Costa Mesa,CA,92626,United States,,33.689436,-117.883062,Open Mon-Fri 6:30am-5:30pm.,Store,,
,,2101 East El Segundo Boulevard,,El Segundo,CA,90245,United States,,33.9169811,-118.3903876,Open Mon-Fri 6am-5pm.,Store,,
,,1900 Powell St,,Emeryville,CA,94608,United States,,37.838146,-122.299445,Open Mon-Fri 7am-4pm.,Store,,
,,1031 E Hillsdale Blvd,,Foster City,CA,94404,United States,,37.5592117,-122.2721628,Open Mon-Fri 7am-5pm.,Store,,
,,520 N Brand Blvd,,Glendale,CA,91203,United States,,34.1539298,-118.2548872,Open Mon-Fri 7am-5pm.,Store,,
,,100 Innovation Dr,,Irvine,CA,92617,United States,,33.646996,-117.854952,Open Mon-Fri 6am-5pm.,Store,,
,,2010 Main St,,Irvine,CA,92614,United States,,33.683638,-117.851734,Open Mon-Fri 7am-5pm.,Store,,
,,20 Pacifica,,Irvine,CA,92618,United States,,33.6511489,-117.7489647,Open Mon-Fri 7am-5pm.,Store,,
,,18400 Von Karman Ave,,Irvine,CA,92612,United States,,33.676995,-117.851892,Open Mon-Fri 6am-6pm.,Store,,
,,2121 Avenue of the Stars,,Los Angeles,CA,90067,United States,,34.054957,-118.413595,Open Mon-Fri 6:30am-4:30pm.,Store,,
,,400 South Hope Street,,Los Angeles,CA,90071,United States,,34.0517259,-118.253722,Open Mon-Fri 6am-5pm.,Store,,
,,690 N McCarthy Blvd,,Milpitas,CA,95035,United States,,37.4368682,-121.9222503,Open Mon-Fri 6am-6pm.,Store,,
,,645 Ellis St,,Mountain View,CA,94043,United States,,37.402906,-122.050669,Open Mon-Fri 5:30am-6:30pm.,Store,,
,,4695 MacArthur Ct,,Newport Beach,CA,92660,United States,,33.669801,-117.862551,Open Mon-Fri 7am-5pm.,Store,,
,,555 12th St,,Oakland,CA,94607,United States,,37.803806,-122.275295,Open Mon-Fri 6am-5pm.,Store,,
,,155 Grand Ave,,Oakland,CA,94612,United States,,37.810716,-122.263905,Open Mon-Fri 6am-5pm.,Store,,
,,5331 Hopyard Road,,Pleasanton,CA,94588,United States,,37.69997,-121.904802,"Open Mon-Fri 6am-5pm, Sat-Sun 7am-5pm.",Store,,
,,6200 Stoneridge Mall Rd,,Pleasanton,CA,94588,United States,,37.696133,-121.92419,Open Mon-Fri 6am-5pm.,Store,,
,,3075 Prospect Park Drive,,Rancho Cordova,CA,95670,United States,,38.590155,-121.275288,Open Mon-Fri 7am-4pm.,Store,,
,,701 Chesapeake Dr,,Redwood City,CA,94063,United States,,37.500938,-122.215156,Open Mon-Fri 7am-4:30pm.,Store,,
,,1100 Island Dr,,Redwood City,CA,94065,United States,,37.5368665,-122.2561878,Open Mon-Fri 7am-4:30pm.,Store,,
,,500 Capitol Mall,,Sacramento,CA,95814,United States,,38.578394,-121.501113,Open Mon-Fri 7am-6pm.,Store,,
,,4330 La Jolla Village Dr,,San Diego,CA,92122,United States,,32.874483,-117.213416,Open Mon-Fri 6am-5:30pm.,Store,,
,,101 W Broadway,,San Diego,CA,92101,United States,,32.7151427,-117.1642542,Open Mon-Fri 6am-5pm.,Store,,
,,22 Battery St,,San Francisco,CA,94111,United States,,37.791576,-122.399363,Open Mon-Fri 6am-5:30pm.,Store,,
,,100 California St,,San Francisco,CA,94111,United States,,37.793687,-122.397997,Open Mon-Fri 6am-6pm.,Store,,
,,680 Folsom Street,,San Francisco,CA,94107,United States,,37.7841811,-122.3985221,Open Mon-Fri 6am-7pm.,Store,,
,,500 Howard St,,San Francisco,CA,94105,United States,,37.78854,-122.396053,Open Mon-Fri 6am-6pm.,Store,,
,,101 New Montgomery St,,San Francisco,CA,94105,United States,,37.787518,-122.400472,Open Mon-Fri 6am-7pm.,Store,,
,,369 Pine St,,San Francisco,CA,94104,United States,,37.791722,-122.401984,Open Mon-Fri 6am-5pm.,Store,,
,,1 Post St,,San Francisco,CA,94104,United States,,37.789126,-122.40203,Open Mon-Fri 6am-7pm.,Store,,
,,505 Sansome St,,San Francisco,CA,94111,United States,,37.795066,-122.401844,Open Mon-Fri 6am-5pm.,Store,,
,,150 Spear St,,San Francisco,CA,94105,United States,,37.791753,-122.393614,Open Mon-Fri 6am-6pm.,Store,,
,,2580 N 1st St,,San Jose,CA,95131,United States,,37.385514,-121.925449,Open Mon-Fri 7am-4:30pm.,Store,,
,,115 S Market St,,San Jose,CA,95113,United States,,37.332402,-121.891559,Open Mon-Fri 7am-6pm.,Store,,
