store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
TUBBY'S - BERKLEY 205,,2375 Coolidge Hwy ,,Berkley ,MI,48072,United States,(248) 548-5500,,,,,,
TUBBY'S - BEVERLY HILLS 022,,15600 W 13 Mile Rd ,,Beverly Hills ,MI,48025,United States,(248) 642-5990,,,,,,
TUBBY'S - BRIGHTON 217,,9912 E Grand River Ave ,,Brighton ,MI,48116,United States,(810) 588-6115,,,,,,
TUBBY'S - BURTON 223,,1117 Belsay Rd ,,Burton ,MI,48509,United States,(810) 743-5218,,,,,,
TUBBY'S - CHESTERFIELD 126,,48800 Gratiot Ave ,,Chesterfield ,MI,48054,United States,(586) 598-4660,,,,,,
TUBBY'S - CLAWSON 185,,24 N Rochester Rd ,,Clawson ,MI,48017,United States,(248) 733-0100,,,,,,
TUBBY'S - CLINTON TWP 045,,41400 Garfield Rd ,,Clinton Township ,MI,48038,United States,(586) 263-4250,,,,,,
TUBBY'S - CLINTON TWP 184,,36887 Groesbeck Hwy ,,Clinton Township ,MI,48036,United States,(586) 790-8260,,,,,,
TUBBY'S - CLINTON TWP 150,,43561 N Groesbeck Hwy ,,Clinton Township ,MI,48036,United States,(586) 954-9912,,,,,,
TUBBY'S - DEARBORN 030,,23440 Michigan Ave ,,Dearborn ,MI,48126,United States,(313) 278-0610,,,,,,
TUBBY'S - DETROIT 197 (DOWNTOWN DETROIT),,3250 E Jefferson Ave ,,Detroit ,MI,48207,United States,(313) 394-2222,,,,,,
TUBBY'S - DETROIT 121,,20325 W 8 Mile Rd ,,Detroit ,MI,48219,United States,(313) 531-2222,,,,,,
TUBBY'S - DETROIT 075,,16543 Grand River Ave ,,Detroit ,MI,48227,United States,(313) 837-7566,,,,,,
TUBBY'S - DETROIT 204,,601 Schaeffer Hwy ,,Detroit ,MI,48217,United States,(313) 297-7600,,,,,,
TUBBY'S - DETROIT 037,,17195 Harper Ave ,,Detroit ,MI,48224,United States,(313) 881-8600,,,,,,
TUBBY'S - DUNDEE 143,,655 Tecumseh St ,,Dundee ,MI,48131,United States,(734) 529-8501,,,,,,
TUBBY'S - FARMINGTON 199,,33171 Grand River Ave ,,Farmington ,MI,48336,United States,(248) 471-8999,,,,,,
TUBBY'S - FRASER 003,,31920 Groesbeck Hwy ,,Fraser ,MI,48026,United States,(586) 294-3990,,,,,,
TUBBY'S - GIBRALTAR 206,,28975 W Jefferson ,,Gibraltar ,MI,48173,United States,(734) 561-3260,,,,,,
TUBBY'S - HAZEL PARK 011,,23053 S Chrysler Dr ,,Hazel Park ,MI,48030,United States,(248) 399-1722,,,,,,
TUBBY'S - HOLLY 207,,8435 E Holly Rd ,,Holly ,MI,48442,United States,(248) 634-0837,,,,,,
TUBBY'S - IMLAY CITY 215,,586-A Cedar Street ,,Imlay City ,MI,48444,United States,(810) 721-2131,,,,,,
TUBBY'S - LAKE ORION 219,,3865 Baldwin Rd ,,Lake Orion ,MI,48359,United States,(248) 706-6199,,,,,,
TUBBY'S - LAKE ORION 019,,700 S Lapeer Rd ,,Lake Orion ,MI,48362,United States,(248) 693-4600,,,,,,
TUBBY'S - LIVONIA 054,,34720 Plymouth Rd ,,Livonia ,MI,48150,United States,(734) 422-5140,,,,,,
TUBBY'S - MADISON HEIGHTS 005,,1462 E 12 Mile Rd ,,Madison Heights ,MI,48071,United States,(248) 546-8100,,,,,,
TUBBY'S - METAMORA 186,,3839 S Lapeer Rd ,,Metamora ,MI,48455,United States,(810) 678-8661,,,,,,
TUBBY'S - MILFORD 220,,"110 S Milford Rd, ",,Milford ,MI,48381,United States,(248) 676-0626,,,,,,
TUBBY'S - NOVI 175,,41460 Grand River Ave ,,Novi ,MI,48375,United States,(248) 465-1586,,,,,,
TUBBY'S - OAK PARK 147,,13740 W 8 Mile Rd ,,Oak Park ,MI,48237,United States,(248) 336-3300,,,,,,
TUBBY'S - PLYMOUTH 200 (SHELL STATION),,39621 Ann Arbor Rd ,,Plymouth ,MI,48170,United States,(734) 414-9494,,,,,,
TUBBY'S - REDFORD 183,,24000 Plymouth Rd ,,Redford ,MI,48239,United States,(313) 537-5580,,,,,,
TUBBY'S - REDFORD 104,,27268 Grand River Ave ,,Redford Charter Township ,MI,48240,United States,(313) 537-8000,,,,,,
TUBBY'S - RICHMOND 208,,67367 Main St ,,Richmond ,MI,48062,United States,(586) 430-1893,,,,,,
TUBBY'S - RIVERVIEW 212,,18520 Fort St ,,Riverview ,MI,48193,United States,(734) 785-8095,,,,,,
TUBBY'S - ROMULUS 210,,39315 Ecorse Road ,,Romulus ,MI,48174,United States,(734) 331-6653,,,,,,
TUBBY'S - ROSEVILLE 004,,27875 Gratiot Ave ,,Roseville ,MI,48066,United States,(586) 778-7790,,,,,,
TUBBY'S - ROYAL OAK 010,,1612 E 11 Mile Rd ,,Royal Oak ,MI,48067,United States,(248) 548-9400,,,,,,
TUBBY'S - ROYAL OAK 009,,2700 W 14 Mile Rd ,,Royal Oak ,MI,48073,United States,(248) 280-0220,,,,,,
TUBBY'S - SHELBY TOWNSHIP 209,,47109 Hayes Rd ,,Shelby Township ,MI,48315,United States,(586) 580-3382,,,,,,
TUBBY'S - SHELBY TOWNSHIP 113,,49117 Van Dyke Ave ,,Shelby Township ,MI,48317,United States,(586) 739-4636,,,,,,
TUBBY'S - SHELBY TOWNSHIP 156,,56756 Van Dyke Shelby ,,Township ,MI,48316,United States,(586) 677-6065,,,,,,
TUBBY'S - SOUTHFIELD 117,,24109 W 10 Mile Rd ,,Southfield ,MI,48033,United States,(248) 357-0200,,,,,,
TUBBY'S - ST. CLAIR SHORES 001,,31335 Harper Avenue ,,St Clair Shores ,MI,48082,United States,(586) 294-6860,,,,,,
TUBBY'S - ST. CLAIR SHORES 059,,22016 Harper St ,,Clair Shores ,MI,48080,United States,(586) 777-6100,,,,,,
TUBBY'S - STERLING HEIGHTS 008,,43491 Van Dyke ,,Sterling Heights ,MI,48314,United States,(586) 254-1815,,,,,,
TUBBY'S - STERLING HEIGHTS 194,,33488 Van Dyke ,,Sterling Heights ,MI,48312,United States,(586) 275-2412,,,,,,
TUBBY'S - STERLING HEIGHTS 216,,2532 Metropolitan Pkwy ,,Sterling Heights ,MI,48310,United States,(586) 553-9955,,,,,,
TUBBY'S - TAYLOR 89,,10005 Telegraph Rd ,,Taylor ,MI,48180,United States,(313) 291-4464,,,,,,
TUBBY'S - VAN BUREN TWP 181,,7477 Rawsonville Rd ,,Van Buren Charter Township ,MI,48111,United States,(734) 485-1735,,,,,,
TUBBY'S - WALLED LAKE 195,,976 N Pontiac Trail ,,Walled Lake ,MI,48390,United States,(248) 859-5326,,,,,,
TUBBY'S - WARREN 012,,13804 12 Mile Rd ,,Warren ,MI,48088,United States,(586) 773-5700,,,,,,
TUBBY'S - WARREN 027,,4608 E 9 Mile Rd ,,Warren ,MI,48091,United States,(586) 757-3510,,,,,,
