store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Las Vegas,,232 N. Jones Blvd.,,Las Vegas,Nevada,89107,US,(702) 430-7002,36.175869,-115.221755,,,,
Yuma,,529 W 32nd St,,Yuma,Arizona,85364,US,(928) 343-7700,32.6681512,-114.6260735,,,,
Prescott,,1048 Willow Creek Rd.,,Prescott,Arizona,86301,US,(928) 717-5408,34.562804,-112.48332,,,,
Goodyear,,2075 N Pebble Creek Parkway,,Goodyear,Arizona,85395,US,(602) 474-2270,33.469924,-112.38995,,,,
St. George,,2849 E. 850 N.,,St. George,Utah,84790,US,(435) 634-6910,37.124624,-113.526449,,,,
Carson City,,2035 N. Carson St.,,Carson City,Nevada,89706,US,(775) 461-2213,39.1803713,-119.76596,,,,
Cedar City,,750 S. Main St.,,Cedar City,Utah,84720,US,(435) 586-4826,37.664103,-113.068472,,,,
Casa Grande,,1116 E. Florence Blvd,,Casa Grande,Arizona,85122,US,520-316-7980,32.880905,-111.739217,,,,
Flagstaff,,2530 N. 4th St.,,Flagstaff,Arizona,86004,US,(928) 526-4300,35.2126299,-111.6114791,,,,
Show Low,,161 E. Deuce of Clubs Rd.,,Show Low,Arizona,85901,US,(928) 251-1315,34.249925,-110.041185,,,,
Elko,,2540 Idaho Street,,Elko,Nevada,89801,US,(775) 753-7000,40.850449,-115.743157,,,,
Sierra Vista,,673 N Highway 90,,Sierra Vista,Arizona,85635,US,520-417-5632,31.561134,-110.255894,,,,
Spanish Fork,,950 North Main St.,,Spanish Fork,Utah,84660,US,(801) 794-2810,40.122107,-111.653134,,,,
Tooele,,862 N. Main St.,,Tooele,Utah,84074,US,(435) 882-5020,40.546132,-112.296282,,,,
American Fork,,175 NW State St.,,American Fork,Utah,84003,US,(801) 763-7777,40.3799937,-111.8156905,,,,
West Jordan,,2735 W 7800 South,,West Jordan,Utah,84088,US,(801) 569-2368,40.608570,-111.958678,,,,
Layton,,88 South Fairfield,,Layton,Utah,84041,US,(801) 543-2044,41.059307,-111.945271,,,,
Farr West,,955 N. 2000 W.,,Farr West,Utah,84404,US,(801) 732-9348,41.2751997,-112.0289656,,,,
Burley,,226 N. Overland,,Burley,Idaho,83318,US,(208) 678-7610,42.5578995,-113.7950192,,,,
Logan,,1300 N. Main St. Suite #13,,Logan,Utah,84341,US,(435) 753-0611,41.7557623,-111.8301963,,,,
Vernal,,1180 W Highway 40,,Vernal,Utah,84078,US,(435) 789-6000,40.450602,-109.552481,,,,
Pocatello (Chubbuck),,4115 Yellowstone Ave,,Chubbuck,Idaho,83202,US,(208) 233-4288,42.9076887,-112.4691384,,,,
Blackfoot,,250 N. Meridian St.,,Blackfoot,Idaho,83221,US,(208) 785-2941,43.1951072,-112.3544133,,,,
Idaho Falls,,665 E. Anderson Street,,Idaho Falls,Idaho,83401,US,(208) 523-3431,43.511853,-112.019946,,,,
Rexburg,,125 Valley River Dr. Suite #109,,Rexburg,Idaho,83440,US,(208) 356-3343,43.834059,-111.780413,,,,
