store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Brighton Bomgaars - 58,,2350 E Bridge St.,,Brighton,CO,80601-2548,United States,303-637-9583,,,"8 AM - 7 PM : Monday, 8 AM - 7 PM : Tuesday, 8 AM - 7 PM : Wednesday, 8 AM - 7 PM : Thursday, 8 AM - 7 PM : Friday, 8 AM - 6 PM : Saturday, 9 AM - 5 PM : Sunday",,,
Valentine Bomgaars - 33,,700 E. Highway 20,,Valentine,NE,69201,United States,402-376-3120,,,"8 AM - 7 PM : Monday, 8 AM - 7 PM : Tuesday, 8 AM - 7 PM : Wednesday, 8 AM - 7 PM : Thursday, 8 AM - 7 PM : Friday, 8 AM - 6 PM : Saturday, 10 AM - 5 PM : Sunday",,,
Wayne Bomgaars - 18,,1400 W 7th St.,,Wayne,NE,68787-1214,United States,402-375-2303,,,"8 AM - 7 PM : Monday, 8 AM - 7 PM : Tuesday, 8 AM - 7 PM : Wednesday, 8 AM - 7 PM : Thursday, 8 AM - 7 PM : Friday, 8 AM - 6 PM : Saturday, 11 AM - 5 PM : Sunday",,,
Saint Paul Bomgaars - 43,,611 2nd St.,,Saint Paul,NE,68873-2107,United States,308-754-4366,,,"8 AM - 7 PM : Monday, 8 AM - 7 PM : Tuesday, 8 AM - 7 PM : Wednesday, 8 AM - 7 PM : Thursday, 8 AM - 7 PM : Friday, 8 AM - 6 PM : Saturday, 11 AM - 5 PM : Sunday",,,
Wahoo Bomgaars - 27,,441 E 1st St.,,Wahoo,NE,68066-2016,United States,402-443-1177,,,"8 AM - 7 PM : Monday, 8 AM - 7 PM : Tuesday, 8 AM - 7 PM : Wednesday, 8 AM - 7 PM : Thursday, 8 AM - 7 PM : Friday, 8 AM - 6 PM : Saturday, 11 AM - 5 PM : Sunday",,,
Tekamah Bomgaars - 24,,660 Highway 75,,Tekamah,NE,68061,United States,402-374-2399,,,"8 AM - 7 PM : Monday, 8 AM - 7 PM : Tuesday, 8 AM - 7 PM : Wednesday, 8 AM - 7 PM : Thursday, 8 AM - 7 PM : Friday, 8 AM - 6 PM : Saturday, 11 AM - 5 PM : Sunday",,,
Schuyler Bomgaars - 28,,1026 Country Rd. E,,Schuyler,NE,68661-6179,United States,402-352-7900,,,"8 AM - 7 PM : Monday, 8 AM - 7 PM : Tuesday, 8 AM - 7 PM : Wednesday, 8 AM - 7 PM : Thursday, 8 AM - 7 PM : Friday, 8 AM - 6 PM : Saturday, 11 AM - 5 PM : Sunday",,,
Scottsbluff Bomgaars - 53,,230316 Highland Rd.,,Scottsbluff,NE,69361-7716,United States,308-635-8500,,,"8 AM - 8 PM : Monday, 8 AM - 8 PM : Tuesday, 8 AM - 8 PM : Wednesday, 8 AM - 8 PM : Thursday, 8 AM - 8 PM : Friday, 8 AM - 6 PM : Saturday, 9 AM - 5 PM : Sunday",,,
Sidney Bomgaars - 56,,2555 Fort Sidney Rd.,,Sidney,NE,69162-2619,United States,308-254-4555,,,"8 AM - 7 PM : Monday, 8 AM - 7 PM : Tuesday, 8 AM - 7 PM : Wednesday, 8 AM - 7 PM : Thursday, 8 AM - 7 PM : Friday, 8 AM - 6 PM : Saturday, 10 AM - 5 PM : Sunday",,,
Plattsmouth Bomgaars - 36,,1350 S 22nd St.,,Plattsmouth,NE,68048-2380,United States,402-296-2696,,,"8 AM - 7 PM : Monday, 8 AM - 7 PM : Tuesday, 8 AM - 7 PM : Wednesday, 8 AM - 7 PM : Thursday, 8 AM - 7 PM : Friday, 8 AM - 6 PM : Saturday, 10 AM - 5 PM : Sunday",,,
Ogallala Bomgaars - 55,,820 E. 1st St.,,Ogallala,NE,69153-4606,United States,308-284-3962,,,"8 AM - 7 PM : Monday, 8 AM - 7 PM : Tuesday, 8 AM - 7 PM : Wednesday, 8 AM - 7 PM : Thursday, 8 AM - 7 PM : Friday, 8 AM - 6 PM : Saturday, 10 AM - 5 PM : Sunday",,,
O'Neill Bomgaars - 26,,302 E Highway 20,,O'Neill,NE,68763-2111,United States,402-336-4880,,,"8 AM - 8 PM : Monday, 8 AM - 8 PM : Tuesday, 8 AM - 8 PM : Wednesday, 8 AM - 8 PM : Thursday, 8 AM - 8 PM : Friday, 8 AM - 6 PM : Saturday, 10 AM - 5 PM : Sunday",,,
Neligh Bomgaars - 30,,52285 N Highway 275,,Neligh,NE,68756-5085,United States,402-887-9066,,,"8 AM - 7 PM : Monday, 8 AM - 7 PM : Tuesday, 8 AM - 7 PM : Wednesday, 8 AM - 7 PM : Thursday, 8 AM - 7 PM : Friday, 8 AM - 6 PM : Saturday, 11 AM - 5 PM : Sunday",,,
Norfolk Bomgaars - 06,,1100 W Omaha Ave.,,Norfolk,NE,68701-5729,United States,402-371-6667,,,"8 AM - 8 PM : Monday, 8 AM - 8 PM : Tuesday, 8 AM - 8 PM : Wednesday, 8 AM - 8 PM : Thursday, 8 AM - 8 PM : Friday, 8 AM - 6 PM : Saturday, 10 AM - 5 PM : Sunday",,,
