store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Coastal Farm &#038 Ranch,,1425 Super Mall Way,,Auburn,WA,98001,United States,(253) 218-2021,47.297901,-122.250755,"Monday - Saturday8:00 am - 8:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch &#8211 Now Open!,,990 East Washington,"Building A, Suite 101",Sequim,Washington,98382,United States,360-683-2135,48.078715,-123.088864,Coming Soo,,,
Coastal Farm &#038 Ranch,,2021 Market Street,,Mt Vernon,WA,98273,United States,(360) 424-1918,48.439777,-122.339546,"Monday - Saturday8:00 am - 8:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,260 Highline Drive,,East Wenatchee,WA,98802,United States,(509) 886-1560,47.402538,-120.283813,"Monday - Saturday8:00 am - 7:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,1900 McLoughlin Boulevard SE #120,,Oregon City,OR,97045,United States,(503) 657-5780,45.368614,-122.599602,"Monday - Saturday8:00 am - 7:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,2865 SE 242nd Drive,,Gresham,OR,97030,United States,(503) 674-5337,45.517670,-122.413559,,,,
Coastal Farm &#038 Ranch,,3865 OR-8,,Cornelius,OR,97113,United States,(503) 640-4241,45.520233,-123.079285,"Monday - Saturday8:00 am - 7:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,1550 Mt Hood Ave.,,Woodburn,OR,97071,United States,(503) 981-6322,45.149563,-122.835838,"Monday - Saturday8:00 am - 7:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,1355 Goldfish Farm Rd SE,,Albany,OR,97322,United States,(541) 928-2511,44.627567,-123.047249,"Monday - Saturday8:00 am - 8:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,2600 W 6th St.,,The Dalles,OR,97058,United States,(541) 296-9610,45.615707,-121.212456,"Monday - Saturday8:00 am - 8:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,2200 W 6th Avenue,,Eugene,OR,97402,United States,(541) 687-5810,44.053566,-123.126022,"Monday - Saturday8:00 am - 7:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,782 NE Garden Valley Blvd,,Roseburg,OR,97470,United States,(541) 957-0741,43.227222,-123.346207,"Monday - Saturday8:00 am - 7:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,3141 S Hwy 97,,Redmond,OR,97756,United States,(541) 548-4095,44.247482,-121.190231,"Monday - Saturday8:00 am - 7:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,2112 S 1st Street,,Yakima,WA,98903,United States,(509) 457-2447,46.571453,-120.489128,"Monday - Saturday8:00 am - 7:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,7303 Crater Lake Hwy,,White City,OR,97503,United States,(541) 830-3713,42.422543,-122.854042,"Monday - Saturday8:00 am - 7:00 pm, Sunday, 9:00 am - 6:00 ",,,
Coastal Farm &#038 Ranch,,1776 Avalon St,,Klamath Falls,OR,97603,United States,(541) 882-5548,42.212793,-121.754696,"Monday - Saturday8:00 am - 7:00 pm, Sunday, 9:00 am - 6:00 ",,,
