store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,1298 Route 104 ,,Ontario ,NY,14519,United States,315-524-3863,,,"Monday - Friday: 8:00-7:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,7485 Shawnee Rd N. ,,Tonawanda ,NY,14120,United States,716-692-4401,,,"Monday - Friday: 8:00-7:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,2964 State Route 31 (Belgium Road) ,,Lysander ,NY,13027,United States,315-303-0656,,,"Monday - Friday: 8:00-8:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,6265 County Rd. 32 Woods Corners ,,Norwich ,NY,13815,United States,607-334-3248,,,"Monday - Friday: 8:00-7:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,980 State Route 13 ,,Cortland ,NY,13045,United States,607-756-5657,,,"Monday - Friday: 9:00-7:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,Location 610 East Main Street ,,Batavia ,NY,14020,United States,585-344-4554,,,"Monday - Friday: 9:00-7:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,625 East Main St. ,,Palmyra ,NY,14522,United States,315-597-4831,,,"Monday - Friday: 8:00-7:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,5808 Crabtree Lane ,,Cicero ,NY,13039,United States,315-699-1918,,,"Monday - Friday: 9:00-7:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,1945 Balsley Rd. ,,Seneca Falls ,NY,13148,United States,315-539-5316,,,"Monday - Friday: 8:00-7:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,5930 County Rd. 41 ,,Farmington ,NY,14425Z,United States,585-924-7340,,,"Monday - Friday, 8:00 - 7:00, Saturday, 8:00 - 6:00, Sunday, 9:00 - 5:00",,,
,,4101 Lakeville Road ,,Geneseo ,NY,14454,United States,585-447-9021,,,"Monday - Friday: 8:00-8:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,897 Turk Hill Rd. ,,Fairport ,NY,14450,United States,585-388-1030,,,"Monday - Friday: 8:00-8:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,4875 Route 19 ,,Brockport ,NY,14420,United States,585-391-3065,,,"Monday - Friday: 8:00-8:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,DeWitt Town Center Plaza 3179 Erie Boulevard E ,,DeWitt ,NY,13214,United States,315-656-7698,,,"Monday - Friday: 8:00-8:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
,,4575 W. Henrietta Rd. ,,Henrietta ,NY,14467,United States,585-334-2180,,,"Monday - Friday: 8 AM - 8 PM, Saturday: 8 AM - 6 PM, Sunday: 9 AM - 5 PM",,,
,,4658 West Ridge Rd. ,,Spencerport ,NY,14559,United States,585-349-0861,,,"Monday - Friday: 8:00-8:00, Saturday: 8:00-6:00, Sunday: 9:00-5:00",,,
