store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Alexandria, MN",700,310 - 50th Avenue West,,Alexandria,MN,56308,United States,(320) 763-4277,45.845,-95.383,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Ankeny, IA",3300,3875 SE Delaware Ave,,Ankeny,IA,50021,United States,(515) 964-3150,41.694,-93.58,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Antigo, WI",1900,2511 Neva Rd,,Antigo,WI,54409,United States,(715) 623-2063,45.166,-89.148,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Appleton, WI",100,3035 W. Wisconsin Ave,,Appleton,WI,54914,United States,(920) 734-8231,44.272,-88.453,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Brainerd, MN",2300,14114 Dellwood Drive,,Baxter,MN,56425,United States,(218) 829-1565,46.362,-94.243,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Beaver Dam, WI",1000,1815 North Spring Street,,Beaver Dam,WI,53916,United States,(920) 885-9787,43.485,-88.818,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Blaine, MN",3100,10250 Lexington Ave NE,,Blaine,MN,55014,United States,(763) 785-4647,45.156,-93.163,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Brooklyn Park, MN",2400,8400 Lakeland Ave N,,Brooklyn Park,MN,55445,United States,(763) 424-9668,45.107,-93.389,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Cambridge, MN",3400,2324 3rd Ave NE,,Cambridge,MN,55008,United States,(763) 691-1409,45.575,-93.198,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Carver, MN",3200,1935 Levi Griffin Road,,Carver,MN,55315,United States,(952) 361-0986,44.78,-93.65,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Clintonville, WI",2000,500 S. Main St,,Clintonville,WI,54929,United States,(715) 823-6571,44.601,-88.767,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Fargo, ND",2800,3730 36th Street South,,Fargo,ND,58104,United States,(701) 298-7700,46.823,-96.836,"Sunday 12:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Fergus Falls, MN",500,2002 West Lincoln Avenue,,Fergus Falls,MN,56537,United States,(218) 736-0171,46.288,-96.11,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Fond Du Lac, WI",200,629 Rogersville Road,,Fond du Lac,WI,54935,United States,(920) 922-7540,43.764,-88.47,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Germantown, WI",1600,N96 W18200 County Line Road,,Germantown,WI,53022,United States,(262) 255-1420,43.193,-88.135,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Green Bay East, WI",800,2460 Main Street,,Green Bay East,WI,54311,United States,(920) 468-4913,44.467,-87.962,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Green Bay West, WI",1800,213 N. Taylor Street,,Green Bay West,WI,54303,United States,(920) 494-8975,44.537,-88.074,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Hermantown, MN",3600,4165 Loberg Avenue,,Hermantown,MN,55811,United States,(218) 722-4501,46.81,-92.182,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Hudson, WI",1400,1001 Industrial Street,,Hudson,WI,54016,United States,(715) 386-3281,44.959,-92.736,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Lakeville, MN",2500,17070 Kenrick Avenue,,Lakeville,MN,55044,United States,(952) 435-3832,44.701,-93.284,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Manitowoc, WI",1300,1235 S. Rapids Road,,Manitowoc,WI,54220,United States,(920) 682-4403,44.086,-87.708,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Mankato, MN",3500,1850 Premier Drive,,Mankato,MN,56001,United States,(507) 345-6401,44.178,-93.948,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Marshfield, WI",300,1101 W. Upham Road,,Marshfield,WI,54449,United States,(715) 387-3768,44.681,-90.19,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Mason City, IA",2900,3200 - 4th Street SW,,Mason City,IA,50401,United States,(641) 423-4474,43.151,-93.248,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Menomonie, WI",900,2003 U.S. Highway 12W,,Menomonie,WI,54751,United States,(715) 235-6854,44.905,-91.938,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Oakdale, MN",2700,5635 Hadley Avenue North,,Oakdale,MN,55128,United States,(651) 779-7725,45.029,-92.973,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Oshkosh, WI",1700,177 N. Washburn Road,,Oshkosh,WI,54904,United States,(920) 231-5738,44.019,-88.583,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Owatonna, MN",3000,2121 West Bridge Street,,Owatonna,MN,55060,United States,(507) 455-1088,44.082,-93.253,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Plymouth, WI",1100,3110 Eastern Avenue,,Plymouth,WI,53073,United States,(920) 893-5115,43.749,-87.943,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Rochester, MN",2200,4891 Maine Avenue SE,,Rochester,MN,55904,United States,(507) 281-1130,43.955,-92.463,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Stevens Point, WI",1500,5590 Highway 10 E.,,Stevens Point,WI,54482,United States,(715) 341-5100,44.525,-89.512,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"St. Cloud, MN",2100,2630 Division Street,,Waite Park,MN,56387,United States,(320) 253-8889,45.554,-94.25,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Waupaca, WI",1200,2016 Farm Drive,,Waupaca,WI,54981,United States,(715) 258-3851,44.332,-89.048,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Wausau, WI",400,1811 Badger Avenue,,Wausau,WI,54401,United States,(715) 675-2312,44.989,-89.654,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"West Bend, WI",600,1637 W. Washington Street,,West Bend,WI,53095,United States,(262) 334-7722,43.426,-88.2,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
"Winona, MN",2600,920 E. Highway 61,,Winona,MN,55987,United States,(507) 454-5124,44.03,-91.618,"Sunday 08:00-18:00, Monday 07:00-21:00,Tuesday 07:00-21:00, Wednesday 07:00-21:00,Thursday 07:00-21:00, Friday 07:00-21:00,Saturday 07:00-21:00",,,
