store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Amarillo North, TX",,2500 East 3rd Amarillo Road ,,Amarillo ,TX,79104,United States,806-372-9981,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Amarillo South, TX",,4550 Canyon Drive ,,Amarillo ,TX,79109,United States,806-356-8011,,,"Sunday: 12pm - 5pm, Mon-Sat: 8am - 6pm",,,
"Andrews, TX",,1675 South 385 US ,,Andrews ,TX,79714,United States,432-524-2743,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Breckenridge, TX",,2900 W. Walker Street ,,Breckenridge ,TX,76424,United States,254-559-3331,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Brownfield, TX",,2420 Lubbock Road ,,Brownfield ,TX,79316,United States,806-637-4677,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Clovis, NM",,101 North Sycamore Road ,,Clovis ,NM,88101,United States,575-762-1631,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Dalhart, TX",,615 Pine Street ,,Dalhart ,TX,79022,United States,806-249-8515,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Ennis, TX",,1906 South Kaufman Road ,,Ennis ,TX,75119,United States,972-875-5781,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Hereford, TX",,230 North 25 Mile Drive ,,Hereford ,TX,79045,United States,806-364-0230,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Hillsboro, TX",,803 Abbott Avenue ,,Hillsboro ,TX,76645,United States,254-582-5336,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Lamesa, TX",,506 North Main Street ,,Lamesa ,TX,79331,United States,806-872-6516,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Levelland, TX",,1308 Avenue H ,,Levelland ,TX,79336,United States,806-894-5958,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Littlefield, TX",,508 Hall Avenue ,,Littlefield ,TX,79339,United States,806-385-5378,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Lovington, NM",,721 North Main Street ,,Lovington ,NM,88260,United States,575-396-0442,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Lubbock, TX",,215 50th Street ,,Lubbock ,TX,79404,United States,806-765-5648,,,"Sunday: 12pm - 5pm, Mon-Sat: 8am - 6pm",,,
"McKinney, TX",,2004 West University Street ,,McKinney ,TX,75071,United States,972-542-5576,,,"Sunday: 12pm - 5pm, Mon-Sat: 8am - 6pm",,,
"Pampa, TX",,1051 North Price Road ,,Pampa ,TX,79065,United States,806-669-1097,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Perryton, TX",,822 North Main Street ,,Perryton ,TX,79070,United States,806-434-2465,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Plainview, TX",,2803 Olton Road ,,Plainview ,TX,79072,United States,806-293-4326,,,"Sunday: 11am - 5pm, Mon-Sat: 8am - 8pm",,,
"Snyder, TX",,4111 College Avenue ,,Snyder ,TX,79549,United States,325-573-3411,,,"Sunday: CLOSED, Mon-Sat: 8am - 6pm",,,
"Vernon, TX",,3900 Wilbarger Street ,,Vernon ,TX,76384,United States,940-552-7631,,,"Sunday: 11am - 5pm, Mon-Sat: 8am - 8pm",,,
