store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Brea,,3341 E. Imperial Highway,(next to Whole Foods at La Floresta),Brea,CA,92823,United States,657 444 2766,33.9092497,-117.8515615,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Hermosa Beach,,1559 Pacific Coast Highway,"(at Pier Ave., in the Von&#39s center)",Hermosa Beach,CA,90254,United States,310 379 9262,33.86631,-118.393845,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Irvine,,5365 Alton Parkway,(next to Ralph&#39s),Irvine,CA,92604,United States,949 551 4100,33.6714426,-117.7888306,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Laguna Niguel,,23894 Aliso Creek Rd.,(next to Whole Foods),Laguna Niguel,CA,92677,United States,949 360 0145,33.5554158,-117.7144858,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Newport Beach,,1044 Irvine Ave.,,Newport Beach,CA,92660,United States,949 515 0000,33.6282591,-117.9086333,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Studio City,,12507 Ventura Blvd.,,Studio City,CA,91604,United States,818 760 9550,34.1429435,-118.4057369,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Valencia,,24272 Valencia Blvd.,,Valencia,CA,91355,United States,661 259 2361,34.4128319,-118.5590048,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Venice,,303 Lincoln Blvd.,(at Rose),Venice,CA,90291,United States,424 744 8329,34.0010005,-118.4675485,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Westlake Village,,966 South Westlake Blvd.,"(off Townsgate Road, near Gelson&#39s)",Westlake Village,CA,91361,United States,805 494 9262,34.15333394,-118.8260417,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Denver - LoDo,,1910 Chestnut Place,(next to King Sooper&#39s),Denver,CO,80202,United States,303 295 0922,39.7569212,-104.9996714,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Englewood,,3475 S. University Blvd. (at Hampden),Kent Place Shopping Center,Englewood,CO,80113,United States,303 761 1820,39.6540287,-104.9595695,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Fort Collins,,3531 S. College Ave.,"(at Horsetooth, across from Trader Joe&#39s)",Fort Collins,CO,80525,United States,970 223 4059,40.5386363,-105.0777571,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Greenwood Village,,4930 S. Yosemite St. (at Belleview),Belleview Square Shopping Center,Greenwood Village,CO,80111,United States,303 770 0765,39.6260503,-104.8846284,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Highlands Ranch,,9362 S. Colorado Blvd. (at S. University),(in the Whole Foods center),Highlands Ranch,CO,80126,United States,303 346 8540,39.5449828,-104.9420851,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Lakewood,,14710 W. Colfax Ave.,Promenade at Denver West,Lakewood,CO,80401,United States,303 278 3977,39.7302483,-105.1638821,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Westminster,,5160 W. 120th Ave.,(next to Sprouts),Westminster,CO,80020,United States,303 404 9992,39.9122598,-105.0513104,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Cathedral,,3707 Newark St. NW,(in the Cathedral Commons Shopping Center),Washington,D.C.,20016,United States,202 244 3101,38.9347331,-77.0731697,"10:00-9:00 Mon-Sat, 11:00-6:00 Sun",,,
Bucktown,,1658 N. Milwaukee Ave.,,Chicago,IL,60647,United States,773 235 1790,41.9116889,-87.6800083,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Glen Ellyn,,674 Roosevelt Rd.,(next to Trader Joe&#39s),Glen Ellyn,IL,60137,United States,630 793 9785,41.8593587,-88.0601453,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Kildeer,,20291 N. Rand Rd.,,Kildeer,IL,60074,United States,847 550 1705,42.1583378,-88.045128,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Lakeview,,1033 W. Belmont Ave.,,Chicago,IL,60657,United States,773 244 1600,41.9397485,-87.6556247,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Lincoln Park,,2055 N. Clybourn Ave.,,Chicago,IL,60614,United States,773 871 3663,41.9190504,-87.660174,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Naperville,,8 W. Gartner Road,"(Naperville Plaza, across from Trader Joe&#39s)",Naperville,IL,60540,United States,331-281-0509,41.7545362,-88.1407046,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Northbrook,,780 Skokie Blvd.,(next to Mariano&#39s),Northbrook,IL,60062,United States,847-559-1437,42.1384068,-87.7920556,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Orland Park,,15160 S. LaGrange Rd.,"(in the Whole Foods Center, by Pier 1)",Orland Park,IL,60462,United States,708 966 0018,41.6146197,-87.8534521,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Park Ridge,,168 N. Northwest Highway,(next to Trader Joe&#39s),Park Ridge,IL,60068,United States,847 685 0210,42.0125737,-87.8321286,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
South Barrington,,100 W. Higgins Rd.,,South Barrington,IL,60010,United States,847 844 1921,42.0750623,-88.1857288,"9:00-8:00 Mon-Sat, 11:00-6:00 Sun",,,
South Loop,,1103 S. State St.,,Chicago,IL,60605,United States,312 765 8883,41.8688186,-87.6271856,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Streeterville,,356 E. Ohio St.,(at McClurg Court),Chicago,IL,60611,United States,312 951 1331,41.8926315,-87.6186651,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
Vernon Hills,,1640 N. Milwaukee Ave.,,Vernon Hills,IL,60061,United States,224 206 7073,42.2557453,-87.9483242,"9:00-8:00 Mon-Fri, 10:00-7:00 Sat-Sun",,,
