store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Admiral - Seattle, WA",,2611 California Ave SW,,Seattle,WA,98116,United States,206-932-0911,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Lakeway - Bellingham, Washington",,1022 Lakeway Drive,,Bellingham,Washington,98229,United States,360-922-3900,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Mercer Island - Mercer Island, WA",,2750 77th Avenue SE,,Mercer Island,WA,98040,United States,206-805-2090,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Olympia - Olympia, WA",,2410 Harrison Ave NW,,Olympia,WA,98502,United States,360-352-4700,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Lynnwood - Lynnwood, WA",,2800 196th St SW,,Lynnwood,WA,98036,United States,425-670-3330,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Maple Valley - Maple Valley, WA",,24107 SE Kent-Kangley Road,,Maple Valley,WA,98038,United States,425-432-6690,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Mill Creek - Mill Creek, WA",,1018 164th Street SE,,Mill Creek,WA,98012,United States,425-563-6900,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Mukilteo - Mukilteo, WA",,11700 Mukilteo Speedway,,Mukilteo,WA,98275,United States,425-374-7451,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Nyberg Rivers - Tualatin, Oregon",,7807 SW Nyberg St,,Tualatin,Oregon,97062,United States,503-506-7990,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Lake Oswego - Lake Oswego, OR",,3 Monroe Pkwy,,Lake Oswego,OR,97035,United States,503-387-5659,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Lake Forest Park - Lake Forest Park, WA",,17171 Bothell Way NE,,Lake Forest Park,WA,98155,United States,206-365-5100,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Lacey Crossroads - Lacey, WA",,5500 Corporate Center Ln SE,,Lacey,WA,98503,United States,360-810-8880,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Lacey - Lacey, WA",,8909 Martin Way E,,Lacey,WA,98516,United States,360-459-9200,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Happy Valley - Happy Valley, OR",,"13180 SE 169th Ave, Suite 100",,Happy Valley,OR,97086,United States,503-303-0880,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Issaquah - Issaquah, WA",,1590 NW Gilman Blvd,,Issaquah,WA,98027,United States,425-295-7199,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Uptown - Seattle, WA",,522 Queen Anne Ave N,,Seattle,WA,98109,United States,206-466-5002,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Williams - Portland, Oregon",,3331 N. Williams Ave,,Portland,Oregon,97227,United States,360-709-0074,,,,,,
"Kent - Kent, WA",,10457 SE 240th St,,Kent,WA,98031,United States,253-859-5818,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"University Village - Seattle, WA",,4612 25th Ave NE,,Seattle,WA,98105,United States,206-523-5423,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"University Place - University Place, WA",,3804 Bridgeport Way,,University Place,WA,98466,United States,253-565-1955,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Tumwater - Tumwater, Washington",,704 Trosper Rd SW,,Tumwater,Washington,98512,United States,360-810-8580,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Timberland - Portland, OR",,11830 NW Cedar Falls Drive,,Portland,OR,97229,United States,503-530-8241,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Tanasbourne - Hillsboro, OR",,2540 NW 188th Ave,,Hillsboro,OR,97124,United States,503-536-1643,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Sumner - Sumner, WA",,15105 Main Street E,,Sumner,WA,98390,United States,253-863-0513,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Stadium - Tacoma, WA",,635 Division Avenue,,Tacoma,WA,98403,United States,253-448-8440,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Shoreline - Shoreline, WA",,"1201 N 175th St, Suite 106",,Shoreline,WA,98133,United States,(206) 629-6062,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Sammamish - Sammamish, WA",,22830 NE 8th St,,Sammamish,WA,98074,United States,425-961-6490,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Redmond - Redmond, WA",,8867 161st Avenue NE,,Redmond,WA,98052,United States,425-250-0366,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Puyallup - Puyallup, WA",,13210 Meridian Ave E,,Puyallup,WA,98373,United States,253-604-0080,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
"Overlake - Bellevue, WA",,13407 NE 20th ST,,Bellevue,WA,98005,United States,425-641-0815,,,"Monday-Saturday 9am-9pm, Sunday 10am-7pm",,,
