store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Aberdeen,,804 South 5th St ,,Aberdeen ,SD,57401,United States,605-226-2600,,,"Monday - Friday: 8:00 am - 8:00pm, Saturday: 8:00 am - 6:00pm, Sunday: 9:00 am - 6:00pm",,,
Carrington,,720 4th Ave S ,,Carrington ,ND,58421,United States,701-652-2996,,,"Monday - Friday: 8:00 am - 8:00pm, Saturday: 8:00 am - 6:00pm",,,
Canby,,115 First St East ,,Canby ,MN,56220,United States,507-223-5446,,,"Monday - Friday: 8:00 am - 6pm, Saturday: 8:00 am - 5:00pm, Sunday: 10:00 am - 5:00pm",,,
Canandaigua,,3191 County Rd # 10 ,,Canandaigua ,NY,14424,United States,585-396-1977,,,"Monday - Friday: 8:00 am - 9:00pm, Saturday: 8:00 am - 9:00pm, Sunday: 9:00 am - 6:00pm",,,
Dickinson,,2003 3rd Ave W ,,Dickinson ,ND,58601,United States,701-483-1226,,,"Monday - Friday: 7:30 am - 9:00pm, Saturday: 7:30 am - 7:00pm",,,
Brookings,,2421 6th St ,,Brookings ,SD,57006,United States,605-692-6183,,,"Monday - Friday: 7:30 am - 9:00pm, Saturday: 7:30 am - 7:00pm, Sunday: 9:00 am - 6:00pm",,,
Bismarck,,701 S Washington ,,Bismarck ,ND,58504,United States,701-223-9582,,,"Monday - Friday: 8:00 am - 9:00pm, Saturday: 8:00 am - 8:00pm",,,
Brockport,,4828 Lake Road ,,Brockport ,"NY,",14420,United States,585-637-6791,,,"Monday - Friday: 8:00 am - 9:00pm, Saturday: 8:00 am - 7:00pm, Sunday: 9:00 am - 6:00pm",,,
Belle-Fourche,,19010 US Highway 85 ,,Belle Fourche ,SD,57717,United States,605-892-2588,,,"Monday - Friday: 7:30 am - 8:00pm, Saturday: 7:30 am - 6:00pm, Sunday: 9:00 am - 5:00pm",,,
Hettinger,,103 Airport Road ,,Hettinger ,ND,58639,United States,701-567-2412,,,"Monday - Friday: 7:30 am - 8:00pm, Saturday: 7:30 am - 6:00pm",,,
Glendive,,1806 N Merrill ,,Glendive ,MT,59330,United States,406-377-8233,,,"Monday - Friday: 7:30 am - 8:00pm, Saturday: 7:30 am - 6:00pm, Sunday: 9:00 am - 6:00pm",,,
Benson,,1920 Minnesota ,,Benson ,MN,56215,United States,320-842-6351,,,"Monday - Friday: 8:00 am - 8:00pm, Saturday: 8:00 am - 6:00pm, Sunday: 9:00 am - 5:00pm",,,
Clay,,3949 State HWY 31 ,,Liverpool ,NY,13090,United States,315-622-3249,,,"Monday - Friday: 8:00 am - 9:00pm, Saturday: 8:00 am - 8:00pm, Sunday: 9:00 am - 6:00pm",,,
Corporate-Office,,901 HWY 59 N ,,Marshall ,MN,56258,United States,507-532-9566,,,Monday - Friday: 8:00 am - 5:00pm,,,
Worthington,,1438 Humiston Ave ,,Worthington ,MN,56187,United States,507-372-7351,,,"Monday - Friday: 8:00 am - 9:00pm, Saturday: 8:00 am - 6:00pm, Sunday: 10:00 am - 5:00pm",,,
Winner,,1900 West HWY 18 ,,Winner ,SD,57580,United States,605-842-2142,,,"Monday - Friday: 8:00 am - 8:00pm, Saturday: 8:00 am - 6:00pm, Sunday: 10:00 am - 5:00pm",,,
Lena’s-Liquor,,1020 N La Crosse St ,,Rapid City ,SD,57701,United States,605-342-9119,,,"Monday - Friday: 9:00 am - 9:00 pm, Saturday: 9:00 am - 8:00 pm, Sunday: 10:00 am - 6:00 pm",,,
Windom,,2420 HWY 60 East ,,Windom ,MN,56101,United States,507-831-2010,,,"Monday - Friday: 8:00 am - 8:00pm, Saturday: 8:00 am - 6:00pm, Sunday: 10:00 am - 5:00pm",,,
Watertown,,1701 9th Ave SE ,,Watertown ,SD,57201,United States,605-886-5859,,,"Monday - Friday: 7:30 am - 9:00pm, Saturday: 7:30 am - 7:00pm, Sunday: 9:00 am - 6:00pm",,,
Springfield,,1115 W Central St ,,Springfield ,MN,56087,United States,507-723-6263,,,"Monday - Friday: 8:00 am - 8:00pm, Saturday: 8:00 am - 6:00pm, Sunday: 10:00 am - 5:00pm",,,
