store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,1809 Trout Run Road,,Decorah,Iowa,,United States,563-382-8748,,,"Mon-Fri:7:30AM - 6:00PM, Saturday:7:30AM - 5:00PM, Sunday:10:00AM - 4:00PM",,,
,,871 High Street North East,,Elkader,Iowa,,United States,563-245-2655,,,"Mon-Fri:7:30AM - 6:00PM, Saturday:7:30AM - 5:00PM, Sunday:10:00AM - 4:00PM",,,
,,801 West 5th Street,,Grundy Center,Iowa,,United States,319-824-2406,,,"Mon-Fri:7:30AM - 6:00PM, Saturday:7:30AM - 5:00PM, Sunday:10:00AM - 4:00PM",,,
,,1600 3rd Avenue South East,,Independence,Iowa,,United States,319-334-2872,,,"Mon-Fri:7:30AM - 6:00PM, Saturday:7:30AM - 5:00PM, Sunday:10:00AM - 4:00PM",,,
,,111 20th Avenue South West,,Independence,Iowa Warehouse,,United States,319-334-3860,,,"Mon-Fri:7:30AM - 4:30PM, Saturday:-, Sunday:-",,,
,,1121 East Main Street,,Manchester,Iowa,,United States,563-927-4151,,,"Mon-Fri:7:30AM - 6:00PM, Saturday:7:30AM - 5:00PM, Sunday:10:00AM - 4:00PM",,,
,,Five 16th Street South East,,Oelwein,Iowa,,United States,319-283-1678,,,"Mon-Fri:7:30AM - 6:00PM, Saturday:7:30AM - 5:00PM, Sunday:10:00AM - 4:00PM",,,
,,1201 West First Street,,Sumner,Iowa,,United States,563-578-1353,,,"Mon-Fri:7:30AM - 6:00PM, Saturday:7:30AM - 5:00PM, Sunday:10:00AM - 4:00PM",,,
,,1901 4th Street South West,,Waverly,Iowa,,United States,319-352-3882,,,"Mon-Fri:7:30AM - 6:00PM, Saturday:7:30AM - 5:00PM, Sunday:10:00AM - 4:00PM",,,
,,219 North Oak Street,,West Union,Iowa,,United States,563-422-5343,,,"Mon-Fri:7:30AM - 6:00PM, Saturday:7:30AM - 5:00PM, Sunday:10:00AM - 4:00PM",,,
,,192 Trade Center,,Lebanon,Kentucky,,United States,270-699-2755,,,"Mon-Fri:7:30AM - 6:00PM, Saturday:7:30AM - 5:00PM, Sunday:10:00AM - 4:00PM",,,
